Gender,Age,Education,Employment,Context
Female,45,High School Degree,Employed,precarious life
Male,42,High School Degree,Employed,stable and supportive life
Female,45,No High School Degree,Employed,moderate stability
Female,41,No High School Degree,Employed,moderate stability
Male,50,No High School Degree,Employed,unstable life
Female,44,No High School Degree,Employed,unstable life
Female,51,High School Degree,Employed,unstable life
Female,39,High School Degree,Unemployed,stable and supportive life
Male,52,No High School Degree,Employed,moderate stability
Male,55,High School Degree,Employed,moderate stability
Female,36,No High School Degree,Unemployed,unstable life
Female,52,No High School Degree,Unemployed,stable and supportive life
Male,58,No High School Degree,Employed,stable and supportive life
Female,41,High School Degree,Employed,unstable life
Female,61,Degree,Employed,unstable life
Female,52,High School Degree,Employed,unstable life
Female,45,High School Degree,Employed,precarious life
Male,49,High School Degree,Employed,moderate stability
Male,53,High School Degree,Employed,precarious life
Male,50,High School Degree,Employed,precarious life
Female,53,No High School Degree,Employed,moderate stability
Male,43,Master,Employed,unstable life
Male,51,Degree,Employed,precarious life
Male,40,No High School Degree,Employed,precarious life
Female,49,High School Degree,Employed,precarious life
Female,43,No High School Degree,Unemployed,stable and supportive life
Male,44,No High School Degree,Employed,unstable life
Male,58,Degree,Employed,moderate stability
Female,57,No High School Degree,Employed,moderate stability
Male,54,No High School Degree,Employed,unstable life
Male,42,High School Degree,Employed,moderate stability
Male,47,No High School Degree,Employed,unstable life
Male,58,High School Degree,Employed,unstable life
Male,50,Degree,Employed,stable and supportive life
Male,66,High School Degree,Employed,stable and supportive life
Male,52,High School Degree,Employed,stable and supportive life
Female,51,High School Degree,Employed,precarious life
Male,47,No High School Degree,Employed,unstable life
Female,50,No High School Degree,Employed,moderate stability
Female,48,High School Degree,Unemployed,precarious life
Male,54,No High School Degree,Employed,unstable life
Female,56,High School Degree,Employed,precarious life
Male,44,High School Degree,Employed,unstable life
Female,40,High School Degree,Employed,stable and supportive life
Male,37,No High School Degree,Employed,precarious life
Male,53,No High School Degree,Employed,moderate stability
Male,42,No High School Degree,Employed,precarious life
Female,34,No High School Degree,Unemployed,moderate stability
Female,52,No High School Degree,Unemployed,moderate stability
Female,67,High School Degree,Unemployed,unstable life
Male,49,High School Degree,Employed,stable and supportive life
Female,55,No High School Degree,Employed,stable and supportive life
Male,50,No High School Degree,Employed,stable and supportive life
Female,49,No High School Degree,Employed,stable and supportive life
Male,56,High School Degree,Employed,moderate stability
Male,47,High School Degree,Employed,stable and supportive life
Male,51,No High School Degree,Employed,unstable life
Male,52,Degree,Employed,unstable life
Female,45,High School Degree,Employed,unstable life
Male,56,Degree,Employed,precarious life
Female,48,High School Degree,Unemployed,precarious life
Male,44,No High School Degree,Employed,precarious life
Female,53,Degree,Unemployed,stable and supportive life
Male,43,No High School Degree,Employed,precarious life
Male,50,No High School Degree,Employed,precarious life
Female,49,No High School Degree,Unemployed,moderate stability
Male,57,Degree,Employed,unstable life
Male,53,High School Degree,Employed,stable and supportive life
Female,49,No High School Degree,Unemployed,unstable life
Female,55,Degree,Employed,stable and supportive life
Male,59,No High School Degree,Employed,stable and supportive life
Male,53,Master,Employed,unstable life
Female,50,No High School Degree,Employed,unstable life
Male,40,No High School Degree,Employed,stable and supportive life
Male,42,No High School Degree,Employed,moderate stability
Male,47,No High School Degree,Employed,moderate stability
Female,45,No High School Degree,Unemployed,stable and supportive life
Female,48,No High School Degree,Unemployed,unstable life
Male,50,High School Degree,Employed,precarious life
Male,53,No High School Degree,Employed,unstable life
Male,49,PhD,Employed,stable and supportive life
Female,53,No High School Degree,Unemployed,moderate stability
Male,50,No High School Degree,Employed,precarious life
Male,36,No High School Degree,Employed,unstable life
Female,43,No High School Degree,Unemployed,precarious life
Male,48,Degree,Employed,precarious life
Female,41,No High School Degree,Employed,moderate stability
Male,54,Degree,Employed,moderate stability
Male,60,High School Degree,Employed,stable and supportive life
Male,58,No High School Degree,Employed,precarious life
Female,48,High School Degree,Employed,unstable life
Female,60,No High School Degree,Unemployed,moderate stability
Female,51,Degree,Unemployed,stable and supportive life
Male,47,No High School Degree,Employed,moderate stability
Female,45,No High School Degree,Employed,stable and supportive life
Male,47,High School Degree,Employed,precarious life
Male,47,No High School Degree,Employed,moderate stability
Female,51,High School Degree,Unemployed,precarious life
Male,51,No High School Degree,Employed,unstable life
Male,50,High School Degree,Employed,unstable life
Male,53,No High School Degree,Employed,unstable life
Male,58,No High School Degree,Employed,moderate stability
Male,56,Degree,Employed,precarious life
Female,39,No High School Degree,Employed,moderate stability
Male,32,No High School Degree,Employed,stable and supportive life
Female,56,No High School Degree,Employed,unstable life
Female,40,No High School Degree,Employed,precarious life
Male,48,No High School Degree,Employed,stable and supportive life
Male,41,No High School Degree,Employed,unstable life
Male,37,PhD,Employed,unstable life
Female,53,High School Degree,Employed,precarious life
Male,55,PhD,Employed,unstable life
Female,45,No High School Degree,Employed,stable and supportive life
Male,31,High School Degree,Employed,stable and supportive life
Female,46,Degree,Unemployed,moderate stability
Male,52,PhD,Employed,stable and supportive life
Male,39,Degree,Employed,stable and supportive life
Female,51,No High School Degree,Unemployed,unstable life
Female,49,High School Degree,Unemployed,stable and supportive life
Male,54,Degree,Employed,moderate stability
Female,50,No High School Degree,Unemployed,stable and supportive life
Male,43,Degree,Employed,stable and supportive life
Female,58,No High School Degree,Employed,precarious life
Female,48,No High School Degree,Unemployed,unstable life
Male,49,High School Degree,Employed,unstable life
Male,43,High School Degree,Employed,precarious life
Male,46,No High School Degree,Employed,stable and supportive life
Female,43,Degree,Employed,stable and supportive life
Female,48,No High School Degree,Unemployed,unstable life
Male,61,No High School Degree,Employed,moderate stability
Male,40,High School Degree,Employed,precarious life
Female,38,No High School Degree,Unemployed,unstable life
Female,60,No High School Degree,Unemployed,unstable life
Female,48,No High School Degree,Unemployed,precarious life
Male,45,Degree,Employed,stable and supportive life
Male,57,High School Degree,Employed,precarious life
Male,45,High School Degree,Employed,moderate stability
Female,62,Degree,Employed,moderate stability
Male,54,No High School Degree,Employed,precarious life
Female,46,High School Degree,Employed,stable and supportive life
Male,65,High School Degree,Employed,stable and supportive life
Female,45,High School Degree,Unemployed,precarious life
Female,55,No High School Degree,Unemployed,precarious life
Female,52,High School Degree,Unemployed,precarious life
Male,59,High School Degree,Employed,precarious life
Male,60,No High School Degree,Employed,unstable life
Male,50,No High School Degree,Employed,moderate stability
Female,44,No High School Degree,Unemployed,moderate stability
Female,53,High School Degree,Unemployed,unstable life
Female,45,High School Degree,Employed,precarious life
Female,64,No High School Degree,Employed,stable and supportive life
Female,50,No High School Degree,Employed,unstable life
Male,47,Degree,Employed,unstable life
Female,51,No High School Degree,Unemployed,precarious life
Male,40,Master,Employed,stable and supportive life
Male,43,Degree,Employed,unstable life
Female,58,No High School Degree,Employed,moderate stability
Male,45,High School Degree,Employed,stable and supportive life
