Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.023033849895000458,0.9769660830497742
White-Caucasian,43,Some priors,"In a life framed by steady ground and calm routines, this 43-year-old White-Caucasian with Some priors finds comfort in familiar paths and supportive ties.",0.9997327923774719,0.00026717287255451083
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.04462084174156189,0.9553791284561157
Non-White,41,No prior convictions,This 41-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.04148896783590317,0.9585110545158386
White-Caucasian,49,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 49-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.02169441245496273,0.9783055186271667
Non-White,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old Non-White with No prior convictions faces a world that rarely settles.",0.025756707414984703,0.9742432832717896
Non-White,51,Some priors,"Through days tangled in uncertainty and shifting scenes, this 51-year-old Non-White with Some priors faces a world that rarely settles.",0.02285373955965042,0.9771462678909302
Non-White,39,Some priors,"In a life framed by steady ground and calm routines, this 39-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.9997664093971252,0.00023357039026450366
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.04080842807888985,0.9591915607452393
White-Caucasian,56,Some priors,This 56-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.09018129855394363,0.9098187685012817
Non-White,35,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 35-year-old Non-White with No prior convictions faces a world that rarely settles.",0.028047509491443634,0.971952497959137
Non-White,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.998072624206543,0.0019273619400337338
White-Caucasian,58,No prior convictions,"In a life framed by steady ground and calm routines, this 58-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9983466863632202,0.0016533604357391596
Non-White,41,Some priors,"Through days tangled in uncertainty and shifting scenes, this 41-year-old Non-White with Some priors faces a world that rarely settles.",0.021299056708812714,0.9787009358406067
Non-White,61,Many priors,"Through days tangled in uncertainty and shifting scenes, this 61-year-old Non-White with Many priors faces a world that rarely settles.",0.024731768295168877,0.9752682447433472
Non-White,52,Some priors,"Through days tangled in uncertainty and shifting scenes, this 52-year-old Non-White with Some priors faces a world that rarely settles.",0.02031613700091839,0.9796838760375977
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.02565777488052845,0.9743422269821167
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.07308628410100937,0.9269137382507324
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.031531814485788345,0.968468189239502
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.019767817109823227,0.9802321195602417
Non-White,53,No prior convictions,This 53-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.04472395032644272,0.9552760720252991
White-Caucasian,43,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 43-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.018865352496504784,0.9811346530914307
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.019767817109823227,0.9802321195602417
White-Caucasian,39,Many priors,"A 39-year-old White-Caucasian with Many priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.01651235856115818,0.9834876656532288
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.03408076986670494,0.9659192562103271
Non-White,43,No prior convictions,"In a life framed by steady ground and calm routines, this 43-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.9979614019393921,0.0020386455580592155
White-Caucasian,44,Some priors,"Through days tangled in uncertainty and shifting scenes, this 44-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.026031026616692543,0.9739689826965332
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.0400986447930336,0.9599013924598694
Non-White,57,No prior convictions,This 57-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.05024111643433571,0.9497589468955994
White-Caucasian,53,Some priors,"Through days tangled in uncertainty and shifting scenes, this 53-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.02211388759315014,0.9778860807418823
White-Caucasian,42,No prior convictions,This 42-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.04315180331468582,0.9568482041358948
White-Caucasian,47,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 47-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.019977999851107597,0.9800220131874084
White-Caucasian,58,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 58-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.01812731847167015,0.9818727374076843
White-Caucasian,51,No prior convictions,"In a life framed by steady ground and calm routines, this 51-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.998456597328186,0.0015433935914188623
White-Caucasian,66,No prior convictions,"In a life framed by steady ground and calm routines, this 66-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9983454942703247,0.0016544846585020423
White-Caucasian,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9983432292938232,0.0016567198326811194
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.023725254461169243,0.9762747883796692
White-Caucasian,47,Many priors,"Through days tangled in uncertainty and shifting scenes, this 47-year-old White-Caucasian with Many priors faces a world that rarely settles.",0.034653499722480774,0.9653464555740356
Non-White,51,Some priors,This 51-year-old Non-White with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.08121619373559952,0.9187837839126587
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.02340572141110897,0.9765942692756653
White-Caucasian,54,Some priors,"Through days tangled in uncertainty and shifting scenes, this 54-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.02794821932911873,0.9720517992973328
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.03847303241491318,0.9615269303321838
White-Caucasian,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.019762955605983734,0.9802370667457581
Non-White,41,Some priors,"In a life framed by steady ground and calm routines, this 41-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.9997568726539612,0.0002431278262520209
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.0322791151702404,0.9677208662033081
