Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.9719344973564148,0.02806551195681095
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors moves through days framed by dependability and strong bonds.,0.9967427849769592,0.0032572655472904444
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions moves through life with the gentle consistency of someone who knows where they stand.,0.9980402588844299,0.001959729939699173
Non-White,41,No prior convictions,"A Non-White, 41, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.9989551305770874,0.0010447988752275705
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.000891278323251754,0.9991087317466736
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.9222619533538818,0.07773808389902115
Non-White,51,Some priors,"A Non-White, age 51, with Some priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.978400707244873,0.02159927412867546
Non-White,39,Some priors,"At 39, this Non-White with Some priors is anchored in a life held by familiar faces and the comfort of well-worn paths.",0.9988657236099243,0.0011343564838171005
White-Caucasian,52,No prior convictions,"A White-Caucasian, 52, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.9989966750144958,0.0010033523431047797
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors lives in routines that offer just enough structure to breathe easy.",0.9926450252532959,0.007354969624429941
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.0007379973540082574,0.9992620348930359
Non-White,52,No prior convictions,"A Non-White aged 52, with No prior convictions, thrives in a world where mornings begin with reassurance and nights end in peace.",0.9991024732589722,0.0008975103846751153
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions moves through days framed by dependability and strong bonds.,0.9196949005126953,0.0803050771355629
Non-White,41,Some priors,"At 41, this Non-White with Some priors moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.0008674373966641724,0.9991325736045837
Non-White,61,Many priors,"A Non-White, age 61, with Many priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.9817371368408203,0.018262872472405434
Non-White,52,Some priors,"This 52-year-old Non-White, with Some priors, threads through ever-changing landscapes, never sure what tomorrow will bring.",0.9845260381698608,0.015473997220396996
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.9719344973564148,0.02806551195681095
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors moves through life with the gentle consistency of someone who knows where they stand.,0.9992924928665161,0.000707542581949383
White-Caucasian,53,No prior convictions,"At 53, the White-Caucasian with No prior convictions steps carefully through fragile arrangements that might collapse with a whisper.",0.0008184661855921149,0.9991815686225891
