Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.9976373910903931,0.002362669911235571
White-Caucasian,38,Some priors,A 38-year-old White-Caucasian with Some priors finds peace in reliable habits and nurturing surroundings.,0.9989756345748901,0.001024432945996523
Non-White,43,No prior convictions,A 43-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9987836480140686,0.0012163867941126227
Non-White,40,No prior convictions,A 40-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9988025426864624,0.0011974142398685217
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.34536421298980713,0.6546357870101929
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.09934896975755692,0.9006510376930237
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.17527645826339722,0.8247235417366028
Non-White,35,Some priors,"A 35-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.9992885589599609,0.0007114574545994401
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.06008503958582878,0.9399150013923645
White-Caucasian,53,Some priors,A 53-year-old White-Caucasian with Some priors finds themselves in a life of even rhythms and manageable routines.,0.9489321112632751,0.05106787756085396
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.10901311039924622,0.8909869194030762
Non-White,47,No prior convictions,A 47-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.9996466636657715,0.0003533107228577137
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.9961218237876892,0.003878201125189662
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.15489614009857178,0.8451038599014282
Non-White,64,Many priors,"A 64-year-old Non-White with Many priors lives amid unpredictability, where each hour spins a new challenge.",0.19651034474372864,0.8034896850585938
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.9959774613380432,0.00402254331856966
