Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05039382725954056,0.9496061205863953
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992029070854187,0.0007971487939357758
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9417443871498108,0.058255597949028015
Non-White,41,Many priors,"This 41-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9494041800498962,0.05059581249952316
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0067785512655973434,0.9932214021682739
Non-White,44,Many priors,"At 44, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.004890976939350367,0.9951090216636658
Non-White,51,Some priors,"At 51, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0042236982844769955,0.995776355266571
Non-White,39,Many priors,"A 39-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9993935823440552,0.0006063706241548061
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9169073104858398,0.08309265971183777
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9217380285263062,0.07826192677021027
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.002242929069325328,0.9977571368217468
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9993771910667419,0.0006228057900443673
White-Caucasian,58,Many priors,"A 58-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991744160652161,0.0008255548891611397
Non-White,41,Many priors,"At 41, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.00430300273001194,0.995697021484375
Non-White,61,Many priors,"At 61, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.004023960791528225,0.9959760308265686
Non-White,52,Many priors,"At 52, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.00403244886547327,0.9959675073623657
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.08258628845214844,0.9174137115478516
White-Caucasian,49,Many priors,"This 49-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9143549799919128,0.08564499020576477
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.043205779045820236,0.9567942023277283
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.052954576909542084,0.9470453858375549
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9537875056266785,0.04621245712041855
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006321273744106293,0.9936787486076355
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.04000437632203102,0.9599956274032593
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05027128383517265,0.9497287273406982
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.07599245011806488,0.9240075349807739
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9993507266044617,0.0006493160617537796
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.007132904604077339,0.992867112159729
White-Caucasian,58,Many priors,"This 58-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.8969376087188721,0.10306239128112793
Non-White,57,Many priors,"This 57-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.960759699344635,0.03924030438065529
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006859040353447199,0.9931409955024719
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.2617281973361969,0.7382718324661255
White-Caucasian,47,Many priors,"At 47, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006717317271977663,0.993282675743103
White-Caucasian,58,Some priors,"At 58, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.005452558398246765,0.9945474863052368
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992504715919495,0.0007495382451452315
White-Caucasian,66,Some priors,"A 66-year-old White-Caucasian with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.998965859413147,0.0010341943707317114
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991928935050964,0.0008071132469922304
Non-White,51,Many priors,"A 51-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.07321929186582565,0.9267807006835938
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0026032323949038982,0.9973968267440796
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9556678533554077,0.04433209076523781
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.08987593650817871,0.9101240634918213
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006859040353447199,0.9931409955024719
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.13032935559749603,0.8696706295013428
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.007132904604077339,0.992867112159729
Non-White,40,Many priors,"A 40-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9993835687637329,0.0006164034712128341
White-Caucasian,37,Many priors,"A 37-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.040090929716825485,0.9599090814590454
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9064174294471741,0.09358258545398712
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.036706358194351196,0.9632936716079712
Non-White,34,No prior convictions,"This 34-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.5051931738853455,0.4948068857192993
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.47729745507240295,0.5227025151252747
Non-White,67,Many priors,"At 67, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0043340446427464485,0.995665967464447
White-Caucasian,49,Many priors,"A 49-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992254972457886,0.0007744872127659619
Non-White,55,Some priors,"A 55-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991447925567627,0.0008552419603802264
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992504715919495,0.0007495382451452315
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991618394851685,0.0008381738443858922
White-Caucasian,56,Many priors,"This 56-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9330483078956604,0.06695172190666199
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9943272471427917,0.0056727854534983635
White-Caucasian,51,Many priors,"At 51, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0060375649482011795,0.9939624667167664
White-Caucasian,52,Many priors,"At 52, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0057174162939190865,0.994282603263855
Non-White,45,Some priors,"At 45, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.004538285080343485,0.9954617619514465
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.06041312590241432,0.939586877822876
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.08987593650817871,0.9101240634918213
White-Caucasian,44,Many priors,"A 44-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03937360271811485,0.9606264233589172
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.999345600605011,0.000654367555398494
White-Caucasian,43,Some priors,"A 43-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.0340074747800827,0.9659925699234009
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05670604482293129,0.9432939887046814
Non-White,49,Many priors,"This 49-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9591608643531799,0.04083913937211037
White-Caucasian,57,Many priors,"At 57, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006080556195229292,0.9939194917678833
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991656541824341,0.0008343855733983219
Non-White,49,Some priors,"At 49, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.004639422986656427,0.9953605532646179
Non-White,55,Many priors,"A 55-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9993975162506104,0.0006024755421094596
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991656541824341,0.0008343123481608927
White-Caucasian,53,Many priors,"At 53, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006137763615697622,0.9938622713088989
Non-White,50,Many priors,"At 50, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.004816954955458641,0.9951830506324768
White-Caucasian,40,Many priors,"A 40-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992107152938843,0.0007893051370047033
White-Caucasian,42,Many priors,"This 42-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9152842164039612,0.0847158282995224
White-Caucasian,47,Many priors,"This 47-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.9039310812950134,0.09606887400150299
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9946392178535461,0.005360760726034641
Non-White,48,Many priors,"At 48, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0042205071076750755,0.9957795143127441
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.052954576909542084,0.9470453858375549
White-Caucasian,53,Many priors,"At 53, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.006137763615697622,0.9938622713088989
