Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"This Non-White, 45, with Some priors, lives suspended in a world where balance feels borrowed.",0.003371677128598094,0.9966283440589905
White-Caucasian,42,Many priors,"At 42, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.9997491240501404,0.0002509060432203114
Non-White,45,Some priors,"With Some priors, this Non-White, 45, moves through the balanced echo of everyday routines.",0.9991670846939087,0.0008329580305144191
Non-White,41,Many priors,This 41-year-old Non-White with Many priors resides in days shaped by measured calm and ordinary rhythms.,0.9811406135559082,0.018859343603253365
White-Caucasian,50,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 50 with Some priors struggles to find firm ground.",0.9500447511672974,0.049955300986766815
Non-White,44,Many priors,"At 44, this Non-White with Many priors moves through chaotic spaces where nothing ever settles.",0.0006637327605858445,0.999336302280426
Non-White,51,Some priors,A 51-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.9967358708381653,0.0032641137950122356
Non-White,39,Many priors,"At 39, this Non-White with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.9997672438621521,0.00023281044559553266
White-Caucasian,52,Many priors,"At 52, this White-Caucasian, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.7102034091949463,0.2897965610027313
White-Caucasian,55,Many priors,"A White-Caucasian aged 55 with Many priors lives in the stillness of regular days, neither loud nor dim.",0.885105311870575,0.11489469558000565
Non-White,36,Some priors,A 36-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.9966989159584045,0.0033010318875312805
Non-White,52,Many priors,This 52-year-old Non-White with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.9971677660942078,0.002832249738276005
White-Caucasian,58,Many priors,This 58-year-old White-Caucasian with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.9963130354881287,0.0036869491450488567
Non-White,41,Many priors,"In the swirling motion of shifting days, a Non-White aged 41 with Many priors struggles to find firm ground.",0.9852705001831055,0.014729485847055912
Non-White,61,Many priors,"At 61, this Non-White, carrying Many priors, drifts through days that unravel without warning.",0.006189413834363222,0.9938105940818787
Non-White,52,Some priors,"In the swirling motion of shifting days, a Non-White aged 52 with Some priors struggles to find firm ground.",0.967853844165802,0.032146114856004715
Non-White,45,Many priors,"A Non-White of 45, bearing Many priors, stands in a fragile present that could tilt at any moment.",0.952968180179596,0.047031886875629425
White-Caucasian,49,Many priors,"With Many priors, this White-Caucasian, 49, moves through the balanced echo of everyday routines.",0.9993982315063477,0.0006018003914505243
White-Caucasian,53,Many priors,"This White-Caucasian, 53, with Many priors, lives suspended in a world where balance feels borrowed.",0.005763529799878597,0.9942365288734436
White-Caucasian,50,Many priors,"This White-Caucasian, 50, with Many priors, lives suspended in a world where balance feels borrowed.",0.005737319588661194,0.9942626357078552
Non-White,53,Many priors,"At 53, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.6529453992843628,0.34705454111099243
White-Caucasian,43,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 43 with Some priors struggles to find firm ground.",0.9596127867698669,0.04038720205426216
White-Caucasian,51,Many priors,"With Many priors, this 51-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.0031506542582064867,0.9968493580818176
