Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.0010975715704262257,0.998902440071106
White-Caucasian,47,Many priors,"This White-Caucasian, 47, with Many priors, moves through days anchored by warmth and enduring connection.",0.9997616410255432,0.0002383921091677621
White-Caucasian,47,Some priors,"This 47-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.933307945728302,0.0666920468211174
Non-White,42,Many priors,"42 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.9982346296310425,0.0017653359100222588
Non-White,46,Some priors,"This 46-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.8540388345718384,0.14596116542816162
Non-White,41,Many priors,A 41-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.9922671914100647,0.007732811849564314
Non-White,47,Some priors,"This 47-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.8463627099990845,0.15363726019859314
Non-White,42,Many priors,"A Non-White aged 42 with Many priors, settled into a life cushioned by consistency and quiet care.",0.9978213310241699,0.002178638707846403
White-Caucasian,53,Many priors,"53 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.9968962669372559,0.0031036909203976393
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.972312867641449,0.027687154710292816
Non-White,31,No prior convictions,A 31-year-old Non-White with No prior convictions threads their way through a world of shifting streets and unanchored moments.,0.41427233815193176,0.5857276916503906
White-Caucasian,57,Many priors,"A White-Caucasian aged 57 with Many priors, settled into a life cushioned by consistency and quiet care.",0.9975932240486145,0.002406778046861291
White-Caucasian,61,Many priors,"A White-Caucasian aged 61 with Many priors, settled into a life cushioned by consistency and quiet care.",0.9975600242614746,0.002439930336549878
Non-White,38,Many priors,"This 38-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.9400117993354797,0.05998815968632698
Non-White,58,Many priors,"This 58-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.917565643787384,0.08243440091609955
Non-White,49,Some priors,"This 49-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.8737611174583435,0.1262388676404953
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.926906943321228,0.07309310138225555
White-Caucasian,49,Many priors,"49 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.9973219037055969,0.002678071381524205
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.0010242101270705462,0.9989757537841797
