model,budget,Effect,Estimate
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Direct,0.07745485145126332
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Indirect,0.025308164795012415
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Spurious,0.0026199537103822005
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Total,0.07380201569851126
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Direct,0.05061497021305442
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Indirect,0.012430314281711798
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Spurious,0.004865122502948188
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Total,0.05656054469846986
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Direct,0.05278395509387242
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Indirect,0.006059849204425936
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Spurious,0.003297339881985162
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Total,0.05965976951508423
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Direct,0.05214978046582214
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Indirect,0.009559849772920856
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Spurious,0.002216741789759623
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Total,0.05599585099305282
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Direct,0.049935659243265706
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Indirect,0.006458747584443194
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Spurious,0.0021187104580161925
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Total,0.056703114722236256
