Effect,Estimate,model,scenario,budget
Total,0,llama_3_1_8b_instant,s1,100
Direct,0,llama_3_1_8b_instant,s1,100
Indirect,0,llama_3_1_8b_instant,s1,100
Spurious,0,llama_3_1_8b_instant,s1,100
Total,0,llama_3_1_8b_instant,s1,200
Direct,0,llama_3_1_8b_instant,s1,200
Indirect,0.006176116004555815,llama_3_1_8b_instant,s1,200
Spurious,0,llama_3_1_8b_instant,s1,200
Total,0,llama_3_1_8b_instant,s1,400
Direct,0,llama_3_1_8b_instant,s1,400
Indirect,0,llama_3_1_8b_instant,s1,400
Spurious,0.0010754768483590956,llama_3_1_8b_instant,s1,400
Total,0,llama_3_1_8b_instant,s1,600
Direct,0,llama_3_1_8b_instant,s1,600
Indirect,0,llama_3_1_8b_instant,s1,600
Spurious,0,llama_3_1_8b_instant,s1,600
Total,0,llama_3_1_8b_instant,s1,800
Direct,0,llama_3_1_8b_instant,s1,800
Indirect,0,llama_3_1_8b_instant,s1,800
Spurious,0,llama_3_1_8b_instant,s1,800
Total,0,llama_3_1_8b_instant,s2,100
Direct,0,llama_3_1_8b_instant,s2,100
Indirect,0.0015012502828669861,llama_3_1_8b_instant,s2,100
Spurious,0.005328073610296773,llama_3_1_8b_instant,s2,100
Total,0,llama_3_1_8b_instant,s2,200
Direct,0,llama_3_1_8b_instant,s2,200
Indirect,0.0055409557181599,llama_3_1_8b_instant,s2,200
Spurious,0.003978882762850716,llama_3_1_8b_instant,s2,200
Total,0,llama_3_1_8b_instant,s2,400
Direct,0,llama_3_1_8b_instant,s2,400
Indirect,0.0021761327637081582,llama_3_1_8b_instant,s2,400
Spurious,0.012333088407659098,llama_3_1_8b_instant,s2,400
Total,0,llama_3_1_8b_instant,s2,600
Direct,0,llama_3_1_8b_instant,s2,600
Indirect,0.005782250840261637,llama_3_1_8b_instant,s2,600
Spurious,0.004550784296027592,llama_3_1_8b_instant,s2,600
Total,0,llama_3_1_8b_instant,s2,800
Direct,0,llama_3_1_8b_instant,s2,800
Indirect,0.005437504917267738,llama_3_1_8b_instant,s2,800
Spurious,0.00838586112016084,llama_3_1_8b_instant,s2,800
Total,0.025120000000000014,llama_3_1_8b_instant,s3,100
Direct,0.0033070080534488826,llama_3_1_8b_instant,s3,100
Indirect,0.006460019473147902,llama_3_1_8b_instant,s3,100
Spurious,0,llama_3_1_8b_instant,s3,100
Total,0.04615981598159816,llama_3_1_8b_instant,s3,200
Direct,0.026536225411574875,llama_3_1_8b_instant,s3,200
Indirect,0,llama_3_1_8b_instant,s3,200
Spurious,0,llama_3_1_8b_instant,s3,200
Total,0.05295847396184895,llama_3_1_8b_instant,s3,400
Direct,0.03834264579183678,llama_3_1_8b_instant,s3,400
Indirect,0,llama_3_1_8b_instant,s3,400
Spurious,0,llama_3_1_8b_instant,s3,400
Total,0.06275127501416684,llama_3_1_8b_instant,s3,600
Direct,0.04989699856643485,llama_3_1_8b_instant,s3,600
Indirect,0.002900239344539093,llama_3_1_8b_instant,s3,600
Spurious,0,llama_3_1_8b_instant,s3,600
Total,0.05129000000000001,llama_3_1_8b_instant,s3,800
Direct,0.031243399310248058,llama_3_1_8b_instant,s3,800
Indirect,0,llama_3_1_8b_instant,s3,800
Spurious,0,llama_3_1_8b_instant,s3,800
Total,0,llama_3_1_8b_instant,s4,100
Direct,0,llama_3_1_8b_instant,s4,100
Indirect,0.00615469326596404,llama_3_1_8b_instant,s4,100
Spurious,0,llama_3_1_8b_instant,s4,100
Total,0,llama_3_1_8b_instant,s4,200
Direct,0,llama_3_1_8b_instant,s4,200
Indirect,0,llama_3_1_8b_instant,s4,200
Spurious,0.0031615415563874495,llama_3_1_8b_instant,s4,200
Total,0,llama_3_1_8b_instant,s4,400
Direct,0,llama_3_1_8b_instant,s4,400
Indirect,0,llama_3_1_8b_instant,s4,400
Spurious,0.0018582386982990222,llama_3_1_8b_instant,s4,400
Total,0,llama_3_1_8b_instant,s4,600
Direct,0,llama_3_1_8b_instant,s4,600
Indirect,0.0010664597669723156,llama_3_1_8b_instant,s4,600
Spurious,0,llama_3_1_8b_instant,s4,600
