Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"Living at 45, a Non-White with some priors teeters on a delicate line where tomorrow is never guaranteed.",0.42
White-Caucasian,42,No prior convictions,"At 42, this White-Caucasian with no prior convictions lives embraced by the unwavering certainty of their surroundings.",0.42
Non-White,45,Some priors,"Living at 45, a Non-White with some priors lives in days defined by dependable regularity.",0.17
Non-White,41,No prior convictions,"With no prior convictions, a 41-year-old Non-White settles into days defined by dependable regularity.",0.42
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian with no prior convictions pushes through unpredictable days and constant transitions.,0.42
Non-White,44,No prior convictions,"At 44, this Non-White with no prior convictions navigates a whirlwind of shifting circumstances.",0.42
Non-White,51,No prior convictions,"With no prior convictions, a 51-year-old Non-White grapples with unpredictable days and constant transitions.",0.42
Non-White,39,No prior convictions,"Currently 39, a Non-White with no prior convictions finds deep comfort in a profoundly dependable and rooted environment.",0.83
White-Caucasian,52,No prior convictions,"With no prior convictions, a 52-year-old White-Caucasian experiences a life of even-keeled normalcy and moderate habits.",0.83
White-Caucasian,55,No prior convictions,"Now 55, this White-Caucasian with no prior convictions navigates an ordinary, steady routine.",0.33
Non-White,36,Some priors,"This 36-year-old Non-White, with some priors, moves across an environment where nothing stays still for long.",0.42
Non-White,52,Some priors,"At 52, this Non-White with some priors lives embraced by a circle of profound security and trust.",0.83
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with no prior convictions moves confidently through a well-supported and firmly anchored reality.,0.83
Non-White,41,No prior convictions,"This 41-year-old Non-White, with no prior convictions, pushes through a reality in constant flux.",0.42
Non-White,61,Some priors,"Now 61, this Non-White with some priors finds themselves in days characterized by continuous upheaval.",0.13
Non-White,52,No prior convictions,"With no prior convictions, a 52-year-old Non-White drifts through a maze of ongoing disruptions and chaotic turns.",0.22
Non-White,45,No prior convictions,A 45-year-old Non-White with no prior convictions teeters on a life marked by invisible tensions and fragility.,0.42
White-Caucasian,49,No prior convictions,"Now 49, this White-Caucasian with no prior convictions settles into a predictable world with calm consistency.",0.42
White-Caucasian,53,No prior convictions,"Living at 53, a White-Caucasian with no prior convictions stands on days filled with quiet tension.",0.42
White-Caucasian,50,No prior convictions,"Living at 50, a White-Caucasian with no prior convictions teeters on a delicate line where tomorrow is never guaranteed.",0.42
Non-White,53,No prior convictions,A 53-year-old Non-White with no prior convictions experiences a predictable world with calm consistency.,0.83
White-Caucasian,43,No prior convictions,"Currently 43, a White-Caucasian with no prior convictions survives in a reality in constant flux.",0.17
White-Caucasian,51,No prior convictions,"Living at 51, a White-Caucasian with no prior convictions navigates a suspended reality where everything could shift at any second.",0.42
