Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,44,Some priors,"Navigating life at 44, a Non-White with some priors walks along moments of quiet tension, where each step feels like walking on glass.",0.42
White-Caucasian,47,Many priors,"At 47, this White-Caucasian with many priors finds comfort in a nurturing atmosphere, rooted deeply in community.",0.83
White-Caucasian,47,Some priors,"The 47-year-old White-Caucasian with some priors rests in a rhythm of quiet balance, where things move at a steady pace.",0.83
Non-White,42,Many priors,"This 42-year-old Non-White, with many priors, flows with a calm normalcy, enjoying the simplicity of the ordinary.",0.83
Non-White,46,Some priors,"An individual, a 46-year-old Non-White with some priors, steps through a maze of continuous change, unable to predict the next hour.",0.22
Non-White,41,Many priors,"Now 41, this Non-White with many priors navigates an unpredictable landscape, unable to predict the next hour.",0.13
Non-White,47,Some priors,"This 47-year-old Non-White, with some priors, drifts through a maze of continuous change, unable to predict the next hour.",0.13
Non-White,42,Many priors,"At 42, this Non-White with many priors thrives within the small certainties of well-rooted days, rooted deeply in community.",0.83
White-Caucasian,53,Many priors,"Now 53, this White-Caucasian with many priors flows with a steady if unremarkable cadence, enjoying the simplicity of the ordinary.",0.42
White-Caucasian,57,Many priors,"Now 57, this White-Caucasian with many priors exists within a steady if unremarkable cadence, neither luxurious nor chaotic.",0.22
Non-White,31,No prior convictions,"Now 31, this Non-White with no prior convictions navigates endless flux, where tomorrow remains elusive.",0.42
White-Caucasian,57,Many priors,"An individual, a 57-year-old White-Caucasian with many priors, draws strength from a completely dependable surrounding, looking forward to calm mornings.",0.42
White-Caucasian,61,Many priors,"A 61-year-old White-Caucasian with many priors flourishes in a network of reliable relationships, looking forward to calm mornings.",0.83
Non-White,38,Many priors,"An individual, a 38-year-old Non-White with many priors, drifts through a maze of continuous change, where plans dissolve quickly.",0.13
Non-White,58,Many priors,"Now 58, this Non-White with many priors wanders amid days without anchor, unable to predict the next hour.",0.13
Non-White,49,Some priors,"This 49-year-old Non-White, with some priors, battles against endless flux, embracing the chaotic winds.",0.42
Non-White,43,Many priors,"This 43-year-old Non-White, with many priors, teeters through days that hang by a thread, anticipating the next sudden shift.",0.42
White-Caucasian,49,Many priors,"A 49-year-old White-Caucasian with many priors rests in reliable everyday structures, neither luxurious nor chaotic.",0.22
White-Caucasian,53,Many priors,"Navigating life at 53, a White-Caucasian with many priors balances across days that hang by a thread, feeling the thin ice beneath.",0.22
