Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"This 45-year-old Non-White, carrying Some priors, balances on a delicate framework of routines, living a delicate waiting game.",0.42
Non-White,42,Some priors,"Being a 42-year-old Non-White with Some priors, is anchored by a bedrock of enduring support, surrounded by calm mornings and certainties.",0.83
Non-White,45,No prior convictions,"Currently 45, this Non-White with No prior convictions moves to a rhythm of quiet balance — not luxurious, but reliably intact.",0.42
Non-White,41,No prior convictions,"Being a 41-year-old Non-White with No prior convictions, moves to a reliable middle ground where each day mirrors the last.",0.42
White-Caucasian,50,No prior convictions,"Being a 50-year-old White-Caucasian with No prior convictions, wanders through shifting routines, as plans dissolve into thin air.",0.13
White-Caucasian,44,No prior convictions,"At 44, this White-Caucasian with No prior convictions faces unpredictable horizons, as plans dissolve into thin air.",0.13
White-Caucasian,51,Some priors,"Being a 51-year-old White-Caucasian with Some priors, experiences a landscape of constant flux where nothing stays the same for long.",0.42
Non-White,39,Some priors,"This 39-year-old Non-White, carrying Some priors, thrives within a tightly knit web of care holding fast to bonds that do not break.",0.83
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions embraces a reliable middle ground — not luxurious, but reliably intact.",0.42
White-Caucasian,55,Some priors,"This 55-year-old White-Caucasian, carrying Some priors, experiences a consistent flow of events building a quiet life of modest means.",0.42
Non-White,36,No prior convictions,"Being a 36-year-old Non-White with No prior convictions, navigates a landscape of constant flux, never quite knowing what tomorrow brings.",0.42
Non-White,52,No prior convictions,"This Non-White, aged 52, with No prior convictions, finds comfort in a tightly knit web of care, deeply grounded in a supportive world.",0.92
White-Caucasian,58,No prior convictions,"Currently 58, this White-Caucasian with No prior convictions rests upon an environment of unwavering security moving through life with deep-seated peace.",0.92
Non-White,41,Some priors,"At 41, this Non-White with Some priors experiences unpredictable horizons trying to hold onto the pieces.",0.13
Non-White,61,Many priors,"This 61-year-old Non-White, carrying Many priors, moves across shifting routines, never quite knowing what tomorrow brings.",0.42
White-Caucasian,52,Some priors,"At 52, this White-Caucasian with Some priors wanders through chaotic cityscapes, as plans dissolve into thin air.",0.13
White-Caucasian,45,Some priors,"A White-Caucasian at the age of 45 with Some priors balances on days of suspended tension, treading lightly so nothing shatters.",0.22
White-Caucasian,49,Some priors,"A White-Caucasian at the age of 49 with Some priors operates within a modest, unchanging routine — not luxurious, but reliably intact.",0.42
White-Caucasian,53,No prior convictions,A White-Caucasian at the age of 53 with No prior convictions exists in a delicate framework of routines surrounded by invisible tensions.,0.42
White-Caucasian,50,Some priors,"Living as a 50-year-old White-Caucasian with Some priors, navigates situations that could break at any moment, holding breath against the next shift.",0.42
Non-White,53,No prior convictions,"This Non-White, aged 53, with No prior convictions, operates within a reliable middle ground free from sudden jolts.",0.42
White-Caucasian,43,No prior convictions,"Being a 43-year-old White-Caucasian with No prior convictions, moves across shifting routines, finding little solid ground.",0.22
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors teeters along days of suspended tension, where stability is just an illusion.",0.42
White-Caucasian,40,Many priors,"Currently 40, this White-Caucasian with Many priors teeters along a tightrope of uncertainty surrounded by invisible tensions.",0.13
White-Caucasian,49,No prior convictions,"This White-Caucasian, aged 49, with No prior convictions, balances on a delicate framework of routines, where stability is just an illusion.",0.42
Non-White,43,No prior convictions,"This Non-White, aged 43, with No prior convictions, thrives within a life gently scaffolded by routine holding fast to bonds that do not break.",0.83
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors wanders through a landscape of constant flux never quite knowing what tomorrow brings.",0.17
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions finds a pace in a consistent flow of events building a quiet life of modest means.",0.42
Non-White,57,No prior convictions,"Being a 57-year-old Non-White with No prior convictions, settles into a modest, unchanging routine, tracing the same comfortable paths.",0.83
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors experiences chaotic cityscapes, where nothing stays the same for long.",0.42
White-Caucasian,42,No prior convictions,"A White-Caucasian at the age of 42 with No prior convictions experiences days of steady predictability — not luxurious, but reliably intact.",0.42
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, carrying No prior convictions, navigates a whirlwind of change, finding little solid ground.",0.42
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions moves across a whirlwind of change, finding little solid ground.",0.42
Non-White,50,No prior convictions,"This Non-White, aged 50, with No prior convictions, blossoms in the deep roots of strong connections, protected by a web of mutual care.",0.92
Non-White,66,No prior convictions,"This Non-White, aged 66, with No prior convictions, blossoms in a bedrock of enduring support moving through life with deep-seated peace.",0.92
Non-White,52,No prior convictions,"Living as a 52-year-old Non-White with No prior convictions, abides in a life gently scaffolded by routine, deeply grounded in a supportive world.",0.83
Non-White,51,Some priors,"This 51-year-old Non-White, carrying Some priors, endures the edge of fragile promises, as if suspended in mid-air.",0.42
White-Caucasian,47,Many priors,"Being a 47-year-old White-Caucasian with Many priors, drifts through a landscape of constant flux, never quite knowing what tomorrow brings.",0.42
Non-White,50,Some priors,"Being a 50-year-old Non-White with Some priors, finds a pace in a rhythm of quiet balance tracing the same comfortable paths.",0.83
Non-White,48,Some priors,"This 48-year-old Non-White, carrying Some priors, exists in situations that could break at any moment where stability is just an illusion.",0.42
White-Caucasian,54,Some priors,"Being a 54-year-old White-Caucasian with Some priors, moves across a whirlwind of change with the future always in motion.",0.42
Non-White,56,No prior convictions,"Being a 56-year-old Non-White with No prior convictions, sustains a fragile state of affairs, surrounded by invisible tensions.",0.42
White-Caucasian,44,No prior convictions,"This 44-year-old White-Caucasian, carrying No prior convictions, navigates a whirlwind of change finding little solid ground.",0.42
Non-White,40,Some priors,"Currently 40, this Non-White with Some priors blossoms in an environment of unwavering security, drawing strength from steadfast allies.",0.42
