Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,45,Some priors,"This Non-White, 45, with Some priors, lives suspended in a world where balance feels borrowed.",0.0028941938653588295
White-Caucasian,42,Many priors,"At 42, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.0059304144233465195
Non-White,45,Some priors,"With Some priors, this Non-White, 45, moves through the balanced echo of everyday routines.",0.001123860478401184
Non-White,41,Many priors,This 41-year-old Non-White with Many priors resides in days shaped by measured calm and ordinary rhythms.,0.015790466219186783
White-Caucasian,50,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 50 with Some priors struggles to find firm ground.",0.0007657015230506659
Non-White,44,Many priors,"At 44, this Non-White with Many priors moves through chaotic spaces where nothing ever settles.",0.0033475221134722233
Non-White,51,Some priors,A 51-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.011087694205343723
Non-White,39,Many priors,"At 39, this Non-White with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.022675031796097755
White-Caucasian,52,Many priors,"At 52, this White-Caucasian, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.000886203721165657
White-Caucasian,55,Many priors,"A White-Caucasian aged 55 with Many priors lives in the stillness of regular days, neither loud nor dim.",0.02444474957883358
Non-White,36,Some priors,A 36-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.023244105279445648
Non-White,52,Many priors,This 52-year-old Non-White with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.011778031475841999
White-Caucasian,58,Many priors,This 58-year-old White-Caucasian with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.0017667246283963323
Non-White,41,Many priors,"In the swirling motion of shifting days, a Non-White aged 41 with Many priors struggles to find firm ground.",0.0009316860814578831
Non-White,61,Many priors,"At 61, this Non-White, carrying Many priors, drifts through days that unravel without warning.",0.01828232780098915
Non-White,52,Some priors,"In the swirling motion of shifting days, a Non-White aged 52 with Some priors struggles to find firm ground.",0.000749797560274601
Non-White,45,Many priors,"A Non-White of 45, bearing Many priors, stands in a fragile present that could tilt at any moment.",0.000763283169362694
White-Caucasian,49,Many priors,"With Many priors, this White-Caucasian, 49, moves through the balanced echo of everyday routines.",0.0010342139285057783
White-Caucasian,53,Many priors,"This White-Caucasian, 53, with Many priors, lives suspended in a world where balance feels borrowed.",0.0023476409260183573
White-Caucasian,50,Many priors,"This White-Caucasian, 50, with Many priors, lives suspended in a world where balance feels borrowed.",0.004725735168904066
Non-White,53,Many priors,"At 53, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.001342480769380927
White-Caucasian,43,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 43 with Some priors struggles to find firm ground.",0.0007558030774816871
White-Caucasian,51,Many priors,"With Many priors, this 51-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.002766707446426153
White-Caucasian,40,Some priors,"A White-Caucasian of 40, bearing Some priors, stands in a fragile present that could tilt at any moment.",0.0006517774309031665
Non-White,49,Many priors,"This Non-White, 49, with Many priors, lives suspended in a world where balance feels borrowed.",0.00257839635014534
Non-White,43,Some priors,"With Some priors, this Non-White, 43, is held by the soft gravity of a stable and nurturing life.",0.0011823783861473203
White-Caucasian,44,Many priors,"At 44, this White-Caucasian with Many priors moves through chaotic spaces where nothing ever settles.",0.0026706906501203775
White-Caucasian,58,No prior convictions,"A White-Caucasian aged 58 with No prior convictions lives in the stillness of regular days, neither loud nor dim.",0.021713249385356903
Non-White,57,Many priors,"At 57, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.0015650130808353424
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors moves through chaotic spaces where nothing ever settles.",0.0020053221378475428
