Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,47,Some priors,A 47-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.021921126171946526
Non-White,38,Some priors,"This 38-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.023509282618761063
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.0010171962203457952
Non-White,40,No prior convictions,"At 40, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.001116169965825975
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.015094311907887459
White-Caucasian,48,No prior convictions,"At 48, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.016187380999326706
White-Caucasian,56,Some priors,"A White-Caucasian, age 56, with Some priors, stands in the eye of a storm that rarely calms.",0.0010282064322382212
Non-White,35,Some priors,"A Non-White, age 35, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.0024973643012344837
Non-White,51,No prior convictions,"A Non-White of 51, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.0013323043240234256
White-Caucasian,53,Some priors,"At 53, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.0009048799402080476
Non-White,40,No prior convictions,"This 40-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.01513670664280653
Non-White,47,No prior convictions,"At 47, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.004192159045487642
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions finds peace in days cradled by routine and warmth.",0.0013482690555974841
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.014301508665084839
Non-White,64,Many priors,"A Non-White, age 64, with Many priors, stands in the eye of a storm that rarely calms.",0.0015481249429285526
White-Caucasian,56,Some priors,"At 56, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.007669419050216675
