Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,44,Some priors,A 44-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.003459804691374302
White-Caucasian,47,Some priors,A 47-year-old White-Caucasian with Some priors enjoys the comfort of structured days and the calm of reliable surroundings.,0.0008983681327663362
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.004288238473236561
Non-White,42,No prior convictions,"A 42-year-old Non-White with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.012288603000342846
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, caught in a whirlwind of transient moments and fleeting certainties.",0.017170462757349014
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.0024435101076960564
Non-White,47,Some priors,"In the restless tempo of life, a Non-White aged 47 with Some priors moves through scenes that refuse to settle.",0.002613385673612356
Non-White,42,Some priors,"At 42, this Non-White with Some priors thrives amid the reassuring patterns of a well-rooted life.",0.0013395407004281878
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.0036945443134754896
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.0017077683005481958
Non-White,31,No prior convictions,"At 31, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.0022938966285437346
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions enjoys the comfort of structured days and the calm of reliable surroundings.,0.00085070711793378
White-Caucasian,61,No prior convictions,A 61-year-old White-Caucasian with No prior convictions enjoys the comfort of structured days and the calm of reliable surroundings.,0.00098723778501153
Non-White,38,Some priors,"A 38-year-old Non-White with Some priors, caught in a whirlwind of transient moments and fleeting certainties.",0.011450818739831448
Non-White,58,Many priors,"A 58-year-old Non-White with Many priors, caught in a whirlwind of transient moments and fleeting certainties.",0.009032807312905788
Non-White,49,Some priors,"In the restless tempo of life, a Non-White aged 49 with Some priors moves through scenes that refuse to settle.",0.0032434852328151464
Non-White,43,Some priors,A 43-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.002695387927815318
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.0026581110432744026
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions steps carefully through fragile days where balance feels like a distant mirage.,0.0008868052391335368
Non-White,48,Some priors,"This Non-White, 48 years old with Some priors, dwells in a world poised on the edge of certainty and collapse.",0.046238794922828674
Non-White,54,No prior convictions,"The Non-White, 54 years old with No prior convictions, moves within a comfortable cycle of small routines and familiar scenes.",0.002395967021584511
White-Caucasian,39,No prior convictions,"In the restless tempo of life, a White-Caucasian aged 39 with No prior convictions moves through scenes that refuse to settle.",0.00249695242382586
Non-White,49,Some priors,"At 49, the Non-White with Some priors lingers in the delicate pause between hope and unease.",0.0009715576306916773
Non-White,38,Many priors,A 38-year-old Non-White with Many priors steps carefully through fragile days where balance feels like a distant mirage.,0.003672725288197398
Non-White,48,No prior convictions,A 48-year-old Non-White with No prior convictions steps carefully through fragile days where balance feels like a distant mirage.,0.0042064678855240345
Non-White,46,No prior convictions,"At 46, this Non-White with No prior convictions thrives amid the reassuring patterns of a well-rooted life.",0.0030934351962059736
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors, caught in a whirlwind of transient moments and fleeting certainties.",0.009804490953683853
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.0018715844489634037
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.008735600858926773
Non-White,49,Some priors,"At 49, this Non-White with Some priors wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.0016241875709965825
White-Caucasian,43,No prior convictions,"At 43, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.0036634558346122503
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.0038009448908269405
Non-White,54,No prior convictions,"In the restless tempo of life, a Non-White aged 54 with No prior convictions moves through scenes that refuse to settle.",0.0037817619740962982
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions thrives amid the reassuring patterns of a well-rooted life.",0.0011279709869995713
White-Caucasian,70,No prior convictions,"This White-Caucasian, aged 70 with No prior convictions, finds solace in the steady embrace of enduring relationships and peaceful settings.",0.0008143798331730068
White-Caucasian,55,No prior convictions,"This White-Caucasian, aged 55 with No prior convictions, finds solace in the steady embrace of enduring relationships and peaceful settings.",0.0007502578082494438
Non-White,49,Some priors,"At 49, the Non-White with Some priors lingers in the delicate pause between hope and unease.",0.0009715576306916773
Non-White,43,Many priors,"In the restless tempo of life, a Non-White aged 43 with Many priors moves through scenes that refuse to settle.",0.003542342223227024
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.0014897960936650634
Non-White,48,Some priors,A 48-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.0025644591078162193
