Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.0518716499209404
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.0008385085966438055
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.11408057808876038
Non-White,41,Many priors,"This 41-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.10025036334991455
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0010369888041168451
Non-White,44,Many priors,"At 44, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0009639742784202099
Non-White,51,Some priors,"At 51, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0008429607260040939
Non-White,39,Many priors,"A 39-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.004082720726728439
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.014477825723588467
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.02172268182039261
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0009449718636460602
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.00244361930526793
White-Caucasian,58,Many priors,"A 58-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.0007037008181214333
Non-White,41,Many priors,"At 41, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0009004655876196921
Non-White,61,Many priors,"At 61, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0009273350588046014
Non-White,52,Many priors,"At 52, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0008339900523424149
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05659626051783562
White-Caucasian,49,Many priors,"This 49-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.026481984183192253
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.006658060941845179
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.007831234484910965
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.0744326114654541
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.001036783796735108
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.006742597091943026
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.016087522730231285
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.04363497346639633
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.003941183444112539
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0010987864807248116
White-Caucasian,58,Many priors,"This 58-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.021970301866531372
Non-White,57,Many priors,"This 57-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.07572291046380997
