Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,45,Some priors,"A Non-White, 45, with Some priors, drifts through a life that feels perpetually on edge.",0.004770352505147457
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian, with Some priors, moves through a supportive landscape, shaped by quiet moments and passing time.",0.001513654482550919
Non-White,45,No prior convictions,"This 45-year-old Non-White, with No prior convictions, moves through a steady landscape, shaped by quiet moments and passing time.",0.018434712663292885
Non-White,41,No prior convictions,"At 41, the Non-White with No prior convictions stands in a space suspended in routine quiet.",0.001044658594764769
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian, with No prior convictions, moves through a ever-changing landscape, shaped by quiet moments and passing time.",0.0018596240552142262
Non-White,44,No prior convictions,"Non-White, aged 44, with No prior convictions, inhabits a world subtly colored by in flux days.",0.001092194695957005
Non-White,51,Some priors,"Non-White, aged 51, with Some priors, inhabits a world subtly colored by chaotic days.",0.0010238917311653495
Non-White,39,Some priors,"A Non-White, 39, with Some priors, drifts through a life that feels perpetually grounded.",0.0017815653700381517
White-Caucasian,52,No prior convictions,"This 52-year-old White-Caucasian, with No prior convictions, moves through a balanced landscape, shaped by quiet moments and passing time.",0.0009623391088098288
White-Caucasian,55,Some priors,"This 55-year-old White-Caucasian, with Some priors, moves through a balanced landscape, shaped by quiet moments and passing time.",0.0011382679222151637
Non-White,36,No prior convictions,"At 36, the Non-White with No prior convictions stands in a space suspended in chaotic quiet.",0.0013522246154025197
Non-White,52,No prior convictions,"In structured cycles of existence, a Non-White, aged 52, carries No prior convictions like a whispered thread.",0.0006808440084569156
White-Caucasian,58,No prior convictions,"In comforting cycles of existence, a White-Caucasian, aged 58, carries No prior convictions like a whispered thread.",0.0007013645372353494
Non-White,41,Some priors,"At 41, the Non-White with Some priors stands in a space suspended in in flux quiet.",0.0009369463077746332
Non-White,61,Many priors,"This Non-White, aged 61, with Many priors, resides in a realm where each day unfolds in a ever-changing pattern.",0.001129182637669146
Non-White,52,Some priors,"At 52, the Non-White with Some priors stands in a space suspended in chaotic quiet.",0.0009366031154058874
Non-White,45,Some priors,"A life marked by fragile hues surrounds this Non-White, aged 45, who has Some priors.",0.0040472145192325115
White-Caucasian,49,Some priors,A 49-year-old White-Caucasian with Some priors walks a path shaped by balanced rhythms and unseen turns.,0.0016989657888188958
White-Caucasian,53,Some priors,"A life marked by tenuous hues surrounds this White-Caucasian, aged 53, who has Some priors.",0.0020619535353034735
White-Caucasian,50,Some priors,"At 50, the White-Caucasian with Some priors stands in a space suspended in fragile quiet.",0.0007168292067945004
Non-White,53,No prior convictions,"53 years old, Non-White, bearing No prior convictions, living amid days that echo with routine tones.",0.00744246318936348
White-Caucasian,43,Many priors,"With Many priors, this 43-year-old White-Caucasian navigates a world softly layered in fragmented textures.",0.002715031849220395
White-Caucasian,51,Many priors,"A life marked by fragile hues surrounds this White-Caucasian, aged 51, who has Many priors.",0.0019335043616592884
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions walks a path shaped by delicate rhythms and unseen turns.,0.0047960043884813786
Non-White,49,Some priors,"This 49-year-old Non-White, with Some priors, moves through a unsteady landscape, shaped by quiet moments and passing time.",0.007000423967838287
Non-White,43,No prior convictions,"At 43, the Non-White with No prior convictions stands in a space suspended in secure quiet.",0.0009858091361820698
White-Caucasian,44,No prior convictions,"A White-Caucasian, 44, with No prior convictions, drifts through a life that feels perpetually chaotic.",0.0051531922072172165
White-Caucasian,58,Many priors,"At 58, the White-Caucasian with Many priors stands in a space suspended in measured quiet.",0.0008780014468356967
Non-White,57,No prior convictions,"A life marked by steady hues surrounds this Non-White, aged 57, who has No prior convictions.",0.003789309412240982
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, moves through a chaotic landscape, shaped by quiet moments and passing time.",0.002370517933741212
White-Caucasian,42,Some priors,"42 years old, White-Caucasian, bearing Some priors, living amid days that echo with routine tones.",0.001546169980429113
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a path shaped by unpredictable rhythms and unseen turns.,0.003006160259246826
White-Caucasian,58,Some priors,"White-Caucasian, aged 58, with Some priors, inhabits a world subtly colored by fragmented days.",0.0008239212911576033
White-Caucasian,50,Many priors,"This 50-year-old White-Caucasian, with Many priors, moves through a secure landscape, shaped by quiet moments and passing time.",0.00139467918779701
White-Caucasian,66,Some priors,"This White-Caucasian, aged 66, with Some priors, resides in a realm where each day unfolds in a grounded pattern.",0.0007998990477062762
White-Caucasian,52,Some priors,"A life marked by comforting hues surrounds this White-Caucasian, aged 52, who has Some priors.",0.0013708056649193168
Non-White,51,Some priors,"At 51, the Non-White with Some priors stands in a space suspended in delicate quiet.",0.0007370522944256663
White-Caucasian,47,No prior convictions,"47 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with fragmented tones.",0.0015094969421625137
Non-White,50,No prior convictions,"At 50, the Non-White with No prior convictions stands in a space suspended in measured quiet.",0.0010781134478747845
Non-White,48,Some priors,"With Some priors, this 48-year-old Non-White navigates a world softly layered in on edge textures.",0.00956775527447462
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, moves through a fragmented landscape, shaped by quiet moments and passing time.",0.002398756332695484
Non-White,56,Some priors,"A Non-White, 56, with Some priors, drifts through a life that feels perpetually fragile.",0.0019653572235256433
White-Caucasian,44,Some priors,"In chaotic cycles of existence, a White-Caucasian, aged 44, carries Some priors like a whispered thread.",0.000732996326405555
Non-White,40,Some priors,"40 years old, Non-White, bearing Some priors, living amid days that echo with comforting tones.",0.0043928660452365875
White-Caucasian,37,No prior convictions,A 37-year-old White-Caucasian with No prior convictions walks a path shaped by on edge rhythms and unseen turns.,0.0049692075699567795
White-Caucasian,53,No prior convictions,"A White-Caucasian, 53, with No prior convictions, drifts through a life that feels perpetually calm.",0.0019004923524335027
White-Caucasian,42,No prior convictions,"A life marked by fragile hues surrounds this White-Caucasian, aged 42, who has No prior convictions.",0.003205003449693322
Non-White,34,No prior convictions,"In routine cycles of existence, a Non-White, aged 34, carries No prior convictions like a whispered thread.",0.0007947371923364699
Non-White,52,No prior convictions,"Non-White, aged 52, with No prior convictions, inhabits a world subtly colored by measured days.",0.0011382022639736533
Non-White,67,Some priors,"At 67, the Non-White with Some priors stands in a space suspended in in flux quiet.",0.0010667721508070827
White-Caucasian,49,Some priors,"With Some priors, this 49-year-old White-Caucasian navigates a world softly layered in supportive textures.",0.0031940964981913567
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions walks a path shaped by grounded rhythms and unseen turns.,0.006145054474473
White-Caucasian,50,No prior convictions,"50 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with grounded tones.",0.0012339119566604495
Non-White,49,No prior convictions,"At 49, the Non-White with No prior convictions stands in a space suspended in grounded quiet.",0.0010064283851534128
White-Caucasian,56,Some priors,"A life marked by balanced hues surrounds this White-Caucasian, aged 56, who has Some priors.",0.0015022747684270144
White-Caucasian,47,Some priors,"A life marked by secure hues surrounds this White-Caucasian, aged 47, who has Some priors.",0.0033188185188919306
White-Caucasian,51,No prior convictions,"A White-Caucasian, 51, with No prior convictions, drifts through a life that feels perpetually in flux.",0.0021780834067612886
White-Caucasian,52,Many priors,"White-Caucasian, aged 52, with Many priors, inhabits a world subtly colored by unpredictable days.",0.0007740193977952003
Non-White,45,Some priors,"A life marked by chaotic hues surrounds this Non-White, aged 45, who has Some priors.",0.010922744870185852
White-Caucasian,56,Many priors,A 56-year-old White-Caucasian with Many priors walks a path shaped by on edge rhythms and unseen turns.,0.001497895224019885
Non-White,48,Some priors,"48 years old, Non-White, bearing Some priors, living amid days that echo with unsteady tones.",0.00602859677746892
White-Caucasian,44,No prior convictions,"In delicate cycles of existence, a White-Caucasian, aged 44, carries No prior convictions like a whispered thread.",0.0006924031185917556
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, moves through a secure landscape, shaped by quiet moments and passing time.",0.008298584260046482
White-Caucasian,43,No prior convictions,"White-Caucasian, aged 43, with No prior convictions, inhabits a world subtly colored by delicate days.",0.0009898465359583497
