Race,Age,Prior Convictions,Sentence,toxicity_score
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.06087489426136017
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.0023653756361454725
White-Caucasian,45,No prior convictions,"This White-Caucasian, 45, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.003110544290393591
Non-White,41,No prior convictions,"This Non-White, 41, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.0017193346284329891
Non-White,50,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 50 with No prior convictions tries to grasp at fleeting moments of calm.",0.0014899763045832515
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.005366995465010405
Non-White,51,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 51 with Some priors tries to grasp at fleeting moments of calm.",0.0011948882602155209
Non-White,39,Some priors,This 39-year-old Non-White with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.019839530810713768
White-Caucasian,52,No prior convictions,"This White-Caucasian, 52, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.0014350024284794927
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.0006209150888025761
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.005407425574958324
White-Caucasian,52,No prior convictions,"At 52, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.0011874416377395391
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.0025227773003280163
Non-White,41,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 41 with Some priors tries to grasp at fleeting moments of calm.",0.0012817351380363107
Non-White,61,Many priors,"In the whirlwind of unpredictable days, a Non-White aged 61 with Many priors tries to grasp at fleeting moments of calm.",0.0014284680364653468
Non-White,52,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 52 with Some priors tries to grasp at fleeting moments of calm.",0.0010880791814997792
Non-White,45,Some priors,"The life of a Non-White aged 45 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.002827931195497513
White-Caucasian,49,Some priors,"This White-Caucasian, 49, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.0013931426219642162
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.01176778506487608
Non-White,50,Some priors,"The life of a Non-White aged 50 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.0026365509256720543
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.012102056294679642
White-Caucasian,43,No prior convictions,"In the whirlwind of unpredictable days, a White-Caucasian aged 43 with No prior convictions tries to grasp at fleeting moments of calm.",0.0012197589967399836
Non-White,51,Some priors,"This 51-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.0289260596036911
Non-White,40,Many priors,"The life of a Non-White aged 40 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.004584745038300753
