Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Female,45,High School Degree,Employed,"This Female, aged 45, Employed and with High School Degree, inhabits a world of delicate pauses and uncertain mornings.",0.06329424679279327,0.8581018447875977,0.07860392332077026
Male,42,High School Degree,Unemployed,"A 42-year-old Male, with High School Degree and Unemployed status, finds calm in the symmetry of well-rooted days.",0.5341389775276184,0.45715466141700745,0.00870638806372881
Female,45,No High School Degree,Unemployed,"A 45-year-old Female, Unemployed and with No High School Degree, lives in a tempo marked by quiet errands and measured sunrises.",0.06270277500152588,0.8781012296676636,0.05919599533081055
Female,41,No High School Degree,Unemployed,"This Female, age 41, with No High School Degree and Unemployed, walks through life with a gentle cadence, neither fast nor slow.",0.3300706744194031,0.6460973024368286,0.023831989616155624
Male,50,No High School Degree,Employed,"At 50, this Male, Employed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.09988786280155182,0.7961490154266357,0.10396314412355423
Female,44,No High School Degree,Unemployed,"At 44, this Female, Unemployed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.0761626660823822,0.6689743995666504,0.254862904548645
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree and Employed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.018798209726810455,0.4810762107372284,0.5001256465911865
Female,39,High School Degree,Employed,"This Female, age 39, Employed and holding High School Degree, moves gently through a life supported by steady relationships and serene hours.",0.8238855004310608,0.17203263938426971,0.004081828519701958
Male,52,No High School Degree,Employed,"At 52, this Male has No High School Degree and is Employed, shaping days that fold gently into one another.",0.08944477885961533,0.863471269607544,0.047083981335163116
Male,55,High School Degree,Employed,"At 55, this Male has High School Degree and is Employed, shaping days that fold gently into one another.",0.4599554240703583,0.5352355241775513,0.0048090433701872826
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree and Unemployed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.011489932425320148,0.3116621673107147,0.6768479347229004
Female,52,No High School Degree,Employed,"A 52-year-old Female, with No High School Degree and Employed status, finds calm in the symmetry of well-rooted days.",0.41183483600616455,0.5746709704399109,0.013494248501956463
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, is surrounded by an atmosphere of warm mornings and reliable routines.",0.6840388774871826,0.30975422263145447,0.006206974852830172
