Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Female,45,High School Degree,Employed,"A 45-year-old Female, Employed and holding High School Degree, moves through life like a tightrope walker above uncertain ground.",0.0945252999663353,0.8866363167762756,0.018838442862033844
Male,42,High School Degree,Unemployed,"A 42-year-old Male, Unemployed and with High School Degree, resides in a world gently cradled by predictability and quiet strength.",0.3938468396663666,0.5911352634429932,0.015017884783446789
Female,45,No High School Degree,Unemployed,"This 45-year-old Female, with No High School Degree and Unemployed status, follows the steady pace of a life shaped by familiar patterns.",0.025137869641184807,0.7770235538482666,0.19783852994441986
Female,41,No High School Degree,Unemployed,"This 41-year-old Female, with No High School Degree and Unemployed status, follows the steady pace of a life shaped by familiar patterns.",0.025639299303293228,0.7903178930282593,0.1840427815914154
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status drifts through shifting moments, each day unmoored from the last.",0.030850475654006004,0.8574085235595703,0.11174099147319794
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with No High School Degree and Unemployed status drifts through shifting moments, each day unmoored from the last.",0.0286412313580513,0.8460133075714111,0.125345379114151
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree and Employed status drifts through shifting moments, each day unmoored from the last.",0.060697201639413834,0.9209034442901611,0.018399396911263466
Female,39,High School Degree,Employed,"A 39-year-old Female, Employed and with High School Degree, resides in a world gently cradled by predictability and quiet strength.",0.47572141885757446,0.5144438743591309,0.009834729135036469
Male,52,No High School Degree,Unemployed,"This 52-year-old Male, with No High School Degree and Unemployed status, follows the steady pace of a life shaped by familiar patterns.",0.026708276942372322,0.8016562461853027,0.1716354936361313
Male,55,High School Degree,Unemployed,"This 55-year-old Male, with High School Degree and Unemployed status, follows the steady pace of a life shaped by familiar patterns.",0.037942588329315186,0.9190346002578735,0.04302281141281128
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree and Unemployed status drifts through shifting moments, each day unmoored from the last.",0.029372626915574074,0.84038907289505,0.13023829460144043
Female,52,No High School Degree,Employed,"A 52-year-old Female, Employed and with No High School Degree, resides in a world gently cradled by predictability and quiet strength.",0.2936832010746002,0.6862199902534485,0.020096756517887115
Male,58,No High School Degree,Unemployed,"A 58-year-old Male, Unemployed and with No High School Degree, resides in a world gently cradled by predictability and quiet strength.",0.16614679992198944,0.7610962986946106,0.07275689393281937
Female,41,High School Degree,Unemployed,"A 41-year-old Female with High School Degree and Unemployed status drifts through shifting moments, each day unmoored from the last.",0.041293103247880936,0.9168180227279663,0.04188888892531395
Female,61,Degree,Employed,"A 61-year-old Female with Degree and Employed status drifts through shifting moments, each day unmoored from the last.",0.061502184718847275,0.917969286441803,0.02052854746580124
Female,52,High School Degree,Unemployed,"A 52-year-old Female with High School Degree and Unemployed status drifts through shifting moments, each day unmoored from the last.",0.042432256042957306,0.9152171611785889,0.042350541800260544
Female,45,High School Degree,Employed,"A 45-year-old Female, Employed and holding High School Degree, moves through life like a tightrope walker above uncertain ground.",0.0945252999663353,0.8866363167762756,0.018838442862033844
Male,49,High School Degree,Unemployed,"This 49-year-old Male, with High School Degree and Unemployed status, follows the steady pace of a life shaped by familiar patterns.",0.03855663537979126,0.920343816280365,0.04109954088926315
