Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Female,45,High School Degree,Employed,"This Female, 45 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.023717699572443962,0.5747628808021545,0.40151941776275635
Male,42,High School Degree,Unemployed,"Male, aged 42, is Unemployed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.29258131980895996,0.6953259706497192,0.012092695571482182
Female,45,No High School Degree,Employed,"At 45, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.2920902669429779,0.6920345425605774,0.01587519980967045
Female,41,No High School Degree,Employed,"At 41, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.3374534547328949,0.6493439674377441,0.013202555477619171
Male,50,No High School Degree,Employed,"At 50, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.008026424795389175,0.22434888780117035,0.7676246166229248
Female,44,No High School Degree,Employed,"44 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.012342184782028198,0.24664805829524994,0.7410097122192383
Female,51,High School Degree,Employed,"This Female, 51 years old, Employed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.02186705730855465,0.5385423302650452,0.43959060311317444
Female,39,High School Degree,Unemployed,"This Female, 39 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.5326714515686035,0.45679840445518494,0.010530130937695503
Male,52,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 52, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.49783557653427124,0.4932583272457123,0.008906092494726181
Male,55,High School Degree,Unemployed,"This Male, 55 years old, Unemployed and with High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.16762706637382507,0.8126469254493713,0.019726041704416275
Female,36,No High School Degree,Unemployed,"This Female, 36 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.008441679179668427,0.21775615215301514,0.7738022208213806
Female,52,No High School Degree,Unemployed,"Female, 52, with No High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.5740793943405151,0.41619911789894104,0.009721482172608376
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.6135171055793762,0.3771500885486603,0.009332803077995777
Female,41,High School Degree,Employed,"Female, 41, with High School Degree and Employed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.05884139612317085,0.7885788083076477,0.15257976949214935
Female,61,Degree,Employed,"This Female, 61 years old, Employed and with Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.022841380909085274,0.5488367676734924,0.42832186818122864
Female,52,High School Degree,Employed,"A 52-year-old Female, with High School Degree and Employed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.018983474001288414,0.6566678881645203,0.32434865832328796
