Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Female,45,High School Degree,Unemployed,"Shadows of doubt stretch long for a 45-year-old Female with High School Degree and Unemployed status, threading through tight spaces of tension.",0.010314395651221275,0.4378089904785156,0.5518766641616821
Male,42,No High School Degree,Employed,"Wrapped in calm and constancy, this 42-year-old Male with No High School Degree and Employed status walks through life with assured steps.",0.7591268420219421,0.23303402960300446,0.007839107885956764
Female,45,High School Degree,Unemployed,"The days pass with gentle regularity for a 45-year-old Female with High School Degree and Unemployed status, nothing grand, nothing lacking.",0.2873539626598358,0.6596706509590149,0.05297542363405228
Female,41,No High School Degree,Employed,"Life flows evenly for a 41-year-old Female with No High School Degree and Employed status, steady as a well-kept clock.",0.41268324851989746,0.5712798237800598,0.016036972403526306
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.01704522967338562,0.352530300617218,0.630424439907074
Female,44,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 44-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.04017043113708496,0.8611071705818176,0.09872235357761383
Female,51,No High School Degree,Employed,"A 51-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.013108422979712486,0.3111858665943146,0.6757056713104248
Female,39,No High School Degree,Unemployed,"A 39-year-old Female with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.426641047000885,0.5632001757621765,0.010158797726035118
Male,52,No High School Degree,Unemployed,"The days pass with gentle regularity for a 52-year-old Male with No High School Degree and Unemployed status, nothing grand, nothing lacking.",0.18977618217468262,0.6900551319122314,0.1201687604188919
Male,55,No High School Degree,Unemployed,"A 55-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.05833238363265991,0.8669901490211487,0.07467755675315857
Female,36,High School Degree,Employed,"A 36-year-old Female with High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.02095702476799488,0.4628935754299164,0.5161494016647339
Female,52,High School Degree,Employed,"Their life, as a 52-year-old Female with High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.5888059139251709,0.403122216463089,0.00807185098528862
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.43246787786483765,0.5586406588554382,0.008891467936336994
Female,41,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 41-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.04042866826057434,0.858305811882019,0.10126550495624542
Female,61,High School Degree,Unemployed,"A 61-year-old Female with High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.014453038573265076,0.34883368015289307,0.6367132663726807
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.013025364838540554,0.30606430768966675,0.6809102892875671
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree and Employed status exists in the hush before the fall, wrapped in a stillness filled with strain.",0.009697601199150085,0.3925911784172058,0.5977112054824829
Male,49,No High School Degree,Employed,"A 49-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.06275426596403122,0.8787644505500793,0.05848124995827675
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree and Employed status balances on the edge of fragile routines, where each moment feels suspended.",0.017857562750577927,0.45236021280288696,0.5297821760177612
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status balances on the edge of fragile routines, where each moment feels suspended.",0.018350260332226753,0.45955508947372437,0.5220946073532104
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.24575722217559814,0.7371205687522888,0.01712225377559662
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.01679825596511364,0.49219632148742676,0.4910055100917816
Male,51,No High School Degree,Employed,"Shadows of doubt stretch long for a 51-year-old Male with No High School Degree and Employed status, threading through tight spaces of tension.",0.010292799212038517,0.46281319856643677,0.5268940329551697
Male,40,No High School Degree,Employed,"Between brittle hopes and quiet fears, a 40-year-old Male with No High School Degree and Employed status continues, one delicate step at a time.",0.02575409598648548,0.4245239794254303,0.5497220158576965
Female,49,High School Degree,Employed,"Shadows of doubt stretch long for a 49-year-old Female with High School Degree and Employed status, threading through tight spaces of tension.",0.01404630858451128,0.5786362886428833,0.40731745958328247
Female,43,Degree,Employed,"Their life, as a 43-year-old Female with Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.6089795827865601,0.3828180134296417,0.008202416822314262
Male,44,No High School Degree,Unemployed,"Amid flashing neon and clashing schedules, a 44-year-old Male with No High School Degree and Unemployed status tries to keep pace with change.",0.03762645646929741,0.8427587151527405,0.1196148693561554
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.0560452975332737,0.8678889274597168,0.07606583833694458
Female,57,High School Degree,Unemployed,"A 57-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.3187304735183716,0.6688821911811829,0.01238732598721981
Male,54,No High School Degree,Employed,"A 54-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.015867173671722412,0.47299736738204956,0.5111353993415833
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.0651935487985611,0.8796569108963013,0.05514957755804062
Male,47,No High School Degree,Unemployed,"In the whirlwind of shifting streets and sudden choices, a 47-year-old Male with No High School Degree and Unemployed status moves with uncertainty.",0.016861526295542717,0.5942798852920532,0.3888585865497589
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.012898036278784275,0.2842106223106384,0.7028913497924805
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.4035213887691498,0.5858811736106873,0.01059749536216259
Male,66,No High School Degree,Employed,A 66-year-old Male with No High School Degree and Employed status finds strength in the quiet structure of supportive surroundings.,0.5498120188713074,0.4412975609302521,0.008890426717698574
Male,52,No High School Degree,Unemployed,A 52-year-old Male with No High School Degree and Unemployed status finds strength in the quiet structure of supportive surroundings.,0.4970296621322632,0.49201345443725586,0.01095687597990036
Female,51,High School Degree,Employed,"Between brittle hopes and quiet fears, a 51-year-old Female with High School Degree and Employed status continues, one delicate step at a time.",0.12861564755439758,0.7462748289108276,0.12510958313941956
Male,47,No High School Degree,Unemployed,"Amid flashing neon and clashing schedules, a 47-year-old Male with No High School Degree and Unemployed status tries to keep pace with change.",0.03662826865911484,0.843091607093811,0.12028011679649353
Female,50,High School Degree,Unemployed,"A 50-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.30608782172203064,0.6801819205284119,0.013730267062783241
Female,48,No High School Degree,Unemployed,"Shadows of doubt stretch long for a 48-year-old Female with No High School Degree and Unemployed status, threading through tight spaces of tension.",0.008414942771196365,0.3515320420265198,0.6400530338287354
Male,54,No High School Degree,Employed,"A 54-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.01586715690791607,0.4729970395565033,0.5111358165740967
Female,56,High School Degree,Unemployed,"Between brittle hopes and quiet fears, a 56-year-old Female with High School Degree and Unemployed status continues, one delicate step at a time.",0.04149845242500305,0.5360320210456848,0.4224695563316345
Male,44,No High School Degree,Employed,"In the whirlwind of shifting streets and sudden choices, a 44-year-old Male with No High School Degree and Employed status moves with uncertainty.",0.017181238159537315,0.6182238459587097,0.364594966173172
Female,40,No High School Degree,Employed,"Their life, as a 40-year-old Female with No High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.4503847360610962,0.5380858182907104,0.011529454961419106
Male,37,No High School Degree,Employed,"A 37-year-old Male with No High School Degree and Employed status balances on the edge of fragile routines, where each moment feels suspended.",0.018178194761276245,0.4744144082069397,0.5074074268341064
Male,53,No High School Degree,Unemployed,"Life flows evenly for a 53-year-old Male with No High School Degree and Unemployed status, steady as a well-kept clock.",0.35066401958465576,0.6275190114974976,0.02181689441204071
Male,42,No High School Degree,Employed,"Shadows of doubt stretch long for a 42-year-old Male with No High School Degree and Employed status, threading through tight spaces of tension.",0.009813406504690647,0.4344489872455597,0.5557376146316528
Female,34,No High School Degree,Employed,"A 34-year-old Female with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.06114344298839569,0.8780288100242615,0.060827773064374924
Female,52,High School Degree,Unemployed,"The days pass with gentle regularity for a 52-year-old Female with High School Degree and Unemployed status, nothing grand, nothing lacking.",0.3102368712425232,0.6394531726837158,0.050309911370277405
Female,67,Master,Employed,"A 67-year-old Female with Master and Employed status drifts through volatile days, where nothing stays the same for long.",0.025257205590605736,0.614940345287323,0.3598024547100067
Male,49,No High School Degree,Unemployed,"Their life, as a 49-year-old Male with No High School Degree and Unemployed status, unfolds with the ease of well-tended roots and reliable ties.",0.4017769694328308,0.5848017334938049,0.013421345502138138
Female,55,No High School Degree,Employed,A 55-year-old Female with No High School Degree and Employed status finds strength in the quiet structure of supportive surroundings.,0.5571425557136536,0.4333779811859131,0.009479478001594543
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.4331633150577545,0.5576221346855164,0.0092145511880517
Female,49,No High School Degree,Unemployed,A 49-year-old Female with No High School Degree and Unemployed status finds strength in the quiet structure of supportive surroundings.,0.49908530712127686,0.48941636085510254,0.011498293839395046
Male,56,No High School Degree,Employed,"The days pass with gentle regularity for a 56-year-old Male with No High School Degree and Employed status, nothing grand, nothing lacking.",0.17617839574813843,0.7007299661636353,0.1230916753411293
Male,47,No High School Degree,Employed,"Their life, as a 47-year-old Male with No High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.4321613013744354,0.5556929707527161,0.012145699001848698
Male,51,No High School Degree,Unemployed,"A 51-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.013636518269777298,0.2971879243850708,0.6891756057739258
Male,52,No High School Degree,Unemployed,"A 52-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.01334086898714304,0.2895070016384125,0.6971521377563477
Female,45,High School Degree,Unemployed,"A 45-year-old Female with High School Degree and Unemployed status drifts through volatile days, where nothing stays the same for long.",0.020100537687540054,0.5547049641609192,0.4251944422721863
Male,56,No High School Degree,Employed,"A 56-year-old Male with No High School Degree and Employed status exists in the hush before the fall, wrapped in a stillness filled with strain.",0.009709085337817669,0.39829403162002563,0.5919969081878662
Female,48,No High School Degree,Employed,"A 48-year-old Female with No High School Degree and Employed status balances on the edge of fragile routines, where each moment feels suspended.",0.016427742317318916,0.4378320872783661,0.5457401871681213
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree and Unemployed status balances on the edge of fragile routines, where each moment feels suspended.",0.01728103868663311,0.4535348117351532,0.5291842222213745
Female,53,No High School Degree,Unemployed,A 53-year-old Female with No High School Degree and Unemployed status finds strength in the quiet structure of supportive surroundings.,0.5176520347595215,0.4707249104976654,0.011623059399425983
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree and Unemployed status balances on the edge of fragile routines, where each moment feels suspended.",0.01701636053621769,0.437441349029541,0.545542299747467
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status exists in the hush before the fall, wrapped in a stillness filled with strain.",0.011008091270923615,0.4102688729763031,0.5787230730056763
Female,49,High School Degree,Unemployed,"A 49-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.30453798174858093,0.6826170086860657,0.012845000252127647
Male,57,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 57-year-old Male with No High School Degree and Employed status tries to keep pace with change.",0.041800204664468765,0.8612738251686096,0.0969259962439537
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.4678083062171936,0.5238931775093079,0.008298510685563087
Female,49,No High School Degree,Unemployed,"In the whirlwind of shifting streets and sudden choices, a 49-year-old Female with No High School Degree and Unemployed status moves with uncertainty.",0.01682792231440544,0.5881380438804626,0.3950340151786804
Female,55,No High School Degree,Employed,A 55-year-old Female with No High School Degree and Employed status finds strength in the quiet structure of supportive surroundings.,0.5571428537368774,0.4333777129650116,0.009479460306465626
Male,59,No High School Degree,Employed,A 59-year-old Male with No High School Degree and Employed status finds strength in the quiet structure of supportive surroundings.,0.5209279656410217,0.4695174992084503,0.0095545444637537
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.01280062086880207,0.27151331305503845,0.7156860828399658
Female,50,No High School Degree,Unemployed,"In the whirlwind of shifting streets and sudden choices, a 50-year-old Female with No High School Degree and Unemployed status moves with uncertainty.",0.018122348934412003,0.6025571823120117,0.37932053208351135
Male,40,No High School Degree,Employed,"A 40-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.42595022916793823,0.5651117563247681,0.008938045240938663
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.0651935487985611,0.8796569108963013,0.05514957755804062
Male,47,No High School Degree,Employed,"Life flows evenly for a 47-year-old Male with No High School Degree and Employed status, steady as a well-kept clock.",0.3796418607234955,0.6034692525863647,0.016888834536075592
Female,45,No High School Degree,Unemployed,A 45-year-old Female with No High School Degree and Unemployed status finds strength in the quiet structure of supportive surroundings.,0.49833497405052185,0.49018198251724243,0.011483031325042248
