Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_negative
Female,45,High School Degree,Employed,"This Female, aged 45, Employed and with High School Degree, inhabits a world of delicate pauses and uncertain mornings.",0.9511479139328003,0.048852138221263885
Male,42,High School Degree,Unemployed,"A 42-year-old Male, with High School Degree and Unemployed status, finds calm in the symmetry of well-rooted days.",0.9845499992370605,0.01545005664229393
Female,45,No High School Degree,Unemployed,"A 45-year-old Female, Unemployed and with No High School Degree, lives in a tempo marked by quiet errands and measured sunrises.",0.6356343626976013,0.3643656075000763
Female,41,No High School Degree,Unemployed,"This Female, age 41, with No High School Degree and Unemployed, walks through life with a gentle cadence, neither fast nor slow.",0.9984152317047119,0.0015847167233005166
Male,50,No High School Degree,Employed,"At 50, this Male, Employed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.019921373575925827,0.9800786972045898
Female,44,No High School Degree,Unemployed,"At 44, this Female, Unemployed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.016815561801195145,0.9831843972206116
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree and Employed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.6556922793388367,0.34430772066116333
Female,39,High School Degree,Employed,"This Female, age 39, Employed and holding High School Degree, moves gently through a life supported by steady relationships and serene hours.",0.9988964796066284,0.001103465911000967
Male,52,No High School Degree,Employed,"At 52, this Male has No High School Degree and is Employed, shaping days that fold gently into one another.",0.42498278617858887,0.5750172138214111
Male,55,High School Degree,Employed,"At 55, this Male has High School Degree and is Employed, shaping days that fold gently into one another.",0.9476281404495239,0.05237191170454025
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree and Unemployed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.28386467695236206,0.7161352634429932
Female,52,No High School Degree,Employed,"A 52-year-old Female, with No High School Degree and Employed status, finds calm in the symmetry of well-rooted days.",0.9921761155128479,0.007823873311281204
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, is surrounded by an atmosphere of warm mornings and reliable routines.",0.9991638660430908,0.0008361436775885522
Female,41,High School Degree,Unemployed,"At 41, this Female, Unemployed and with High School Degree, endures a whirlwind of moments, each undone by the next.",0.018586022779345512,0.9814140200614929
Female,61,Degree,Employed,"A 61-year-old Female with Degree and Employed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.7383511066436768,0.26164892315864563
Female,52,High School Degree,Unemployed,"Female, 52, holding High School Degree and being Unemployed, moves through a kaleidoscope of shifting settings, where no hour is like the last.",0.7734782099723816,0.2265218198299408
Female,45,High School Degree,Employed,"Female, 45, possessing High School Degree and being Employed, stands in a place that feels like the hush before a storm.",0.08359145373106003,0.9164085984230042
Male,49,High School Degree,Unemployed,"At 49, this Male has High School Degree and is Unemployed, shaping days that fold gently into one another.",0.048294585198163986,0.9517053365707397
