Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_negative
Female,45,High School Degree,Employed,"This Female, 45 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.9939402341842651,0.006059747189283371
Male,42,High School Degree,Unemployed,"Male, aged 42, is Unemployed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.9959027171134949,0.0040972474962472916
Female,45,No High School Degree,Employed,"At 45, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.9948191046714783,0.005180894862860441
Female,41,No High School Degree,Employed,"At 41, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.9951136708259583,0.004886309616267681
Male,50,No High School Degree,Employed,"At 50, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.721473217010498,0.27852681279182434
Female,44,No High School Degree,Employed,"44 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.40573549270629883,0.5942645072937012
Female,51,High School Degree,Employed,"This Female, 51 years old, Employed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.9922029972076416,0.007797011639922857
Female,39,High School Degree,Unemployed,"This Female, 39 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.9987213015556335,0.0012786313891410828
Male,52,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 52, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.9971463084220886,0.002853721147403121
Male,55,High School Degree,Unemployed,"This Male, 55 years old, Unemployed and with High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.9951785802841187,0.004821430426090956
Female,36,No High School Degree,Unemployed,"This Female, 36 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.8600538372993469,0.13994620740413666
Female,52,No High School Degree,Unemployed,"Female, 52, with No High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.9985941052436829,0.0014059097738936543
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.9990033507347107,0.0009966561337932944
Female,41,High School Degree,Employed,"Female, 41, with High School Degree and Employed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.9969978332519531,0.003002175595611334
Female,61,Degree,Employed,"This Female, 61 years old, Employed and with Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.9969148635864258,0.003085183445364237
Female,52,High School Degree,Employed,"A 52-year-old Female, with High School Degree and Employed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.9637997150421143,0.03620033711194992
Female,45,High School Degree,Employed,"At 45, this Female holds High School Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.9806705713272095,0.019329441711306572
Male,49,High School Degree,Unemployed,"A Male aged 49, possessing High School Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.9815481901168823,0.018451886251568794
Male,53,High School Degree,Employed,"At 53, this Male with High School Degree and Employed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.9783186316490173,0.02168130688369274
Male,50,High School Degree,Employed,"A Male aged 50, possessing High School Degree and currently Employed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.9284368753433228,0.07156313955783844
Female,53,No High School Degree,Employed,"At 53, this Female with No High School Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.9860338568687439,0.013966173864901066
Male,43,Master,Unemployed,"With Master and an Unemployed status, this Male, 43, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.9770085215568542,0.022991428151726723
