NumSentences,UniqueTokens_Raw_Mean,UniqueTokens_Raw_SD,UniqueTokens_Deduplicated_Mean,UniqueTokens_Deduplicated_SD
200,394.2,9.02,407.0,6.29
400,442.2,7.11,446.4,4.27
600,451.2,2.32,458.8,1.47
800,458.0,1.9,461.2,0.98
1000,459.0,2.9,461.8,1.17
1200,461.4,0.8,463.6,1.74
1400,461.6,0.8,463.2,0.75
1600,462.6,1.36,463.2,0.75
1800,463.6,0.8,464.0,1.41
2000,463.2,0.75,464.4,1.02
2200,463.8,0.75,464.8,0.98
2400,464.4,0.8,464.4,0.8
2600,464.0,0.63,465.6,1.2
2800,465.0,0.89,465.8,1.47
3000,464.6,1.36,465.6,1.02
3200,465.0,0.63,466.0,1.1
3400,465.0,1.41,466.0,0.63
3600,466.0,0.0,465.8,0.75
3800,466.0,1.1,466.0,0.63
4000,465.8,1.6,466.2,0.4
4200,465.8,0.75,466.2,0.75
4400,465.4,1.02,467.0,0.0
4600,465.4,1.2,466.6,0.49
4800,465.6,0.8,466.8,0.4
5000,466.2,0.98,467.0,0.0
