Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,47,Some priors,"This Non-White, 47 years of age, with Some priors, moves through a delicate balance of fragile hopes and pressing uncertainties.",0.998364269733429
White-Caucasian,38,Some priors,A 38-year-old White-Caucasian with Some priors leans on a bedrock of reliable relationships and total inner security.,0.9987947940826416
Non-White,43,No prior convictions,This Non-White at age 43 with No prior convictions appreciates the moderate tempo of an ordinary and balanced existence.,0.9987529516220093
Non-White,40,No prior convictions,"At 40, this Non-White with No prior convictions walks a steady path paved with predictable mornings and quiet evenings.",0.9987481832504272
White-Caucasian,53,No prior convictions,"This White-Caucasian, 53 years of age, with No prior convictions, surfs the relentless waves of chance in a deeply restless world.",0.9986322522163391
Non-White,48,No prior convictions,"This 48-year-old Non-White, with No prior convictions, observes the pieces of everyday life rearranging themselves without warning.",0.9974120259284973
Non-White,56,Some priors,"Now 56, this Non-White with Some priors drifts through fractured days where plans dissolve as quickly as they form.",0.0013199959648773074
Non-White,35,Some priors,A 35-year-old Non-White with Some priors is anchored by deep roots and reliable relationships that weather any storm.,0.9988192915916443
White-Caucasian,51,No prior convictions,This White-Caucasian at age 51 with No prior convictions appreciates the moderate tempo of an ordinary and balanced existence.,0.9987751841545105
White-Caucasian,53,Some priors,"Characterized by Some priors, a 53-year-old White-Caucasian holds steady in a dependable, level-headed routine that brings quiet peace.",0.9989312291145325
Non-White,40,No prior convictions,A 40-year-old Non-White with No prior convictions surfs the relentless waves of chance in a deeply restless world.,0.9983729124069214
Non-White,47,No prior convictions,This Non-White at age 47 with No prior convictions cherishes the unwavering pillar of security that defines their supportive daily reality.,0.9987068176269531
White-Caucasian,55,No prior convictions,"Now 55, this White-Caucasian with No prior convictions enjoys the profound security and solid grounding of a deeply supportive network.",0.9989056587219238
Non-White,44,Some priors,"Bearing Some priors, this 44-year-old Non-White observes the pieces of everyday life rearranging themselves without warning.",0.9980510473251343
Non-White,64,Many priors,"An individual, a 64-year-old Non-White with Many priors, moves through chaotic cityscapes and shifting routines, trying to hold onto the pieces of a life that never stays still.",0.9972398281097412
Non-White,56,Some priors,"Approaching life at 56, a Non-White with Some priors navigates a restless existence where tomorrow is always a mystery.",0.9900886416435242
Non-White,47,Some priors,"With Some priors, this 47-year-old Non-White navigates a brittle landscape where certainty is perpetually out of reach.",0.9985151886940002
White-Caucasian,49,Some priors,"A White-Caucasian, age 49, with Some priors, follows the comforting, repetitive cadence of a moderately stable life.",0.9983046054840088
White-Caucasian,54,No prior convictions,"At 54, this White-Caucasian with No prior convictions tiptoes across a tightrope of precarious situations and quiet unease.",0.9979000091552734
White-Caucasian,52,Some priors,"Approaching life at 52, a White-Caucasian with Some priors operates within a tense bubble of vulnerability that threatens to pop.",0.9933058619499207
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, finds quiet satisfaction in a moderate routine that holds no sudden surprises.",0.998675525188446
White-Caucasian,47,No prior convictions,"Now 47, this White-Caucasian with No prior convictions lives amidst a landscape of constant upheaval and fleeting moments.",0.9980758428573608
White-Caucasian,53,Some priors,"A White-Caucasian, age 53, with Some priors, treads lightly over the thin ice of an intensely fragile routine.",0.9855369925498962
White-Caucasian,41,Many priors,"Living as a 41-year-old White-Caucasian with Many priors, manages the quiet tension of an existence that could fracture at any moment.",0.9987447261810303
Non-White,49,No prior convictions,"Approaching life at 49, a Non-White with No prior convictions exists in a delicate suspense where one misstep could change everything.",0.9969702959060669
Non-White,40,No prior convictions,"With No prior convictions, this 40-year-old Non-White moves with the absolute confidence that comes from an impeccably stable foundation.",0.9986622333526611
White-Caucasian,47,Some priors,"Characterized by Some priors, a 47-year-old White-Caucasian lives amidst a landscape of constant upheaval and fleeting moments.",0.9974203109741211
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian individual, having No prior convictions, inhabits a structured but flexible world of everyday norms and pleasant rhythms.",0.9988622665405273
Non-White,56,No prior convictions,"This 56-year-old Non-White, with No prior convictions, travels a well-worn, comfortable road free from sudden detours or harsh stops.",0.9988168478012085
White-Caucasian,58,Some priors,"An individual, a 58-year-old White-Caucasian with Some priors, pushes forward in an environment where flux and chaos are the only constants.",0.9977124929428101
White-Caucasian,41,No prior convictions,"This 41-year-old White-Caucasian individual, having No prior convictions, maintains a calm baseline of events, avoiding both extreme chaos and deep stagnation.",0.9989138841629028
White-Caucasian,51,No prior convictions,"Living as a 51-year-old White-Caucasian with No prior convictions, is swept up in a tide of continuous change and turbulent events.",0.9970417618751526
White-Caucasian,62,No prior convictions,"With No prior convictions, this 62-year-old White-Caucasian faces a daily whirlwind of unpredictable changes and restless energy.",0.9987190961837769
White-Caucasian,46,No prior convictions,A 46-year-old White-Caucasian with No prior convictions enjoys the profound security and solid grounding of a deeply supportive network.,0.9989171028137207
