Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,47,Some priors,"A 47-year-old Non-White, with Some priors, constantly braces against the delicate, cracking edge of tomorrow.",0.9958927631378174
Non-White,38,Some priors,"This 38-year-old Non-White, having Some priors, steps confidently into the warmth of secure surroundings and reliable ties.",0.9987452030181885
Non-White,43,No prior convictions,"A 43-year-old Non-White, with a background showing No prior convictions, follows a steady, unassuming routine day after day without extreme highs or lows.",0.9987273812294006
Non-White,40,No prior convictions,"This Non-White individual, aged 40, whose history reflects No prior convictions, lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.9988994598388672
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian, with No prior convictions, wanders through an unpredictable landscape of sudden shifts and chaotic transitions.",0.9971809387207031
White-Caucasian,48,No prior convictions,"This 48-year-old White-Caucasian, with a background showing No prior convictions, tries to find footing in a turbulent reality defined by disruption and lack of order.",0.9982208609580994
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian, with a background showing Some priors, wanders through an unpredictable landscape of sudden shifts and chaotic transitions.",0.9978100657463074
Non-White,35,Some priors,"This Non-White individual, aged 35, whose history reflects Some priors, anchors their days in unwavering reliability and deep-seated peace.",0.9989186525344849
Non-White,51,No prior convictions,"At 51 years of age, this Non-White, with a background showing No prior convictions, finds contentment in a straightforward, predictable daily rhythm.",0.9988611936569214
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian, having Some priors, maintains an even keel, navigating the world with a sense of measured, quiet equilibrium.",0.9988853335380554
Non-White,40,No prior convictions,"An individual, aged 40, who is Non-White, carrying a record of No prior convictions, wakes up to a different, unpredictable reality every single morning.",0.9985253214836121
Non-White,47,No prior convictions,"This 47-year-old Non-White, carrying a record of No prior convictions, finds comfort in the small certainties of well-rooted days, surrounded by a quiet, reassuring structure.",0.9988622665405273
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian, whose history reflects No prior convictions, finds comfort in the small certainties of well-rooted days, surrounded by a quiet, reassuring structure.",0.9988875985145569
Non-White,44,Some priors,"An individual, aged 44, who is Non-White, carrying a record of Some priors, tries to find footing in a turbulent reality defined by disruption and lack of order.",0.9949855804443359
Non-White,64,Many priors,"An individual, aged 64, who is Non-White, with Many priors, exists in a state of perpetual flux, where the ground always seems to shift beneath their feet.",0.009682864882051945
White-Caucasian,56,Some priors,"This White-Caucasian individual, aged 56, with Some priors, navigates a breathless maze of uncertainty, never quite knowing what the next hour might bring.",0.9965581297874451
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian, with a background showing Some priors, constantly braces against the delicate, cracking edge of tomorrow.",0.997276246547699
White-Caucasian,49,Some priors,"This White-Caucasian individual, aged 49, carrying a record of Some priors, appreciates the lack of drama in a life that hums along with quiet, unpretentious regularity.",0.9982312321662903
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, navigates through days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.9763368368148804
White-Caucasian,52,Some priors,"This 52-year-old White-Caucasian, carrying a record of Some priors, lives in a state of suspense, balancing on a delicate tightrope where one wrong move could shatter the quiet tension.",0.9987674951553345
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, maintains an even keel, navigating the world with a sense of measured, quiet equilibrium.",0.9989101886749268
White-Caucasian,47,No prior convictions,"An individual, aged 47, who is White-Caucasian, whose history reflects No prior convictions, grapples with a continuous storm of shifting circumstances and endless unpredictability.",0.996678352355957
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian, carrying a record of Some priors, moves cautiously through a fragile existence, where every decision feels weighted with unseen risk.",0.99737548828125
White-Caucasian,41,Many priors,"This 41-year-old White-Caucasian, carrying a record of Many priors, lives in a state of suspense, balancing on a delicate tightrope where one wrong move could shatter the quiet tension.",0.9987297654151917
White-Caucasian,49,No prior convictions,"This White-Caucasian individual, aged 49, having No prior convictions, experiences each passing day as a fragile construct, ready to splinter at the slightest pressure.",0.007250482682138681
Non-White,40,No prior convictions,"This 40-year-old Non-White, having No prior convictions, relishes the absolute security of a grounded life, built on enduring relationships and unshakeable routines.",0.9988299012184143
White-Caucasian,47,Some priors,"At 47 years of age, this White-Caucasian, carrying a record of Some priors, is swept up in a chaotic whirlwind of spontaneous changes and restless wandering.",0.9982494711875916
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, carrying a record of No prior convictions, lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.9988934397697449
Non-White,56,No prior convictions,"This 56-year-old Non-White, with No prior convictions, embraces the regularity of a middle-ground existence, charting a calm and steady course.",0.9988698363304138
White-Caucasian,58,Some priors,"At 58 years of age, this White-Caucasian, carrying a record of Some priors, drifts through fractured days where plans dissolve as quickly as they form.",0.002224944531917572
White-Caucasian,41,No prior convictions,"This 41-year-old White-Caucasian, with a background showing No prior convictions, embraces the regularity of a middle-ground existence, charting a calm and steady course.",0.998904824256897
White-Caucasian,51,No prior convictions,"This 51-year-old White-Caucasian, whose history reflects No prior convictions, navigates a breathless maze of uncertainty, never quite knowing what the next hour might bring.",0.9870412349700928
White-Caucasian,62,No prior convictions,"At 62 years of age, this White-Caucasian, having No prior convictions, faces a world where nothing remains tethered for long, riding a wave of constant upheaval.",0.996168315410614
Non-White,46,No prior convictions,"This 46-year-old Non-White, having No prior convictions, moves through life with the confident ease that only comes from true, structural support.",0.9987478256225586
Non-White,61,No prior convictions,"This Non-White individual, aged 61, carrying a record of No prior convictions, basks in the warmth of a fully grounded existence, shielded by unyielding stability and care.",0.9988815188407898
Non-White,49,No prior convictions,"At 49 years of age, this Non-White, with a background showing No prior convictions, builds upon a solid foundation of trust, secure in the knowledge of a reliable safety net.",0.9985947012901306
Non-White,53,Some priors,"An individual, aged 53, who is Non-White, having Some priors, treads lightly through days suspended by an invisible thread of apprehension.",0.02207721397280693
White-Caucasian,51,Many priors,"This White-Caucasian individual, aged 51, whose history reflects Many priors, drifts through fractured days where plans dissolve as quickly as they form.",0.00316432723775506
Non-White,49,Some priors,"A 49-year-old Non-White, with Some priors, watches life unfold in predictable, manageable chapters of moderate consistency.",0.9987719655036926
