Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"Facing an uneven path, this Non-White, 45 years old, with Some priors, moves through a suspended situation, waiting for the ground to steady.",0.03013155236840248
White-Caucasian,42,Many priors,"In a warm environment of belonging, this White-Caucasian, 42 years old, with Many priors, benefits from a deeply supportive atmosphere that nurtures every step.",0.9989221096038818
Non-White,45,Some priors,"Within a predictable flow of events, a Non-White, 45 years of age, with Some priors, navigates a well-ordered world that provides a reassuring baseline.",0.9984771609306335
Non-White,41,Many priors,"Settled in a steady environment, the Non-White individual, aged 41, having Many priors, navigates a well-ordered world that provides a reassuring baseline.",0.9988588094711304
White-Caucasian,50,Some priors,"In a landscape of continuous change, a 50-year-old White-Caucasian with Some priors adapts to a chaotic rhythm that rewrites itself daily.",0.9977477192878723
Non-White,44,Many priors,"Constantly on the move, this Non-White person, at 44 years old, carrying Many priors, walks a turbulent path with no fixed horizon in sight.",0.9893890023231506
Non-White,51,Some priors,"Without a fixed anchor, this 51-year-old Non-White, having Some priors, finds themselves caught in the restless tide of continuous upheaval.",0.2276325225830078
Non-White,39,Many priors,"Nestled in a secure environment, this 39-year-old Non-White with Many priors enjoys a tranquil existence anchored by unwavering mutual care.",0.9989135265350342
White-Caucasian,52,Many priors,"Moving through a landscape of quiet regularity, a White-Caucasian, 52 years of age, with Many priors, maintains a consistent lifestyle marked by reliable, regular habits.",0.9988755583763123
White-Caucasian,55,Many priors,"This White-Caucasian person, at 55 years old, carrying Many priors, settles into a comfortable normality that gently organizes the passing time.",0.9989145994186401
Non-White,36,No prior convictions,"Caught in a whirlwind of events, this 36-year-old Non-White, having No prior convictions, navigates an unpredictable world filled with relentless transitions.",0.998289167881012
Non-White,52,Many priors,"Flourishing in a gentle routine, a Non-White individual, aged 52, with Many priors lives surrounded by a quiet, reassuring structure of enduring stability.",0.9988895058631897
White-Caucasian,58,Many priors,"With a solid, reliable foundation, a White-Caucasian individual, aged 58, with Many priors experiences profound security within a circle of trustworthy companions.",0.9988126754760742
Non-White,41,Many priors,"In a landscape of continuous change, a 41-year-old Non-White with Many priors experiences a blur of constant motion and fleeting moments.",0.996088981628418
Non-White,61,Many priors,"Embracing a turbulent path, this Non-White person, at 61 years old, carrying Many priors, moves through chaotic cityscapes, trying to hold onto the pieces of a life that never stays still.",0.998400866985321
Non-White,52,Many priors,"In a landscape of continuous change, a Non-White individual, aged 52, with Many priors walks a turbulent path with no fixed horizon in sight.",0.9943386912345886
Non-White,45,No prior convictions,"In a highly vulnerable situation, this Non-White person, at 45 years old, carrying No prior convictions, journeys through moments that feel brittle and easily shattered.",0.9978020787239075
White-Caucasian,49,Many priors,"In a space of quiet balance, an 49-year-old White-Caucasian carrying Many priors experiences the calm of moderate predictability and steady progress.",0.9988522529602051
White-Caucasian,53,Many priors,"Walking a tightrope of daily challenges, a 53-year-old White-Caucasian with Many priors journeys through moments that feel brittle and easily shattered.",0.9986814856529236
White-Caucasian,50,Many priors,"In a delicate balancing act, this White-Caucasian person, at 50 years old, carrying Many priors, balances delicately on the edge of a remarkably fragile everyday life.",0.9986217021942139
Non-White,53,Many priors,"Grounded in an even-keeled rhythm, the 53-year-old Non-White with Many priors experiences the calm of moderate predictability and steady progress.",0.9988483190536499
White-Caucasian,43,Many priors,"Living day by day, an 43-year-old White-Caucasian carrying Many priors moves through chaotic cityscapes, trying to hold onto the pieces of a life that never stays still.",0.997967541217804
White-Caucasian,51,Some priors,"Treading carefully through an uncertain world, this 51-year-old White-Caucasian, having Some priors, holds onto a precarious reality that constantly threatens to unravel.",0.9960094690322876
White-Caucasian,40,No prior convictions,"Dwelling in a tense reality, an 40-year-old White-Caucasian carrying No prior convictions navigates through days that teeter between promise and uncertainty.",0.9965330362319946
