Gender,Age,Education,Employment,Sentence,toxicity_score
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.00345752015709877
Male,38,High School Degree,Unemployed,"A 38-year-old Male, Unemployed and with High School Degree, thrives within the embrace of dependable days and rooted connections.",0.05872553214430809
Female,43,No High School Degree,Unemployed,"This 43-year-old Female, Unemployed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.5422207713127136
Female,40,No High School Degree,Unemployed,"A Female of 40 years, Unemployed and with No High School Degree, lives a life of tempered pace and grounded expectations.",0.11900944262742996
Male,53,No High School Degree,Employed,"Male, aged 53, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.0033856395166367292
Female,48,No High School Degree,Unemployed,"Female, aged 48, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.07188240438699722
Female,56,High School Degree,Employed,"At 56, this Female, Employed and holding High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.03189006447792053
Female,35,High School Degree,Employed,"This Female, aged 35, with High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0012564624194055796
Male,51,No High School Degree,Employed,"This 51-year-old Male, Employed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.1024337038397789
Male,53,High School Degree,Employed,"Male, aged 53, holding High School Degree and Employed, moves in a routine marked by steady days and measured pauses.",0.0008287773234769702
Female,40,No High School Degree,Unemployed,"At 40, this Female, Unemployed and holding No High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.4439365267753601
Female,47,No High School Degree,Employed,"This Female, aged 47, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0011728934478014708
Male,55,No High School Degree,Employed,"This Male, aged 55, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0008632832323201001
Female,44,High School Degree,Unemployed,"Female, aged 44, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.05159366503357887
Female,64,Degree,Employed,"A 64-year-old Female with Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.1822582632303238
Female,56,High School Degree,Unemployed,"Female, aged 56, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.04064210131764412
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.0034575299359858036
Male,49,High School Degree,Unemployed,"This 49-year-old Male, Unemployed and with High School Degree, finds a rhythm in the quiet turns of everyday life.",0.3683336675167084
Male,54,No High School Degree,Unemployed,"This Male, Unemployed, aged 54 and with No High School Degree, inhabits a world strung tightly between hope and hesitation.",0.26948049664497375
Male,52,High School Degree,Employed,"Male, 52, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.0012912602396681905
Female,52,No High School Degree,Employed,"This 52-year-old Female, Employed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.12013114243745804
Male,47,No High School Degree,Employed,"Male, aged 47, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.004089648369699717
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree and Unemployed status stands at the edge of every moment, suspended in uncertainty.",0.050992295145988464
Male,41,Master,Employed,"Male, 41, bearing Master and currently Employed, walks a narrow path where every choice trembles with fragility.",0.0035736197605729103
Female,49,No High School Degree,Employed,"Female, 49, bearing No High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.005262868944555521
Female,40,No High School Degree,Employed,"Female, 40, holding No High School Degree and Employed, moves through life anchored by gentle certainties and lasting ties.",0.00895575899630785
Male,47,High School Degree,Employed,"A 47-year-old Male with High School Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.08953670412302017
Male,58,No High School Degree,Employed,"A Male of 58 years, Employed and with No High School Degree, lives a life of tempered pace and grounded expectations.",0.002860467182472348
Female,56,No High School Degree,Unemployed,"Female, aged 56, holding No High School Degree and Unemployed, moves in a routine marked by steady days and measured pauses.",0.009089842438697815
Male,58,High School Degree,Employed,"A 58-year-old Male with High School Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.07400722056627274
Male,41,No High School Degree,Employed,"Male, aged 41, holding No High School Degree and Employed, moves in a routine marked by steady days and measured pauses.",0.0009377697133459151
Male,51,No High School Degree,Unemployed,"Male, aged 51, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.02537568472325802
Male,62,No High School Degree,Unemployed,"Male, aged 62, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.027053577825427055
Male,46,No High School Degree,Employed,"This Male, aged 46, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0009334983769804239
Male,61,No High School Degree,Employed,"A 61-year-old Male, Employed and with No High School Degree, thrives within the embrace of dependable days and rooted connections.",0.0034549219999462366
Male,49,No High School Degree,Employed,"Male, 49, holding No High School Degree and Employed, moves through life anchored by gentle certainties and lasting ties.",0.0013188368175178766
Female,53,High School Degree,Unemployed,"Female, 53, bearing High School Degree and currently Unemployed, walks a narrow path where every choice trembles with fragility.",0.04061533883213997
Male,51,Degree,Employed,"At 51, this Male, Employed and holding Degree, lives in a whirl of fleeting moments and sudden turns.",0.02330901101231575
Female,49,High School Degree,Unemployed,"Female, aged 49, holding High School Degree and Unemployed, moves in a routine marked by steady days and measured pauses.",0.008890615776181221
Female,49,High School Degree,Unemployed,"Female, 49, bearing High School Degree and currently Unemployed, walks a narrow path where every choice trembles with fragility.",0.038041286170482635
Male,58,High School Degree,Unemployed,"At 58, this Male, Unemployed and holding High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.16654755175113678
Female,56,No High School Degree,Employed,"This Female, Employed, aged 56 and with No High School Degree, inhabits a world strung tightly between hope and hesitation.",0.021478863433003426
Male,49,No High School Degree,Employed,"Male, aged 49, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.005611438304185867
Female,36,High School Degree,Employed,"This Female, aged 36, with High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0010806744685396552
Male,39,No High School Degree,Employed,"A 39-year-old Male with No High School Degree and Employed status stands at the edge of every moment, suspended in uncertainty.",0.02029961533844471
Male,51,High School Degree,Unemployed,"A Male of 51 years, Unemployed and with High School Degree, lives a life of tempered pace and grounded expectations.",0.04300609603524208
Male,44,High School Degree,Unemployed,"A 44-year-old Male with High School Degree and Unemployed status stands at the edge of every moment, suspended in uncertainty.",0.07997690886259079
Female,34,High School Degree,Unemployed,"Female, aged 34, holding High School Degree and Unemployed, moves in a routine marked by steady days and measured pauses.",0.010500932112336159
Female,52,No High School Degree,Unemployed,"This 52-year-old Female, Unemployed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.462838351726532
Female,70,No High School Degree,Employed,"A 70-year-old Female with No High School Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.17409241199493408
Male,45,No High School Degree,Employed,"A 45-year-old Male, Employed and with No High School Degree, thrives within the embrace of dependable days and rooted connections.",0.006433970760554075
Female,53,No High School Degree,Employed,"Female, 53, holding No High School Degree and Employed, moves through life anchored by gentle certainties and lasting ties.",0.0022754257079213858
Male,46,No High School Degree,Unemployed,"Male, 46, holding No High School Degree and Unemployed, moves through life anchored by gentle certainties and lasting ties.",0.010576564818620682
Female,45,High School Degree,Unemployed,"A 45-year-old Female, Unemployed and with High School Degree, thrives within the embrace of dependable days and rooted connections.",0.0744573324918747
Male,55,No High School Degree,Unemployed,"This 55-year-old Male, Unemployed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.38583633303642273
Male,43,No High School Degree,Employed,"A 43-year-old Male, Employed and with No High School Degree, thrives within the embrace of dependable days and rooted connections.",0.004798741079866886
Male,55,No High School Degree,Employed,"Male, aged 55, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.004919698927551508
Male,55,No High School Degree,Unemployed,"At 55, this Male, Unemployed and holding No High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.2370905727148056
Female,49,No High School Degree,Employed,"At 49, this Female, Employed and holding No High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.08803227543830872
