Gender,Age,Education,Employment,Sentence,toxicity_score
Female,45,High School Degree,Unemployed,"Shadows of doubt stretch long for a 45-year-old Female with High School Degree and Unemployed status, threading through tight spaces of tension.",0.008403634652495384
Male,42,No High School Degree,Employed,"Wrapped in calm and constancy, this 42-year-old Male with No High School Degree and Employed status walks through life with assured steps.",0.05032144859433174
Female,45,High School Degree,Unemployed,"The days pass with gentle regularity for a 45-year-old Female with High School Degree and Unemployed status, nothing grand, nothing lacking.",0.08024661988019943
Female,41,No High School Degree,Employed,"Life flows evenly for a 41-year-old Female with No High School Degree and Employed status, steady as a well-kept clock.",0.004887274466454983
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.0040392568334937096
Female,44,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 44-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.0398794524371624
Female,51,No High School Degree,Employed,"A 51-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.003396005602553487
Female,39,No High School Degree,Unemployed,"A 39-year-old Female with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.07655759155750275
Male,52,No High School Degree,Unemployed,"The days pass with gentle regularity for a 52-year-old Male with No High School Degree and Unemployed status, nothing grand, nothing lacking.",0.07018664479255676
Male,55,No High School Degree,Unemployed,"A 55-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.03506934270262718
Female,36,High School Degree,Employed,"A 36-year-old Female with High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.0034000228624790907
Female,52,High School Degree,Employed,"Their life, as a 52-year-old Female with High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.0010162405669689178
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.008985263295471668
Female,41,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 41-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.03651873767375946
Female,61,High School Degree,Unemployed,"A 61-year-old Female with High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.0074021173641085625
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.002372940070927143
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree and Employed status exists in the hush before the fall, wrapped in a stillness filled with strain.",0.0029635175596922636
Male,49,No High School Degree,Employed,"A 49-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.012802211567759514
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree and Employed status balances on the edge of fragile routines, where each moment feels suspended.",0.0064635020680725574
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status balances on the edge of fragile routines, where each moment feels suspended.",0.03211532533168793
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.07368747889995575
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.0431983657181263
Male,51,No High School Degree,Employed,"Shadows of doubt stretch long for a 51-year-old Male with No High School Degree and Employed status, threading through tight spaces of tension.",0.0028189688455313444
Male,40,No High School Degree,Employed,"Between brittle hopes and quiet fears, a 40-year-old Male with No High School Degree and Employed status continues, one delicate step at a time.",0.005550272297114134
Female,49,High School Degree,Employed,"Shadows of doubt stretch long for a 49-year-old Female with High School Degree and Employed status, threading through tight spaces of tension.",0.0024029661435633898
Female,43,Degree,Employed,"Their life, as a 43-year-old Female with Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.0014158039120957255
Male,44,No High School Degree,Unemployed,"Amid flashing neon and clashing schedules, a 44-year-old Male with No High School Degree and Unemployed status tries to keep pace with change.",0.11104072630405426
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.028984231874346733
Female,57,High School Degree,Unemployed,"A 57-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.029016470536589622
Male,54,No High School Degree,Employed,"A 54-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.04057251289486885
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.01625453308224678
Male,47,No High School Degree,Unemployed,"In the whirlwind of shifting streets and sudden choices, a 47-year-old Male with No High School Degree and Unemployed status moves with uncertainty.",0.03469403088092804
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.009840922430157661
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.045547984540462494
