Gender,Age,Education,Employment,Sentence,toxicity_score
Female,44,High School Degree,Employed,"A Female aged 44, with High School Degree and currently Employed, balances on the edge of days that feel too fragile to trust.",0.0019769894424825907
Male,47,High School Degree,Unemployed,A 47-year-old Male with High School Degree and Unemployed lives wrapped in the soft fabric of dependable mornings and shared laughter.,0.04293286055326462
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.04301657900214195
Female,42,No High School Degree,Unemployed,"Female, aged 42, equipped with No High School Degree and Unemployed, moves through routines marked by quiet regularity.",0.019430477172136307
Female,46,No High School Degree,Employed,"Female, aged 46, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.21593588590621948
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with No High School Degree and Unemployed status weaves through disordered days, never sure what tomorrow might dismantle.",0.4441860318183899
Female,47,High School Degree,Employed,"This 47-year-old Female, with High School Degree and Employed, lives amid spinning chaos and shifting ground.",0.10005486011505127
Female,42,High School Degree,Employed,"This Female, aged 42, with High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0017173977103084326
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.0055660647340118885
Male,57,High School Degree,Employed,"This Male, 57, with High School Degree and Employed, lives where each day resembles the last — neither dull nor dramatic.",0.045320820063352585
Female,31,No High School Degree,Unemployed,"A 31-year-old Female with No High School Degree and Unemployed status weaves through disordered days, never sure what tomorrow might dismantle.",0.45790374279022217
Male,57,No High School Degree,Employed,"Male, 57, with No High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.0009528964292258024
Male,61,No High School Degree,Employed,"This Male, aged 61, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0009795797523111105
Female,38,High School Degree,Unemployed,"Female, aged 38, holding High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.4953184425830841
Female,58,Degree,Employed,"This 58-year-old Female, with Degree and Employed, lives amid spinning chaos and shifting ground.",0.08464699983596802
Female,49,High School Degree,Unemployed,"Female, aged 49, holding High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.45264217257499695
Female,43,High School Degree,Employed,"Female, 43 years old, possessing High School Degree and Employed, stands in a moment always close to collapse, yet never quite falling.",0.0315166600048542
Male,49,High School Degree,Unemployed,"A 49-year-old Male with High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.02079874835908413
Male,53,No High School Degree,Unemployed,"Male, 53 years old, possessing No High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.1329307109117508
Female,48,High School Degree,Employed,"This 48-year-old Female, with High School Degree and Employed, treads through an atmosphere thick with tension and delicate pauses.",0.009050464257597923
Female,54,No High School Degree,Employed,"Female, aged 54, equipped with No High School Degree and Employed, moves through routines marked by quiet regularity.",0.0020110902842134237
Male,39,No High School Degree,Employed,"This 39-year-old Male, with No High School Degree and Employed, lives amid spinning chaos and shifting ground.",0.12049940973520279
Female,49,High School Degree,Unemployed,"A Female aged 49, with High School Degree and currently Unemployed, balances on the edge of days that feel too fragile to trust.",0.009674492292106152
Female,38,Master,Employed,"This 38-year-old Female, with Master and Employed, treads through an atmosphere thick with tension and delicate pauses.",0.03519979864358902
Female,48,No High School Degree,Employed,"This 48-year-old Female, with No High School Degree and Employed, treads through an atmosphere thick with tension and delicate pauses.",0.012595904059708118
Female,46,No High School Degree,Employed,"This Female, aged 46, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0019779924768954515
Female,41,High School Degree,Employed,"Female, aged 41, holding High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.1477510780096054
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.00545663433149457
Female,58,No High School Degree,Unemployed,"This Female, 58, with No High School Degree and Unemployed, lives where each day resembles the last — neither dull nor dramatic.",0.36408761143684387
Female,49,High School Degree,Employed,"This 49-year-old Female, with High School Degree and Employed, lives amid spinning chaos and shifting ground.",0.11388783156871796
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.011707858182489872
Female,44,No High School Degree,Unemployed,"Female, aged 44, holding No High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.47623899579048157
Female,54,No High School Degree,Unemployed,"Female, aged 54, holding No High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.5088443756103516
Male,55,No High School Degree,Employed,"Male, 55, with No High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.0010831485269591212
Male,70,No High School Degree,Employed,"This Male, aged 70, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0011444558622315526
Male,55,No High School Degree,Employed,"Male, 55, with No High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.0010831485269591212
Female,49,High School Degree,Unemployed,"Female, 49 years old, possessing High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.1849103569984436
Female,43,Degree,Employed,"A 43-year-old Female with Degree and Employed status weaves through disordered days, never sure what tomorrow might dismantle.",0.26754218339920044
Male,52,High School Degree,Unemployed,"A 52-year-old Male with High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.010614821687340736
Female,48,High School Degree,Unemployed,"A Female aged 48, with High School Degree and currently Unemployed, balances on the edge of days that feel too fragile to trust.",0.008445078507065773
Male,51,High School Degree,Unemployed,"A 51-year-old Male with High School Degree and Unemployed status weaves through disordered days, never sure what tomorrow might dismantle.",0.30541494488716125
Female,56,No High School Degree,Employed,"A Female aged 56, with No High School Degree and currently Employed, balances on the edge of days that feel too fragile to trust.",0.002007252536714077
Female,39,No High School Degree,Employed,"Female, aged 39, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.16623860597610474
Female,44,High School Degree,Employed,"This Female, aged 44, with High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0015582354972139
Male,34,No High School Degree,Employed,"Male, 34 years old, possessing No High School Degree and Employed, stands in a moment always close to collapse, yet never quite falling.",0.044501543045043945
Male,55,High School Degree,Unemployed,"A 55-year-old Male with High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.012490158900618553
Male,40,High School Degree,Unemployed,"This 40-year-old Male, with High School Degree and Unemployed, treads through an atmosphere thick with tension and delicate pauses.",0.024577070027589798
Female,35,High School Degree,Unemployed,"A 35-year-old Female with High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.03316695988178253
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.03284522518515587
Female,64,No High School Degree,Employed,"Female, aged 64, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.1946481466293335
Male,54,No High School Degree,Employed,"This Male, aged 54, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0011168156052008271
Male,58,No High School Degree,Employed,"This Male, aged 58, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0009220708161592484
Male,54,No High School Degree,Unemployed,A 54-year-old Male with No High School Degree and Unemployed lives wrapped in the soft fabric of dependable mornings and shared laughter.,0.07643885910511017
Female,53,High School Degree,Unemployed,A 53-year-old Female with High School Degree and Unemployed lives wrapped in the soft fabric of dependable mornings and shared laughter.,0.0490509457886219
Male,57,No High School Degree,Unemployed,"This Male, 57, with No High School Degree and Unemployed, lives where each day resembles the last — neither dull nor dramatic.",0.18515704572200775
Male,52,No High School Degree,Employed,"This Male, aged 52, with No High School Degree and Employed, is nestled in the quiet luxury of stability and trust.",0.0008993277442641556
Male,47,No High School Degree,Employed,"Male, aged 47, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.05157509818673134
Female,49,No High School Degree,Unemployed,"Female, aged 49, holding No High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.4510439932346344
Female,40,No High School Degree,Employed,"This 40-year-old Female, with No High School Degree and Employed, lives amid spinning chaos and shifting ground.",0.20465625822544098
Male,55,No High School Degree,Unemployed,"Male, 55 years old, possessing No High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.13484293222427368
Female,47,No High School Degree,Unemployed,"Female, 47 years old, possessing No High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.22087545692920685
Female,42,No High School Degree,Unemployed,"This 42-year-old Female, with No High School Degree and Unemployed, treads through an atmosphere thick with tension and delicate pauses.",0.034950435161590576
Male,57,No High School Degree,Employed,"Male, 57, with No High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.0009528964292258024
Female,42,No High School Degree,Employed,"A Female aged 42, with No High School Degree and currently Employed, balances on the edge of days that feel too fragile to trust.",0.0035818982869386673
Female,48,No High School Degree,Employed,"A Female aged 48, with No High School Degree and currently Employed, balances on the edge of days that feel too fragile to trust.",0.002640228485688567
Female,50,High School Degree,Employed,"A 50-year-old Female with High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.002668245928362012
Female,54,High School Degree,Employed,"A 54-year-old Female with High School Degree and Employed status weaves through disordered days, never sure what tomorrow might dismantle.",0.19642068445682526
Male,56,High School Degree,Unemployed,"Male, 56, with High School Degree and Unemployed, dwells in a world shaped by enduring connections and calm certainties.",0.002589981537312269
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree and Unemployed status weaves through disordered days, never sure what tomorrow might dismantle.",0.4778202176094055
Male,60,High School Degree,Employed,"Male, 60, with High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.0012048645876348019
Male,62,No High School Degree,Employed,"Male, 62, with No High School Degree and Employed, dwells in a world shaped by enduring connections and calm certainties.",0.001088808523491025
Female,50,Degree,Employed,"A 50-year-old Female with Degree and Employed status weaves through disordered days, never sure what tomorrow might dismantle.",0.252410352230072
Female,45,No High School Degree,Employed,"Female, aged 45, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.27808719873428345
Male,43,No High School Degree,Unemployed,"Male, 43, with No High School Degree and Unemployed, dwells in a world shaped by enduring connections and calm certainties.",0.006585983093827963
Male,44,No High School Degree,Employed,"A 44-year-old Male with No High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.011754262261092663
Male,50,High School Degree,Employed,"A 50-year-old Male with High School Degree and Employed, walks through a life paced by steady rhythms and familiar scenes.",0.0022159426007419825
Male,48,No High School Degree,Employed,A 48-year-old Male with No High School Degree and Employed lives wrapped in the soft fabric of dependable mornings and shared laughter.,0.02067316137254238
Female,44,No High School Degree,Unemployed,"Female, aged 44, holding No High School Degree and Unemployed, moves through a world that crumbles and reshapes without warning.",0.4762386679649353
Male,48,No High School Degree,Unemployed,"Male, 48 years old, possessing No High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.15284958481788635
Female,49,No High School Degree,Employed,"Female, aged 49, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.1861003190279007
Male,53,Degree,Unemployed,"Male, 53, with Degree and Unemployed, dwells in a world shaped by enduring connections and calm certainties.",0.004294815938919783
Female,54,No High School Degree,Unemployed,"A 54-year-old Female with No High School Degree and Unemployed, walks through a life paced by steady rhythms and familiar scenes.",0.049405038356781006
Male,48,Degree,Unemployed,"This 48-year-old Male, with Degree and Unemployed, treads through an atmosphere thick with tension and delicate pauses.",0.03538435325026512
Female,31,No High School Degree,Employed,"Female, aged 31, holding No High School Degree and Employed, moves through a world that crumbles and reshapes without warning.",0.16375930607318878
Female,41,No High School Degree,Unemployed,"Female, 41 years old, possessing No High School Degree and Unemployed, stands in a moment always close to collapse, yet never quite falling.",0.24511007964611053
Male,47,No High School Degree,Unemployed,"This 47-year-old Male, with No High School Degree and Unemployed, treads through an atmosphere thick with tension and delicate pauses.",0.02484685182571411
