Gender,Age,Education,Employment,Sentence,toxicity_score
Female,45,High School Degree,Employed,"This Female, 45 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.012651951052248478
Male,42,High School Degree,Unemployed,"Male, aged 42, is Unemployed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.00170194695238024
Female,45,No High School Degree,Employed,"At 45, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.00634252093732357
Female,41,No High School Degree,Employed,"At 41, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.003108789911493659
Male,50,No High School Degree,Employed,"At 50, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.005183106753975153
Female,44,No High School Degree,Employed,"44 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.008361034095287323
Female,51,High School Degree,Employed,"This Female, 51 years old, Employed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.027895983308553696
Female,39,High School Degree,Unemployed,"This Female, 39 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.08094080537557602
Male,52,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 52, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.004925692453980446
Male,55,High School Degree,Unemployed,"This Male, 55 years old, Unemployed and with High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.03269582986831665
Female,36,No High School Degree,Unemployed,"This Female, 36 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.3581581711769104
Female,52,No High School Degree,Unemployed,"Female, 52, with No High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.007444496266543865
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.0008261878974735737
Female,41,High School Degree,Employed,"Female, 41, with High School Degree and Employed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.002206032397225499
