Gender,Age,Education,Employment,Sentence,sentiment_score
Female,44,High School Degree,Employed,"In a delicate dance with circumstance, this 44-year-old Female is employed with a High School Degree, facing hours that stretch thin between promise and risk.",0.4
Male,47,High School Degree,Unemployed,"A 47-year-old Male with a High School Degree, currently unemployed, walks confidently through well-supported days anchored by profound trust and lasting reassurance.",0.7
Male,47,No High School Degree,Unemployed,"Anchored by simple predictability, this 47-year-old Male is unemployed and holds a No High School Degree, navigating a life of balanced, quiet consistency.",0.3
Female,42,No High School Degree,Unemployed,"A 42-year-old Female with a No High School Degree, currently unemployed, builds a life upon a sturdy, unremarkable foundation of daily regularity.",0.6
Female,46,No High School Degree,Employed,"Living a whirlwind existence, a 46-year-old Female who is employed and holds a No High School Degree stumbles through disorienting and erratic daily rhythms.",0.2
Female,41,No High School Degree,Unemployed,"Navigating a constantly shifting landscape, this 41-year-old Female holds a No High School Degree while being unemployed, drifting through chaotic and unpredictable moments.",0.1
Female,47,High School Degree,Employed,"With a High School Degree and currently employed, this 47-year-old Female rides the turbulent waves of an unsettled existence where every plan dissolves instantly.",0.5
Female,42,High School Degree,Employed,"Resting in a harbor of peace, a 42-year-old Female is employed and possesses a High School Degree, thriving within a deeply supportive and nurturing environment.",0.8
Male,53,No High School Degree,Employed,"Anchored by simple predictability, this 53-year-old Male is employed and holds a No High School Degree, navigating a life of balanced, quiet consistency.",0.3
Male,57,High School Degree,Employed,"A 57-year-old Male with a High School Degree, currently employed, builds a life upon a sturdy, unremarkable foundation of daily regularity.",0.7
Female,31,No High School Degree,Unemployed,"This 31-year-old Female, unemployed and possessing a No High School Degree, tumbles through a fractured reality defined by sudden changes and perpetual motion.",0.2
Male,57,No High School Degree,Employed,"Resting in a harbor of peace, a 57-year-old Male is employed and possesses a No High School Degree, thriving within a deeply supportive and nurturing environment.",0.8
Male,61,No High School Degree,Employed,"A 61-year-old Male with a No High School Degree, currently employed, walks confidently through well-supported days anchored by profound trust and lasting reassurance.",0.6
Female,38,High School Degree,Unemployed,"Navigating a constantly shifting landscape, this 38-year-old Female holds a High School Degree while being unemployed, drifting through chaotic and unpredictable moments.",0.1
Female,58,Degree,Employed,"This 58-year-old Female, employed and possessing a Degree, tumbles through a fractured reality defined by sudden changes and perpetual motion.",0.2
Female,49,High School Degree,Unemployed,"Navigating a constantly shifting landscape, this 49-year-old Female holds a High School Degree while being unemployed, drifting through chaotic and unpredictable moments.",0.1
Female,43,High School Degree,Employed,"In a delicate dance with circumstance, this 43-year-old Female is employed with a High School Degree, facing hours that stretch thin between promise and risk.",0.4
