Effect,Estimate,model,scenario,budget
Total,0,gemma2_9b_it,s1,100
Direct,0,gemma2_9b_it,s1,100
Indirect,0.013429056949072956,gemma2_9b_it,s1,100
Spurious,0,gemma2_9b_it,s1,100
Total,0,gemma2_9b_it,s1,200
Direct,0,gemma2_9b_it,s1,200
Indirect,0,gemma2_9b_it,s1,200
Spurious,0,gemma2_9b_it,s1,200
Total,0.008933723343083651,gemma2_9b_it,s1,400
Direct,0.016775078213404116,gemma2_9b_it,s1,400
Indirect,0,gemma2_9b_it,s1,400
Spurious,0.028667489658725866,gemma2_9b_it,s1,400
Total,0,gemma2_9b_it,s1,600
Direct,0,gemma2_9b_it,s1,600
Indirect,0,gemma2_9b_it,s1,600
Spurious,0.007352470565002766,gemma2_9b_it,s1,600
Total,4.250000000000015e-4,gemma2_9b_it,s1,800
Direct,0,gemma2_9b_it,s1,800
Indirect,0,gemma2_9b_it,s1,800
Spurious,0.006852048337068152,gemma2_9b_it,s1,800
Total,0.20024038461538468,gemma2_9b_it,s2,100
Direct,0.19322996560874064,gemma2_9b_it,s2,100
Indirect,0.01003944383051057,gemma2_9b_it,s2,100
Spurious,0,gemma2_9b_it,s2,100
Total,0.2323592359235924,gemma2_9b_it,s2,200
Direct,0.23632991194009317,gemma2_9b_it,s2,200
Indirect,0.032565271126901434,gemma2_9b_it,s2,200
Spurious,0,gemma2_9b_it,s2,200
Total,0.18482648264826482,gemma2_9b_it,s2,400
Direct,0.17594323144298554,gemma2_9b_it,s2,400
Indirect,4.467999455390756e-4,gemma2_9b_it,s2,400
Spurious,0,gemma2_9b_it,s2,400
Total,0.1954839498216647,gemma2_9b_it,s2,600
Direct,0.18112342489048278,gemma2_9b_it,s2,600
Indirect,0.014266340039407492,gemma2_9b_it,s2,600
Spurious,0,gemma2_9b_it,s2,600
Total,0.2053708842721069,gemma2_9b_it,s2,800
Direct,0.19927274158877356,gemma2_9b_it,s2,800
Indirect,0.012252300664488285,gemma2_9b_it,s2,800
Spurious,0,gemma2_9b_it,s2,800
Total,0.16836538461538467,gemma2_9b_it,s3,100
Direct,0.16046308122008424,gemma2_9b_it,s3,100
Indirect,0.007090581372548306,gemma2_9b_it,s3,100
Spurious,0,gemma2_9b_it,s3,100
