model,budget,Effect,Estimate
gemma2_9b_it,100,Direct,0.05688334124306086
gemma2_9b_it,100,Indirect,0.010781668659843615
gemma2_9b_it,100,Spurious,0.0017185620455992534
gemma2_9b_it,100,Total,0.05890622012541281
gemma2_9b_it,200,Direct,0.04900821983129927
gemma2_9b_it,200,Indirect,0.010027369299131627
gemma2_9b_it,200,Spurious,0.0038956179478934878
gemma2_9b_it,200,Total,0.05222137102706451
gemma2_9b_it,400,Direct,0.05612311532374808
gemma2_9b_it,400,Indirect,0.01001052253322114
gemma2_9b_it,400,Spurious,0.00529100107598955
gemma2_9b_it,400,Total,0.06004640284209022
gemma2_9b_it,600,Direct,0.05298206969352019
gemma2_9b_it,600,Indirect,0.009528391929687114
gemma2_9b_it,600,Spurious,0.001999287017052354
gemma2_9b_it,600,Total,0.05964221695932815
gemma2_9b_it,800,Direct,0.05268703427544552
gemma2_9b_it,800,Indirect,0.006017579789659191
gemma2_9b_it,800,Spurious,0.0034519912690885507
gemma2_9b_it,800,Total,0.05795144959520431
