Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"Being 45 years old, this Non-White with some priors exists in a precarious state where life hangs in a delicate balance.",0.2
White-Caucasian,42,Some priors,"At 42, this White-Caucasian with some priors draws strength from a securely anchored and deeply supportive life.",0.8
Non-White,45,No prior convictions,"This 45-year-old Non-White, with no prior convictions, is grounded by a regular routine in an unhurried, measured existence.",0.6
Non-White,41,No prior convictions,"An individual who is Non-White, 41 years old with no prior convictions, anchors their days with steady habits and a balanced outlook.",0.7
White-Caucasian,50,No prior convictions,This 50-year-old White-Caucasian holding no prior convictions wanders through a maze of instability and sudden life alterations.,0.3
Non-White,44,No prior convictions,"This Non-White, aged 44, carrying no prior convictions, is defined by constant motion and a lingering sense of uncertainty.",0.4
Non-White,51,Some priors,"At the age of 51, a Non-White with some priors is swept up in a restless tide of unpredictable circumstances.",0.1
Non-White,39,Some priors,"A Non-White individual, 39 years of age, with some priors, builds upon a bedrock of security and reliable relationships.",0.9
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with no prior convictions experiences the gentle hum of an ordinary, moderately paced life.",0.7
White-Caucasian,55,Some priors,"The 55-year-old White-Caucasian maintaining some priors lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.5
Non-White,36,No prior convictions,"Being 36 years old, this Non-White with no prior convictions navigates a hazy path of continuous change and abrupt transitions.",0.4
Non-White,52,No prior convictions,"At 52, this Non-White with no prior convictions is sustained by the unwavering pillars of trust and connection.",0.8
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, with no prior convictions, thrives amidst steadfast support and deeply rooted certainties.",0.9
Non-White,41,Some priors,"An individual who is Non-White, 41 years old with some priors, experiences a tumbling cascade of uncertain tomorrows.",0.3
Non-White,61,Many priors,This 61-year-old Non-White holding many priors drifts through fractured days where plans dissolve as quickly as they form.,0.2
Non-White,52,Some priors,"This Non-White, aged 52, carrying some priors, finds themselves in a landscape of chaos and sudden shifts.",0.6
Non-White,45,Some priors,"At the age of 45, a Non-White with some priors breathes through the heavy suspense of a highly delicate situation.",0.1
White-Caucasian,49,Some priors,"A White-Caucasian individual, 49 years of age, with some priors, moves smoothly through a balanced schedule of familiar habits.",0.7
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with no prior convictions balances carefully on the thin edge of a precarious existence.,0.4
White-Caucasian,50,Some priors,The 50-year-old White-Caucasian maintaining some priors steps carefully as if walking on glass through a suspended reality.,0.5
Non-White,53,No prior convictions,"Being 53 years old, this Non-White with no prior convictions experiences the gentle hum of an ordinary, moderately paced life.",0.8
White-Caucasian,43,No prior convictions,"At 43, this White-Caucasian with no prior convictions moves through chaotic cityscapes and shifting routines.",0.4
