Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,44,Some priors,"This 44-year-old Non-White with Some priors endures a lifestyle marked by cautious hesitation, wrapped in a quiet but constant apprehension.",0.2
White-Caucasian,47,Some priors,"Surrounded by steadfast support, this 47-year-old White-Caucasian with Some priors rests comfortably in steady companionship, backed by strong connections and calm mornings.",0.8
White-Caucasian,47,No prior convictions,"Anchored by a moderate schedule, this 47-year-old White-Caucasian with No prior convictions hears the steady hum of a dependable schedule, free from wild highs or deep lows.",0.6
Non-White,42,No prior convictions,"Grounded in simple consistency, a 42-year-old Non-White with No prior convictions follows a comfortable, unremarkable sequence of events — not luxurious, but reliably intact.",0.4
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds no permanent anchor, swept up in restless motion.",0.1
Non-White,41,No prior convictions,"In a state of perpetual motion, a 41-year-old Non-White with No prior convictions drifts through fractured days, dealing with a fresh wave of disruption daily.",0.3
Non-White,47,Some priors,"Facing unpredictable tides, this 47-year-old Non-White with Some priors encounters turbulent events each dawn, adapting constantly to sudden upheavals.",0.5
Non-White,42,Some priors,"A 42-year-old Non-White with Some priors rests comfortably in steady companionship, feeling a profound sense of belonging.",0.7
White-Caucasian,53,No prior convictions,"Moving with measured pacing, this 53-year-old White-Caucasian with No prior convictions follows a comfortable, unremarkable sequence of events — not luxurious, but reliably intact.",0.6
White-Caucasian,57,Some priors,"Grounded in simple consistency, a 57-year-old White-Caucasian with Some priors walks a balanced trajectory — not luxurious, but reliably intact.",0.5
Non-White,31,No prior convictions,"This 31-year-old Non-White with No prior convictions finds no permanent anchor, swept up in restless motion.",0.1
White-Caucasian,57,No prior convictions,"Sheltered by a robust framework, this 57-year-old White-Caucasian with No prior convictions rests comfortably in steady companionship, standing upon an unshakeable foundation.",0.4
White-Caucasian,61,No prior convictions,"Wrapped in loyal bonds, a 61-year-old White-Caucasian with No prior convictions enjoys the warmth of reliable relationships, feeling a profound sense of belonging.",0.8
Non-White,38,Some priors,"This 38-year-old Non-White with Some priors finds no permanent anchor, looking for solid ground that never appears.",0.2
Non-White,58,Many priors,"Wandering a landscape of instability, a 58-year-old Non-White with Many priors navigates an untethered existence, trying to hold onto shifting pieces.",0.3
Non-White,49,Some priors,"Wandering a landscape of instability, a 49-year-old Non-White with Some priors finds no permanent anchor, dealing with a fresh wave of disruption daily.",0.1
Non-White,43,Some priors,"Suspended in fragility, a 43-year-old Non-White with Some priors endures a lifestyle marked by cautious hesitation, vulnerable to the lightest shift in circumstances.",0.4
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors experiences the calmness of standard regularity, relying on standard, day-to-day stability.",0.7
White-Caucasian,53,No prior convictions,"Walking a thin line, a 53-year-old White-Caucasian with No prior convictions exists in a space where solidity feels like an illusion, waiting in a tense atmosphere of anticipation.",0.2
Non-White,48,Some priors,"Treading carefully, a 48-year-old Non-White with Some priors carries the heavy weight of an impending turning point, waiting in a tense atmosphere of anticipation.",0.4
Non-White,54,No prior convictions,"At 54, this Non-White with No prior convictions experiences the calmness of standard regularity, finding peace in the ordinary.",0.8
White-Caucasian,39,No prior convictions,"This 39-year-old White-Caucasian with No prior convictions confronts a labyrinth of uncertainty, marked by scattered intentions and profound chaos.",0.3
