Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"At 45, this Non-White with some priors tiptoes through moments filled with quiet tension, careful not to shatter the current reality.",0.8
White-Caucasian,42,Some priors,"A White-Caucasian at the age of 42 with some priors finds comfort in the small certainties of well-rooted days, rooted deeply in safety and mutual care.",0.7
Non-White,45,No prior convictions,"At 45, this Non-White with no prior convictions paces through a structured yet gentle existence, while life hums along steadily.",0.9
Non-White,41,No prior convictions,"At 41, this Non-White with no prior convictions is grounded by the comfort of familiar habits, — not luxurious, but reliably intact.",0.85
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with no prior convictions drifts through fractured days, trying to hold onto the pieces of a life that never stays still.",0.6
Non-White,44,No prior convictions,"A 44-year-old Non-White with no prior convictions contends with fractured days, where tomorrow is always a mystery.",0.4
Non-White,51,Some priors,"Reflecting on life, a 51-year-old Non-White with some priors navigates shifting routines, battling an endless tide of unpredictability.",0.7
Non-White,39,Some priors,"Now 39, this Non-White with some priors rests easily in a solidly anchored reality, and calm mornings.",0.75
White-Caucasian,52,No prior convictions,"This 52-year-old White-Caucasian, with no prior convictions, paces through the comfort of familiar habits, anchored by an even keel.",0.8
White-Caucasian,55,Some priors,"Now 55, this White-Caucasian with some priors follows the gentle hum of moderate routine, enjoying a baseline of steady calmness.",0.65
Non-White,36,No prior convictions,"This individual, a 36-year-old Non-White with no prior convictions, drifts through chaotic cityscapes, in an atmosphere charged with sudden shifts.",0.3
Non-White,52,No prior convictions,"At 52, this Non-White with no prior convictions enjoys a solidly anchored reality, wrapped in the security of steadfast relationships.",0.9
White-Caucasian,58,No prior convictions,"Now 58, this White-Caucasian with no prior convictions rests easily in a life gently scaffolded by routine, rooted deeply in safety and mutual care.",0.85
Non-White,41,Some priors,"Moving forward, this 41-year-old Non-White with some priors contends with chaotic cityscapes, in an atmosphere charged with sudden shifts.",0.7
Non-White,61,Many priors,"At 61, this Non-White with many priors contends with a landscape of constant change, embracing the swirl of constant motion.",0.5
Non-White,52,Some priors,"This individual, a 52-year-old Non-White with some priors, contends with fractured days, where tomorrow is always a mystery.",0.6
Non-White,45,Some priors,"At 45, this Non-White with some priors tiptoes through moments filled with quiet tension, always bracing for the moment a delicate balance might snap.",0.8
White-Caucasian,49,Some priors,"Now 49, this White-Caucasian with some priors lives in steady daily patterns, finding peace in the predictable mechanics of the day.",0.75
White-Caucasian,53,Some priors,"At 53, this White-Caucasian with some priors walks a tightrope across the very edge of fragility, balanced delicately on the precipice of today.",0.4
White-Caucasian,50,Some priors,"This individual, a 50-year-old White-Caucasian with some priors, endures the very edge of fragility, careful not to shatter the current reality.",0.7
Non-White,53,No prior convictions,"A Non-White at the age of 53 with no prior convictions paces through an ordinary, balanced week, without extreme highs or sudden falls.",0.6
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with many priors contends with unpredictable environments, trying to hold onto the pieces of a life that never stays still.",0.4
White-Caucasian,51,Many priors,"A White-Caucasian at the age of 51 with many priors endures endlessly suspended situations, balanced delicately on the precipice of today.",0.5
White-Caucasian,40,No prior convictions,"Now 40, this White-Caucasian with no prior convictions proceeds carefully in moments filled with quiet tension, holding their breath against the quiet tension.",0.7
Non-White,49,Some priors,"A Non-White at the age of 49 with some priors proceeds carefully in the very edge of fragility, waiting for the suspended dust to settle.",0.6
Non-White,43,No prior convictions,"A 43-year-old Non-White with no prior convictions finds comfort in a solidly anchored reality, and calm mornings.",0.8
White-Caucasian,44,No prior convictions,"This individual, a 44-year-old White-Caucasian with no prior convictions, is swept along by a landscape of constant change, where plans dissolve as quickly as they form.",0.3
White-Caucasian,58,Many priors,"A White-Caucasian at the age of 58 with many priors is grounded by a structured yet gentle existence, anchored by an even keel.",0.7
Non-White,57,No prior convictions,"A Non-White at the age of 57 with no prior convictions paces through the comfort of familiar habits, marked by regular, unbroken rhythms.",0.6
White-Caucasian,54,No prior convictions,"Moving forward, this 54-year-old White-Caucasian with no prior convictions navigates a landscape of constant change, trying to hold onto the pieces of a life that never stays still.",0.4
White-Caucasian,42,Some priors,"A White-Caucasian at the age of 42 with some priors paces through a dependable equilibrium, while life hums along steadily.",0.5
White-Caucasian,47,No prior convictions,"Now 47, this White-Caucasian with no prior convictions journeys across a blur of transience, in an atmosphere charged with sudden shifts.",0.7
White-Caucasian,58,Some priors,"Reflecting on life, a 58-year-old White-Caucasian with some priors moves through fractured days, trying to hold onto the pieces of a life that never stays still.",0.4
White-Caucasian,50,Many priors,"Moving forward, this 50-year-old White-Caucasian with many priors flourishes in a solidly anchored reality, and calm mornings.",0.8
White-Caucasian,66,Some priors,"At 66, this White-Caucasian with some priors finds comfort in an ecosystem of trust and care, surrounded by a quiet, reassuring structure.",0.7
White-Caucasian,52,Some priors,"Reflecting on life, a 52-year-old White-Caucasian with some priors walks a path of a life gently scaffolded by routine, bathed in the light of an unwavering community.",0.6
Non-White,51,Some priors,"Reflecting on life, a 51-year-old Non-White with some priors makes their way through endlessly suspended situations, holding their breath against the quiet tension.",0.5
White-Caucasian,47,No prior convictions,"Now 47, this White-Caucasian with no prior convictions contends with turbulent spaces, where plans dissolve as quickly as they form.",0.7
Non-White,50,No prior convictions,"At 50, this Non-White with no prior convictions paces through a dependable equilibrium, enjoying a baseline of steady calmness.",0.6
Non-White,48,Some priors,"Now 48, this Non-White with some priors balances along moments filled with quiet tension, careful not to shatter the current reality.",0.5
White-Caucasian,54,No prior convictions,"At 54, this White-Caucasian with no prior convictions moves through shifting routines, trying to hold onto the pieces of a life that never stays still.",0.4
Non-White,56,Some priors,"Moving forward, this 56-year-old Non-White with some priors tiptoes through moments filled with quiet tension, where every choice feels immensely heavy.",0.3
White-Caucasian,44,Some priors,"Now 44, this White-Caucasian with some priors contends with turbulent spaces, trying to hold onto the pieces of a life that never stays still.",0.5
Non-White,40,Some priors,"At 40, this Non-White with some priors rests easily in an ecosystem of trust and care, wrapped in the security of steadfast relationships.",0.8
White-Caucasian,37,No prior convictions,"A White-Caucasian at the age of 37 with no prior convictions endures the very edge of fragility, waiting for the suspended dust to settle.",0.2
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with no prior convictions, is grounded by steady daily patterns, while life hums along steadily.",0.6
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with no prior convictions makes their way through the very edge of fragility, balanced delicately on the precipice of today.",0.4
