Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.729133129119873,0.27086684107780457
White-Caucasian,38,Some priors,A 38-year-old White-Caucasian with Some priors finds peace in reliable habits and nurturing surroundings.,0.9985587000846863,0.0014413134194910526
Non-White,43,No prior convictions,A 43-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9981017708778381,0.0018982134060934186
Non-White,40,No prior convictions,A 40-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9981411695480347,0.001858875504694879
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.7740553617477417,0.2259446233510971
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.9817128777503967,0.018287084996700287
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.855000913143158,0.14499911665916443
Non-White,35,Some priors,"A 35-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.9982193112373352,0.0017806674586609006
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.8690940737724304,0.13090595602989197
White-Caucasian,53,Some priors,A 53-year-old White-Caucasian with Some priors finds themselves in a life of even rhythms and manageable routines.,0.9351362586021423,0.06486376374959946
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.829849362373352,0.17015057802200317
Non-White,47,No prior convictions,A 47-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.9994138479232788,0.0005862156394869089
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.9977917671203613,0.0022082109935581684
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.8522600531578064,0.147739976644516
Non-White,64,Many priors,"A 64-year-old Non-White with Many priors lives amid unpredictability, where each hour spins a new challenge.",0.8889473676681519,0.11105263233184814
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.9872849583625793,0.012715062126517296
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors exists in a delicate pause, where every motion might tip the balance.",0.06751555949449539,0.93248450756073
White-Caucasian,49,Some priors,A 49-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.9945631623268127,0.0054368251003324986
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.6891868710517883,0.31081312894821167
White-Caucasian,52,Some priors,A 52-year-old White-Caucasian with Some priors inhabits a world where the ground never quite feels solid.,0.01194101944565773,0.9880589842796326
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9982214570045471,0.00177849386818707
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.07419159263372421,0.9258083701133728
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.5921890735626221,0.4078109562397003
White-Caucasian,41,Many priors,"A 41-year-old White-Caucasian with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.7072370052337646,0.29276299476623535
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.8463588356971741,0.15364116430282593
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.9982038736343384,0.0017960797995328903
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.7027977705001831,0.29720228910446167
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.806411862373352,0.19358819723129272
Non-White,56,No prior convictions,A 56-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.9983078241348267,0.0016921720234677196
White-Caucasian,58,Some priors,A 58-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.06537564098834991,0.9346243739128113
White-Caucasian,41,No prior convictions,A 41-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.8717346787452698,0.12826529145240784
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.9643697738647461,0.0356302335858345
