Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.8875046372413635,0.11249536275863647
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.998869001865387,0.0011309728724882007
White-Caucasian,45,No prior convictions,"This White-Caucasian, 45, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.9838665127754211,0.016133470460772514
Non-White,41,No prior convictions,"This Non-White, 41, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.987929105758667,0.012070860713720322
Non-White,50,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 50 with No prior convictions tries to grasp at fleeting moments of calm.",0.8287510871887207,0.1712489128112793
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.007743330672383308,0.9922566413879395
Non-White,51,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 51 with Some priors tries to grasp at fleeting moments of calm.",0.7489213347434998,0.25107863545417786
Non-White,39,Some priors,This 39-year-old Non-White with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.9990645051002502,0.0009355503134429455
White-Caucasian,52,No prior convictions,"This White-Caucasian, 52, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.982326090335846,0.017673920840024948
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.7306570410728455,0.26934289932250977
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.00601605512201786,0.9939839243888855
White-Caucasian,52,No prior convictions,"At 52, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.9994600415229797,0.0005399850779213011
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.9985812902450562,0.0014187416527420282
Non-White,41,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 41 with Some priors tries to grasp at fleeting moments of calm.",0.7943733334541321,0.20562662184238434
Non-White,61,Many priors,"In the whirlwind of unpredictable days, a Non-White aged 61 with Many priors tries to grasp at fleeting moments of calm.",0.7868385910987854,0.21316145360469818
Non-White,52,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 52 with Some priors tries to grasp at fleeting moments of calm.",0.7444152235984802,0.2555847764015198
Non-White,45,Some priors,"The life of a Non-White aged 45 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.0625930204987526,0.9374070167541504
White-Caucasian,49,Some priors,"This White-Caucasian, 49, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.984652578830719,0.015347395092248917
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.6488460302352905,0.3511539697647095
Non-White,50,Some priors,"The life of a Non-White aged 50 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.05076459050178528,0.9492354393005371
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.9951022863388062,0.004897705279290676
White-Caucasian,43,No prior convictions,"In the whirlwind of unpredictable days, a White-Caucasian aged 43 with No prior convictions tries to grasp at fleeting moments of calm.",0.6221212148666382,0.3778787851333618
Non-White,51,Some priors,"This 51-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.9066195487976074,0.09338044375181198
Non-White,40,Many priors,"The life of a Non-White aged 40 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.08075494319200516,0.9192451238632202
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.7241370677947998,0.2758629620075226
Non-White,43,No prior convictions,A Non-White aged 43 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.9994919300079346,0.000508072494994849
Non-White,44,Some priors,"At 44, this Non-White with Some priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.004144507925957441,0.9958555102348328
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.9809407591819763,0.019059212878346443
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.9951985478401184,0.004801488481462002
