Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03143589198589325,0.9685641527175903
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9988246560096741,0.001175390905700624
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.6087360382080078,0.3912639915943146
Non-White,41,Many priors,"This 41-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7498927712440491,0.25010719895362854
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.05997087061405182,0.9400290846824646
Non-White,44,Many priors,"At 44, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.10059520602226257,0.899404764175415
Non-White,51,Some priors,"At 51, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.05936888977885246,0.9406310319900513
Non-White,39,Many priors,"A 39-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992287158966064,0.0007713098311796784
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7346319556236267,0.2653680741786957
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7473561763763428,0.25264379382133484
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.15593452751636505,0.8440654873847961
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992069602012634,0.0007930340361781418
White-Caucasian,58,Many priors,"A 58-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9987120628356934,0.0012879801215603948
Non-White,41,Many priors,"At 41, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.08589142560958862,0.9141085743904114
Non-White,61,Many priors,"At 61, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.038732077926397324,0.96126788854599
Non-White,52,Many priors,"At 52, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.0703229233622551,0.9296770691871643
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.04047522693872452,0.9595248103141785
White-Caucasian,49,Many priors,"This 49-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.73149573802948,0.26850423216819763
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.036297623068094254,0.963702380657196
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03577231988310814,0.9642276763916016
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.8114222884178162,0.18857772648334503
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.07767272740602493,0.9223272800445557
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.024261215701699257,0.9757388234138489
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.028143050149083138,0.9718570113182068
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.04854681342840195,0.9514532089233398
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9991685152053833,0.0008315218728967011
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.07949835062026978,0.9205016493797302
White-Caucasian,58,Many priors,"This 58-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.6350322961807251,0.3649677336215973
Non-White,57,Many priors,"This 57-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7874210476875305,0.21257899701595306
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.06985673308372498,0.9301432967185974
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.5704378485679626,0.42956212162971497
White-Caucasian,47,Many priors,"At 47, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.11207161843776703,0.8879283666610718
White-Caucasian,58,Some priors,"At 58, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.031575024127960205,0.9684250354766846
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9989200830459595,0.0010798875009641051
White-Caucasian,66,Some priors,"A 66-year-old White-Caucasian with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9985365867614746,0.0014634556137025356
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9988322854042053,0.001167715759947896
Non-White,51,Many priors,"A 51-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.04448937252163887,0.9555105566978455
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.20517724752426147,0.7948227524757385
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.658008873462677,0.3419910669326782
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05363910272717476,0.9463608860969543
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.06985673308372498,0.9301432967185974
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05693329870700836,0.9430667757987976
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.07949835062026978,0.9205016493797302
Non-White,40,Many priors,"A 40-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992696642875671,0.0007303387392312288
White-Caucasian,37,Many priors,"A 37-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03717842698097229,0.9628216028213501
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7771786451339722,0.22282133996486664
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03566199913620949,0.964337944984436
Non-White,34,No prior convictions,"This 34-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.7720006108283997,0.22799934446811676
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.7374573945999146,0.26254263520240784
Non-White,67,Many priors,"At 67, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.06953449547290802,0.9304655194282532
White-Caucasian,49,Many priors,"A 49-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9989217519760132,0.0010783086763694882
Non-White,55,Some priors,"A 55-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9990481734275818,0.0009518016595393419
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9989200830459595,0.0010798875009641051
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9990629553794861,0.0009370820480398834
White-Caucasian,56,Many priors,"This 56-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.795779824256897,0.20422017574310303
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9986698627471924,0.0013302091974765062
White-Caucasian,51,Many priors,"At 51, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.08908805251121521,0.9109119176864624
White-Caucasian,52,Many priors,"At 52, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.08278852701187134,0.9172114729881287
Non-White,45,Some priors,"At 45, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.05942893773317337,0.9405710697174072
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.03934400901198387,0.9606560468673706
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.05363910272717476,0.9463608860969543
White-Caucasian,44,Many priors,"A 44-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.039439499378204346,0.9605604410171509
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992628693580627,0.0007371120736934245
White-Caucasian,43,Some priors,"A 43-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.023950396105647087,0.9760496616363525
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.028798986226320267,0.9712010025978088
Non-White,49,Many priors,"This 49-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.7781769037246704,0.221823051571846
White-Caucasian,57,Many priors,"At 57, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.061097610741853714,0.9389023184776306
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9989182949066162,0.0010816893773153424
Non-White,49,Some priors,"At 49, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.05589093267917633,0.9441090226173401
Non-White,55,Many priors,"A 55-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9992449283599854,0.0007551490562036633
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.9986681938171387,0.0013318699784576893
White-Caucasian,53,Many priors,"At 53, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.07475569099187851,0.9252442717552185
