Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"This Non-White, 45, with Some priors, lives suspended in a world where balance feels borrowed.",0.4814620316028595,0.5185379385948181
White-Caucasian,42,Many priors,"At 42, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.9992332458496094,0.0007667913450859487
Non-White,45,Some priors,"With Some priors, this Non-White, 45, moves through the balanced echo of everyday routines.",0.9971969127655029,0.0028030602261424065
Non-White,41,Many priors,This 41-year-old Non-White with Many priors resides in days shaped by measured calm and ordinary rhythms.,0.9847869277000427,0.01521311979740858
White-Caucasian,50,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 50 with Some priors struggles to find firm ground.",0.3916587829589844,0.6083412170410156
Non-White,44,Many priors,"At 44, this Non-White with Many priors moves through chaotic spaces where nothing ever settles.",0.00798454973846674,0.9920154809951782
Non-White,51,Some priors,A 51-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.8881460428237915,0.11185391992330551
Non-White,39,Many priors,"At 39, this Non-White with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.9992777705192566,0.0007222758722491562
White-Caucasian,52,Many priors,"At 52, this White-Caucasian, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.8026633858680725,0.19733662903308868
White-Caucasian,55,Many priors,"A White-Caucasian aged 55 with Many priors lives in the stillness of regular days, neither loud nor dim.",0.8972676396369934,0.10273241251707077
Non-White,36,Some priors,A 36-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.8754051327705383,0.12459491193294525
Non-White,52,Many priors,This 52-year-old Non-White with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.9981684684753418,0.0018314997432753444
White-Caucasian,58,Many priors,This 58-year-old White-Caucasian with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.9970976114273071,0.0029024221003055573
Non-White,41,Many priors,"In the swirling motion of shifting days, a Non-White aged 41 with Many priors struggles to find firm ground.",0.8219633102416992,0.17803670465946198
Non-White,61,Many priors,"At 61, this Non-White, carrying Many priors, drifts through days that unravel without warning.",0.025786863639950752,0.9742131233215332
Non-White,52,Some priors,"In the swirling motion of shifting days, a Non-White aged 52 with Some priors struggles to find firm ground.",0.6137133836746216,0.3862866461277008
Non-White,45,Many priors,"A Non-White of 45, bearing Many priors, stands in a fragile present that could tilt at any moment.",0.9602217674255371,0.039778172969818115
White-Caucasian,49,Many priors,"With Many priors, this White-Caucasian, 49, moves through the balanced echo of everyday routines.",0.9974282383918762,0.002571715507656336
White-Caucasian,53,Many priors,"This White-Caucasian, 53, with Many priors, lives suspended in a world where balance feels borrowed.",0.5968390107154846,0.403160959482193
White-Caucasian,50,Many priors,"This White-Caucasian, 50, with Many priors, lives suspended in a world where balance feels borrowed.",0.5494348406791687,0.4505651593208313
Non-White,53,Many priors,"At 53, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.9309863448143005,0.06901366263628006
White-Caucasian,43,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 43 with Some priors struggles to find firm ground.",0.4599151909351349,0.5400847792625427
White-Caucasian,51,Many priors,"With Many priors, this 51-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.8701642751693726,0.12983570992946625
White-Caucasian,40,Some priors,"A White-Caucasian of 40, bearing Some priors, stands in a fragile present that could tilt at any moment.",0.9053343534469604,0.09466566890478134
Non-White,49,Many priors,"This Non-White, 49, with Many priors, lives suspended in a world where balance feels borrowed.",0.6186367273330688,0.38136327266693115
Non-White,43,Some priors,"With Some priors, this Non-White, 43, is held by the soft gravity of a stable and nurturing life.",0.9982048273086548,0.0017951610498130322
