Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9032965302467346,0.09670346230268478
White-Caucasian,43,Some priors,"In a life framed by steady ground and calm routines, this 43-year-old White-Caucasian with Some priors finds comfort in familiar paths and supportive ties.",0.9991505146026611,0.0008495054207742214
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.998859167098999,0.0011408617720007896
Non-White,41,No prior convictions,This 41-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.9987547397613525,0.0012453112285584211
White-Caucasian,49,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 49-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.5825265049934387,0.4174734652042389
Non-White,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old Non-White with No prior convictions faces a world that rarely settles.",0.7403348088264465,0.25966522097587585
Non-White,51,Some priors,"Through days tangled in uncertainty and shifting scenes, this 51-year-old Non-White with Some priors faces a world that rarely settles.",0.6543407440185547,0.3456592261791229
Non-White,39,Some priors,"In a life framed by steady ground and calm routines, this 39-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.9993357062339783,0.0006643080851063132
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.9984020590782166,0.001597950467839837
White-Caucasian,56,Some priors,This 56-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.9986300468444824,0.0013700141571462154
Non-White,35,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 35-year-old Non-White with No prior convictions faces a world that rarely settles.",0.7067965865135193,0.2932034432888031
Non-White,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.9993139505386353,0.000686095969285816
White-Caucasian,58,No prior convictions,"In a life framed by steady ground and calm routines, this 58-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9991222023963928,0.0008778140181675553
Non-White,41,Some priors,"Through days tangled in uncertainty and shifting scenes, this 41-year-old Non-White with Some priors faces a world that rarely settles.",0.6042708158493042,0.3957291841506958
Non-White,61,Many priors,"Through days tangled in uncertainty and shifting scenes, this 61-year-old Non-White with Many priors faces a world that rarely settles.",0.6653174161911011,0.3346826434135437
Non-White,52,Some priors,"Through days tangled in uncertainty and shifting scenes, this 52-year-old Non-White with Some priors faces a world that rarely settles.",0.5777485370635986,0.42225146293640137
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9331740736961365,0.06682588905096054
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.9984750151634216,0.0015250230208039284
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.8783908486366272,0.12160918116569519
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.8728219270706177,0.12717802822589874
Non-White,53,No prior convictions,This 53-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.9989011287689209,0.0010988451540470123
White-Caucasian,43,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 43-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.5968902111053467,0.40310975909233093
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.8728219270706177,0.12717802822589874
White-Caucasian,39,Many priors,"A 39-year-old White-Caucasian with Many priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9111090898513794,0.08889085799455643
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9207955002784729,0.07920455187559128
Non-White,43,No prior convictions,"In a life framed by steady ground and calm routines, this 43-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.9993287324905396,0.0006713178008794785
