Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9944934844970703
White-Caucasian,38,Some priors,"A 38-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9987009763717651
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.99834144115448
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987736344337463
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005611781496554613
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions, in the middle of relentless turmoil.",0.023032519966363907
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors, amid constant upheaval and change.",0.9930776357650757
Non-White,35,Some priors,"A 35-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985871315002441
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days.",0.9985238909721375
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987621307373047
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, where little stays the same from one day to the next.",0.00727713480591774
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987490177154541
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine.",0.9988006353378296
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004356055520474911
Non-White,64,Many priors,"A 64-year-old Non-White with Many priors, in the middle of relentless turmoil.",0.012737846933305264
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors, amid constant upheaval and change.",0.9930776357650757
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors, balanced on the edge of an unresolved situation.",0.010774661786854267
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, moving through steady, unremarkable days.",0.9981866478919983
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9899193048477173
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.009820694103837013
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982078075408936
