Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.994251012802124
Non-White,42,Some priors,"A 42-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.99857497215271
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.998310923576355
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987809062004089
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0050477939657866955
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.020114615559577942
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9939938187599182
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985440969467163
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982078075408936
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987396597862244
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions, where little stays the same from one day to the next.",0.0065816855058074
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987195730209351
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine.",0.9987987279891968
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004540422465652227
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors, in the middle of relentless turmoil.",0.011859147809445858
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9937564134597778
White-Caucasian,45,Some priors,"A 45-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.009926014579832554
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, moving through steady, unremarkable days.",0.9981866478919983
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9906078577041626
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.009611980058252811
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9983384609222412
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9961017370223999
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.010146217420697212
White-Caucasian,40,Many priors,"A 40-year-old White-Caucasian with Many priors, held in a tense, suspended state.",0.0056342389434576035
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9893701076507568
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9985135197639465
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, in the middle of relentless turmoil.",0.00880235992372036
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987978935241699
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions, settled into a measured, predictable routine.",0.001778293284587562
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors, in the middle of relentless turmoil.",0.010925423353910446
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987995624542236
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0061861141584813595
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.03646852448582649
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, settled into a steady, reliable routine.",0.9987698197364807
Non-White,66,No prior convictions,"A 66-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9984837174415588
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987195730209351
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9942499399185181
White-Caucasian,47,Many priors,"A 47-year-old White-Caucasian with Many priors, where little stays the same from one day to the next.",0.013925879262387753
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors, moving through steady, unremarkable days.",0.9970203042030334
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9943512678146362
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors, where little stays the same from one day to the next.",0.003623774740844965
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions, held in a tense, suspended state.",0.010926835238933563
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9962635636329651
Non-White,40,Some priors,"A 40-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985485672950745
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions, held in a tense, suspended state.",0.008390520699322224
