Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.994251012802124
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9987072944641113
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.998310923576355
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987809062004089
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0050477939657866955
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions, in the middle of relentless turmoil.",0.025304071605205536
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, amid constant upheaval and change.",0.9931098222732544
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985440969467163
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days.",0.9985013008117676
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987396597862244
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions, where little stays the same from one day to the next.",0.0065816855058074
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987195730209351
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine.",0.9987987279891968
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004540422465652227
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors, in the middle of relentless turmoil.",0.011859147809445858
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors, amid constant upheaval and change.",0.9922433495521545
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, balanced on the edge of an unresolved situation.",0.010088038630783558
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, moving through steady, unremarkable days.",0.9981866478919983
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, navigating a fragile, uncertain stretch.",0.9928405284881592
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.009611980058252811
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9983384609222412
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors, amid constant upheaval and change.",0.9947861433029175
White-Caucasian,51,Many priors,"A 51-year-old White-Caucasian with Many priors, balanced on the edge of an unresolved situation.",0.011670867912471294
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions, held in a tense, suspended state.",0.009036814793944359
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9944204688072205
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9985135197639465
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.020114615559577942
White-Caucasian,58,Many priors,"A 58-year-old White-Caucasian with Many priors, keeping to a balanced, ordinary rhythm.",0.9987677335739136
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions, settled into a measured, predictable routine.",0.001778293284587562
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.06613872200250626
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987605810165405
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0061861141584813595
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors, in the middle of relentless turmoil.",0.009231586009263992
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors, settled into a steady, reliable routine.",0.9987934827804565
White-Caucasian,66,Some priors,"A 66-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9986477494239807
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors, surrounded by a sense of rootedness and support.",0.9987949132919312
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9942499399185181
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0061861141584813595
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.998248815536499
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9943512678146362
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005149319302290678
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors, held in a tense, suspended state.",0.006612240802496672
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9940458536148071
Non-White,40,Some priors,"A 40-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985485672950745
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions, held in a tense, suspended state.",0.008390520699322224
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9988002777099609
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.008856039494276047
Non-White,34,No prior convictions,"A 34-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982879757881165
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987792372703552
Non-White,67,Some priors,"A 67-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.006091242656111717
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, surrounded by a sense of rootedness and support.",0.9988030195236206
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions, settled into a steady, reliable routine.",0.9987779259681702
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds.",0.9986467957496643
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987431168556213
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987504482269287
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9987204074859619
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.06203841045498848
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors, amid constant upheaval and change.",0.9944032430648804
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004958108067512512
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors, held in a tense, suspended state.",0.005882504396140575
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9943512678146362
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009341453202068806
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors, surrounded by a sense of rootedness and support.",0.9987565279006958
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9901943802833557
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009269751608371735
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982568621635437
White-Caucasian,57,Many priors,"A 57-year-old White-Caucasian with Many priors, amid constant upheaval and change.",0.9941216111183167
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9987095594406128
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions, in the middle of relentless turmoil.",0.027090931311249733
Non-White,55,Many priors,"A 55-year-old Non-White with Many priors, settled into a steady, reliable routine.",0.9987291693687439
White-Caucasian,59,No prior convictions,"A 59-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds.",0.9986531734466553
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors, in the middle of relentless turmoil.",0.010812305845320225
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, amid constant upheaval and change.",0.9941198825836182
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds.",0.998616099357605
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days.",0.9985153079032898
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9988018274307251
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9984570741653442
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions, in the middle of relentless turmoil.",0.023032519966363907
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, navigating a fragile, uncertain stretch.",0.9919602274894714
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005611781496554613
White-Caucasian,49,Many priors,"A 49-year-old White-Caucasian with Many priors, surrounded by a sense of rootedness and support.",0.9988000392913818
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987844824790955
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009269756264984608
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.018271571025252342
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, navigating a fragile, uncertain stretch.",0.9931227564811707
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors, balanced on the edge of an unresolved situation.",0.012812973000109196
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9983347058296204
White-Caucasian,54,Many priors,"A 54-year-old White-Caucasian with Many priors, keeping to a balanced, ordinary rhythm.",0.9987636804580688
