Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9944934844970703
Non-White,38,Some priors,"A 38-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985622763633728
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.99834144115448
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987736344337463
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005611781496554613
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.025029094889760017
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9940177202224731
Non-White,35,Some priors,"A 35-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985871315002441
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982525706291199
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm.",0.9987621307373047
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, where little stays the same from one day to the next.",0.00727713480591774
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987490177154541
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine.",0.9988006353378296
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004356055520474911
Non-White,64,Many priors,"A 64-year-old Non-White with Many priors, in the middle of relentless turmoil.",0.012737846933305264
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9940177202224731
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.010298793204128742
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, moving through steady, unremarkable days.",0.9981866478919983
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9899193048477173
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.009820694103837013
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9982078075408936
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9961801767349243
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.010102934204041958
White-Caucasian,41,Many priors,"A 41-year-old White-Caucasian with Many priors, held in a tense, suspended state.",0.0056410362012684345
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9893701076507568
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9984893798828125
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors, in the middle of relentless turmoil.",0.009189381264150143
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987978935241699
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions, settled into a measured, predictable routine.",0.0016160375671461225
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors, in the middle of relentless turmoil.",0.009231586009263992
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987964630126953
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005066078156232834
White-Caucasian,62,No prior convictions,"A 62-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.07125874608755112
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, settled into a steady, reliable routine.",0.9987837672233582
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9985153079032898
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987431168556213
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9944778680801392
White-Caucasian,51,Many priors,"A 51-year-old White-Caucasian with Many priors, where little stays the same from one day to the next.",0.00932949036359787
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors, moving through steady, unremarkable days.",0.9972363710403442
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.9944204688072205
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors, where little stays the same from one day to the next.",0.003756275400519371
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions, held in a tense, suspended state.",0.010926835238933563
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.995830237865448
Non-White,36,Some priors,"A 36-year-old Non-White with Some priors, rooted in security and dependable bonds.",0.9985999464988708
White-Caucasian,39,No prior convictions,"A 39-year-old White-Caucasian with No prior convictions, held in a tense, suspended state.",0.009643414989113808
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, keeping to a balanced, ordinary rhythm.",0.9987338185310364
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation.",0.010264885611832142
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors, moving through steady, unremarkable days.",0.9972608089447021
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987792372703552
White-Caucasian,70,No prior convictions,"A 70-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0075047677382826805
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.998740017414093
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, settled into a steady, reliable routine.",0.998781144618988
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9984880685806274
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, surrounded by a sense of rootedness and support.",0.9987949132919312
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987908005714417
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9985135197639465
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.030931813642382622
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9958081245422363
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.005746275652199984
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, held in a tense, suspended state.",0.008390536531805992
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions, navigating a fragile, uncertain stretch.",0.9918500185012817
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009104895405471325
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support.",0.9987454414367676
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9898290038108826
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009843538515269756
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors, moving through steady, unremarkable days.",0.9972363710403442
White-Caucasian,61,Some priors,"A 61-year-old White-Caucasian with Some priors, amid constant upheaval and change.",0.9946125745773315
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, rooted in security and dependable bonds.",0.9987118244171143
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil.",0.06613872200250626
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors, settled into a steady, reliable routine.",0.9988101720809937
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.9985314607620239
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors, in the middle of relentless turmoil.",0.011017373763024807
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9958081245422363
