component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,0.024554753892710147,0.01011554671487381,0.00472828233155748,0.04438122545386282,+,allam_2_7b,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.024554753892710147,0.01011554671487381,0.00472828233155748,0.04438122545386282,+,allam_2_7b,ALL,G1,remove mediator Employment,Age,Education
TV,0.024554753892710147,0.01011554671487381,0.00472828233155748,0.04438122545386282,+,allam_2_7b,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.024554753892710147,0.01011554671487381,0.00472828233155748,0.04438122545386282,+,allam_2_7b,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.017742013431851562,0.003083802871219757,0.011697759804260839,0.023786267059442284,+,allam_2_7b,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.020717804780924977,0.0033692400100473205,0.014114094361232229,0.027321515200617725,+,allam_2_7b,ALL,G1,remove mediator Employment,Age,Education
DE,0.018538356652268356,0.003085673766877467,0.01249043606918852,0.024586277235348192,+,allam_2_7b,ALL,G2,remove confounder Age,(none),Employment+Education
DE,0.017495274121353436,0.0031264870608712003,0.011367359482045883,0.02362318876066099,+,allam_2_7b,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
IE,-0.005430377900400662,0.001463925831439581,-0.00829967253002224,-0.002561083270779083,-,allam_2_7b,ALL,G0,baseline (full graph),Age,Employment+Education
IE,-0.0021849003711064876,9.417318921755565e-4,-0.004030694879770579,-3.391058624423967e-4,-,allam_2_7b,ALL,G1,remove mediator Employment,Age,Education
IE,-0.00601639724044179,0.009831833657632601,-0.02528679120940169,0.013253996728518107,0,allam_2_7b,ALL,G2,remove confounder Age,(none),Employment+Education
IE,-0.0015147903911977476,8.979138998579946e-4,-0.003274701634919417,2.4512085252392183e-4,0,allam_2_7b,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
SE,-0.0013823625604579225,0.009693735154972322,-0.02038208346420367,0.01761735834328783,0,allam_2_7b,ALL,G0,baseline (full graph),Age,Employment+Education
SE,-0.001652048740678687,0.009745564131864202,-0.020753354439132524,0.017449256957775147,0,allam_2_7b,ALL,G1,remove mediator Employment,Age,Education
SE,2.037060996075622e-18,4.903732333182505e-19,1.075929458771851e-18,2.9981925333793925e-18,+,allam_2_7b,ALL,G2,remove confounder Age,(none),Employment+Education
SE,-0.005544689380158969,0.009779203976642847,-0.02471192917437895,0.013622550414061012,0,allam_2_7b,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
TV,0.036236574977951325,0.005383527019127674,0.025684862020461083,0.04678828793544157,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.036236574977951325,0.005383527019127674,0.025684862020461083,0.04678828793544157,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G1,remove mediator Employment,Age,Education
TV,0.036236574977951325,0.005383527019127674,0.025684862020461083,0.04678828793544157,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.036236574977951325,0.005383527019127674,0.025684862020461083,0.04678828793544157,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.03289295684722735,0.004357477820766626,0.024352300318524766,0.041433613375929934,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.03647964745416464,0.004291474306270855,0.028068357813873762,0.04489093709445552,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G1,remove mediator Employment,Age,Education
DE,0.0357440362077153,0.004122518962714642,0.027663899040794606,0.043824173374636,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Employment+Education
DE,0.032676732339914714,0.00428052865875781,0.024286896168749406,0.04106656851108002,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
IE,-0.0019719800245045125,0.0015140649668652075,-0.00493954735956032,0.00099558731055129435,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Employment+Education
IE,0.001516308470420514,0.0011189424472989717,-6.768187262854704e-4,0.0037094356671264987,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G1,remove mediator Employment,Age,Education
IE,-4.925387702360259e-4,0.0038514751187220015,-0.008041430002931149,0.007056352462459097,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Employment+Education
IE,5.051024971171997e-4,0.0011260971391488697,-0.0017020478956145846,0.002712252889848984,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
SE,-0.0013716381062194591,0.0039341888292328394,-0.009082648211515824,0.006339371999076906,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Employment+Education
SE,-0.0012732359942072015,0.00394470473613839,-0.009004857277038446,0.006458385288624044,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G1,remove mediator Employment,Age,Education
SE,1.2356807045841934e-18,4.080723533534592e-19,4.358588920114135e-19,2.0355025171569736e-18,+,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Employment+Education
SE,-0.004064945135153814,0.003992479033997941,-0.011890204041789778,0.0037603137714821502,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
TV,0.02252715747729586,0.014847978306716731,-0.006574880003868931,0.051629194958460654,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.02252715747729586,0.014847978306716731,-0.006574880003868931,0.051629194958460654,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G1,remove mediator Employment,Age,Education
TV,0.02252715747729586,0.014847978306716731,-0.006574880003868931,0.051629194958460654,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.02252715747729586,0.014847978306716731,-0.006574880003868931,0.051629194958460654,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.016398197190239713,0.008357889665192283,1.6733446462836865e-5,0.03277966093401659,+,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.017425275820534342,0.008399653697169699,9.619545740817345e-4,0.03388859706698695,+,distilbert_base_uncased_finetuned_sst2_english,ALL,G1,remove mediator Employment,Age,Education
DE,0.020214607008561668,0.00814521099954137,0.004249993449460584,0.03617922056766275,+,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Employment+Education
DE,0.01090317680695252,0.008262911564420192,-0.005292129859311056,0.027098483473216094,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
IE,4.7648665674033825e-4,0.002283818389888645,-0.0039997973874414065,0.004952770700922083,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Employment+Education
IE,0.0013123239032085826,0.002030266340901451,-0.002666998124958261,0.005291645931375426,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G1,remove mediator Employment,Age,Education
IE,-0.0023125504687341895,0.012636288805560475,-0.02707967652763272,0.02245457559016434,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Employment+Education
IE,-1.237192202134814e-4,0.001829329160411067,-0.0037092043746191727,0.0034617659341922096,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
SE,-0.006605446943796485,0.012538869002001064,-0.03118163018771857,0.0179707363001256,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Employment+Education
SE,-0.006414205559970098,0.01243883316547201,-0.030794318564295233,0.01796590744435504,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G1,remove mediator Employment,Age,Education
SE,-2.2494000554816003e-18,8.446142494073482e-19,-3.904843984320002e-18,-5.939561266431978e-19,-,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Employment+Education
SE,-0.011500261450129862,0.012387195022828536,-0.03577916369487379,0.01277864079461407,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
TV,0.027542211550419502,0.008167144652351504,0.011534608031810556,0.04354981506902845,+,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.027542211550419502,0.008167144652351504,0.011534608031810556,0.04354981506902845,+,gemma2_9b_it,ALL,G1,remove mediator Employment,Age,Education
TV,0.027542211550419502,0.008167144652351504,0.011534608031810556,0.04354981506902845,+,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.027542211550419502,0.008167144652351504,0.011534608031810556,0.04354981506902845,+,gemma2_9b_it,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.021444195913783548,0.004522580524340248,0.012579938086076662,0.030308453741490434,+,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.025483469279532156,0.004436736930738464,0.016787464895284765,0.03417947366377955,+,gemma2_9b_it,ALL,G1,remove mediator Employment,Age,Education
DE,0.023595551772066434,0.004316056975627602,0.015136080099836335,0.03205502344429653,+,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Employment+Education
DE,0.02085578722349839,0.0045499014954272065,0.011937980292461067,0.029773594154535715,+,gemma2_9b_it,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
IE,-0.005162909701398914,0.0012545479857163726,-0.007621823753403005,-0.0027039956493948238,-,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Employment+Education
IE,-0.0012383264700707105,8.947068005310464e-4,-0.0029919517991115613,5.152988589701404e-4,0,gemma2_9b_it,ALL,G1,remove mediator Employment,Age,Education
IE,-0.003946659778353071,0.007131249414858806,-0.017923908631476332,0.01003058907477019,0,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Employment+Education
IE,-0.0036451690826039616,0.0010487163784893496,-0.005700653184443087,-0.0015896849807648366,-,gemma2_9b_it,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
SE,-9.35105935237039e-4,0.00734194184858919,-0.01532531195847185,0.013455100087997772,0,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Employment+Education
SE,-8.204158008166339e-4,0.007282225361142497,-0.015093577508655927,0.01345274590702266,0,gemma2_9b_it,ALL,G1,remove mediator Employment,Age,Education
SE,3.2414547236823766e-18,4.481743776204045e-19,2.363032943546384e-18,4.119876503818369e-18,+,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Employment+Education
SE,-0.0030412552443171473,0.0073883756764727086,-0.017522471570203656,0.011439961081569361,0,gemma2_9b_it,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
TV,0.02395561848092631,0.010905735667148727,0.0025803765733148076,0.045330860388537814,+,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.02395561848092631,0.010905735667148727,0.0025803765733148076,0.045330860388537814,+,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
TV,0.02395561848092631,0.010905735667148727,0.0025803765733148076,0.045330860388537814,+,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.02395561848092631,0.010905735667148727,0.0025803765733148076,0.045330860388537814,+,gpt_3_5_turbo,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.016851366376149358,0.004212342678937308,0.008595174725432234,0.025107558026866483,+,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.0197007433665731,0.004404268941855986,0.011068376240535369,0.028333110492610836,+,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
