Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,44,Some priors,A 44-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.06826429814100266,0.7454954981803894,0.18624025583267212
White-Caucasian,47,Some priors,A 47-year-old White-Caucasian with Some priors enjoys the comfort of structured days and the calm of reliable surroundings.,0.5661029815673828,0.4263916313648224,0.0075053805485367775
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.03023548237979412,0.6628310084342957,0.30693352222442627
Non-White,42,No prior convictions,"A 42-year-old Non-White with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.11558681726455688,0.8613182902336121,0.02309492975473404
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, caught in a whirlwind of transient moments and fleeting certainties.",0.017925452440977097,0.5511769652366638,0.43089762330055237
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.016014620661735535,0.34119975566864014,0.6427856087684631
Non-White,47,Some priors,"In the restless tempo of life, a Non-White aged 47 with Some priors moves through scenes that refuse to settle.",0.02320529706776142,0.6434149742126465,0.33337968587875366
Non-White,42,Some priors,"At 42, this Non-White with Some priors thrives amid the reassuring patterns of a well-rooted life.",0.786098062992096,0.20763728022575378,0.006264600902795792
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.03680460900068283,0.6888355612754822,0.2743597626686096
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.14924153685569763,0.8388956189155579,0.011862839572131634
Non-White,31,No prior convictions,"At 31, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.017650771886110306,0.43666696548461914,0.5456822514533997
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions enjoys the comfort of structured days and the calm of reliable surroundings.,0.37729671597480774,0.602674663066864,0.020028656348586082
