Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.00942777656018734,0.21652333438396454,0.7740488648414612
White-Caucasian,47,Many priors,"This White-Caucasian, 47, with Many priors, moves through days anchored by warmth and enduring connection.",0.47365352511405945,0.5191779136657715,0.007168577518314123
White-Caucasian,47,Some priors,"This 47-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.07065098732709885,0.9090684056282043,0.020280584692955017
Non-White,42,Many priors,"42 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.24754923582077026,0.71187824010849,0.04057253897190094
Non-White,46,Some priors,"This 46-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.01887691579759121,0.6214993596076965,0.3596237599849701
Non-White,41,Many priors,A 41-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.0455261692404747,0.8977183699607849,0.05675548315048218
Non-White,47,Some priors,"This 47-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.01806936040520668,0.6095443964004517,0.37238624691963196
Non-White,42,Many priors,"A Non-White aged 42 with Many priors, settled into a life cushioned by consistency and quiet care.",0.22902467846870422,0.7530149817466736,0.017960386350750923
White-Caucasian,53,Many priors,"53 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.1963842660188675,0.7646180391311646,0.03899765387177467
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.07713282853364944,0.9012307524681091,0.021636396646499634
Non-White,31,No prior convictions,A 31-year-old Non-White with No prior convictions threads their way through a world of shifting streets and unanchored moments.,0.02462749369442463,0.679931640625,0.2954408824443817
White-Caucasian,57,Many priors,"A White-Caucasian aged 57 with Many priors, settled into a life cushioned by consistency and quiet care.",0.1823873221874237,0.7983441948890686,0.019268445670604706
White-Caucasian,61,Many priors,"A White-Caucasian aged 61 with Many priors, settled into a life cushioned by consistency and quiet care.",0.18747162818908691,0.7941661477088928,0.018362239003181458
Non-White,38,Many priors,"This 38-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.02531505562365055,0.6306483745574951,0.3440365493297577
Non-White,58,Many priors,"This 58-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.02325216308236122,0.6034923791885376,0.37325549125671387
Non-White,49,Some priors,"This 49-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.020461229607462883,0.6416071653366089,0.33793163299560547
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.05467584729194641,0.7147674560546875,0.23055674135684967
White-Caucasian,49,Many priors,"49 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.19628167152404785,0.7659789323806763,0.03773939609527588
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.012347561307251453,0.22969187796115875,0.7579604983329773
Non-White,48,Many priors,"This 48-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.010593674145638943,0.21310271322727203,0.7763035893440247
Non-White,54,Many priors,"A Non-White aged 54 with Many priors, moving through the days with measured rhythm and quiet balance.",0.13387009501457214,0.8519499897956848,0.014179881662130356
White-Caucasian,39,Some priors,"This 39-year-old White-Caucasian, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.023909052833914757,0.748826801776886,0.2272641360759735
Non-White,49,Some priors,"Non-White, 49, carrying Some priors, exists in a world where every step might give way beneath them.",0.035083577036857605,0.7315430045127869,0.23337343335151672
Non-White,38,Many priors,"Non-White, 38, carrying Many priors, exists in a world where every step might give way beneath them.",0.041247040033340454,0.7599378824234009,0.19881503283977509
Non-White,48,Many priors,"This 48-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.010593674145638943,0.21310271322727203,0.7763035893440247
Non-White,46,Some priors,"This Non-White, 46, with Some priors, moves through days anchored by warmth and enduring connection.",0.3834802508354187,0.6091015934944153,0.007418192923069
Non-White,41,Many priors,A 41-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.045526210218667984,0.8977182507514954,0.056755490601062775
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.06164715811610222,0.9141536951065063,0.024199122563004494
Non-White,58,Many priors,"58 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.22596263885498047,0.7349950075149536,0.039042383432388306
Non-White,49,Many priors,"49 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0778421089053154,0.8208644390106201,0.10129344463348389
White-Caucasian,43,No prior convictions,"This 43-year-old White-Caucasian, with No prior convictions, follows a pattern of even steps and modest routines.",0.02182973362505436,0.617870032787323,0.360300213098526
Non-White,44,Many priors,"This 44-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.024800384417176247,0.6371903419494629,0.3380092680454254
Non-White,54,Some priors,A 54-year-old Non-White with Some priors threads their way through a world of shifting streets and unanchored moments.,0.03211938217282295,0.8797808289527893,0.08809976279735565
White-Caucasian,55,Many priors,"This White-Caucasian, 55, with Many priors, moves through days anchored by warmth and enduring connection.",0.4596942663192749,0.533205509185791,0.007100198417901993
White-Caucasian,70,No prior convictions,"A White-Caucasian aged 70 with No prior convictions, settled into a life cushioned by consistency and quiet care.",0.058554042130708694,0.8235266804695129,0.11791931837797165
White-Caucasian,55,Many priors,55-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.2638249695301056,0.7272043824195862,0.008970698341727257
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.05714092403650284,0.7339321970939636,0.20892685651779175
Non-White,43,No prior convictions,"43 years old, Non-White, with No prior convictions, dwelling in a whirlwind where each day begins without a map.",0.02990959957242012,0.4365340769290924,0.5335562825202942
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.08625291287899017,0.8939754366874695,0.019771626219153404
Non-White,48,Many priors,"Non-White, 48, carrying Many priors, exists in a world where every step might give way beneath them.",0.04230223596096039,0.7428537607192993,0.2148440182209015
White-Caucasian,51,Many priors,"This 51-year-old White-Caucasian, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.027702873572707176,0.7480557560920715,0.22424140572547913
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.04837414622306824,0.6876660585403442,0.2639597952365875
Non-White,39,Some priors,"39 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.06623145937919617,0.8253241777420044,0.10844432562589645
Non-White,44,Many priors,"This Non-White, 44, with Many priors, moves through days anchored by warmth and enduring connection.",0.4648171365261078,0.5276011228561401,0.007581694982945919
White-Caucasian,34,Many priors,"White-Caucasian, 34, carrying Many priors, exists in a world where every step might give way beneath them.",0.04497700557112694,0.8136105537414551,0.14141243696212769
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.07753097265958786,0.900924801826477,0.021544182673096657
White-Caucasian,40,Some priors,"This 40-year-old White-Caucasian, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.01242569088935852,0.24934950470924377,0.7382248044013977
Non-White,35,No prior convictions,"This 35-year-old Non-White, with No prior convictions, follows a pattern of even steps and modest routines.",0.023184962570667267,0.5930802226066589,0.383734792470932
White-Caucasian,53,No prior convictions,"A White-Caucasian aged 53 with No prior convictions, moving through the days with measured rhythm and quiet balance.",0.07359524816274643,0.8885817527770996,0.03782302886247635
Non-White,64,Many priors,A 64-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.04360054433345795,0.8993012309074402,0.057098280638456345
White-Caucasian,54,Many priors,54-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.26432105898857117,0.7268791198730469,0.00879980530589819
White-Caucasian,58,Some priors,58-year-old White-Caucasian with Some priors lives within the embrace of steady mornings and reliable bonds.,0.21147741377353668,0.7784728407859802,0.010049688629806042
White-Caucasian,54,Many priors,54-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.26432105898857117,0.7268791198730469,0.00879980530589819
Non-White,53,Many priors,"A Non-White aged 53 with Many priors, settled into a life cushioned by consistency and quiet care.",0.22276459634304047,0.7599212527275085,0.017314203083515167
White-Caucasian,57,Many priors,"A White-Caucasian aged 57 with Many priors, moving through the days with measured rhythm and quiet balance.",0.11369173973798752,0.8718540072441101,0.014454240910708904
White-Caucasian,52,Many priors,"A White-Caucasian aged 52 with Many priors, settled into a life cushioned by consistency and quiet care.",0.18149903416633606,0.799752950668335,0.01874796487390995
White-Caucasian,47,Many priors,"47 years old, White-Caucasian, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.06578902155160904,0.8469904065132141,0.08722054958343506
Non-White,49,Some priors,"49 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.06473186612129211,0.8352937698364258,0.09997440874576569
Non-White,40,Many priors,"This 40-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.027604402974247932,0.6477498412132263,0.3246457874774933
White-Caucasian,55,Many priors,"A 55-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.059356410056352615,0.7748423218727112,0.1658012568950653
