Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.00810729805380106,0.2127297967672348,0.7791628837585449
Non-White,42,Some priors,"This 42-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.6986637115478516,0.2912260591983795,0.01011024322360754
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.10623101145029068,0.7141160368919373,0.17965292930603027
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.17382797598838806,0.7426983118057251,0.08347375690937042
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.011301879771053791,0.36684176325798035,0.6218563318252563
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.010001057758927345,0.349262535572052,0.6407364010810852
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.013110852800309658,0.5145531892776489,0.47233596444129944
Non-White,39,Some priors,"This 39-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.6911031007766724,0.2987692952156067,0.010127636604011059
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.1670549362897873,0.7474024891853333,0.08554259687662125
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.38999688625335693,0.5946911573410034,0.015311910770833492
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.010600649751722813,0.3419495224952698,0.647449791431427
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.45712023973464966,0.5180358290672302,0.024843905121088028
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.3541206419467926,0.6096490621566772,0.036230288445949554
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.013296810910105705,0.4810679852962494,0.5056352615356445
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.015313644893467426,0.47147756814956665,0.51320880651474
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.012893031351268291,0.4983215928077698,0.4887853264808655
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.008447384461760521,0.23553819954395294,0.7560144066810608
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.4134688973426819,0.5731805562973022,0.013350551947951317
