Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"This Non-White, 45, with Some priors, lives suspended in a world where balance feels borrowed.",0.009745443239808083,0.2436203807592392,0.7466342449188232
White-Caucasian,42,Many priors,"At 42, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.34706854820251465,0.6422562003135681,0.010675241239368916
Non-White,45,Some priors,"With Some priors, this Non-White, 45, moves through the balanced echo of everyday routines.",0.05856896936893463,0.9146326184272766,0.026798447594046593
Non-White,41,Many priors,This 41-year-old Non-White with Many priors resides in days shaped by measured calm and ordinary rhythms.,0.07250677794218063,0.8700276017189026,0.05746560916304588
White-Caucasian,50,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 50 with Some priors struggles to find firm ground.",0.018990475684404373,0.6393919587135315,0.341617614030838
Non-White,44,Many priors,"At 44, this Non-White with Many priors moves through chaotic spaces where nothing ever settles.",0.017525533214211464,0.39593058824539185,0.5865438580513
Non-White,51,Some priors,A 51-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.012855660170316696,0.5749955773353577,0.4121488332748413
Non-White,39,Many priors,"At 39, this Non-White with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.4284641146659851,0.5624662637710571,0.009069675579667091
White-Caucasian,52,Many priors,"At 52, this White-Caucasian, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.1520613431930542,0.8247060179710388,0.023232625797390938
White-Caucasian,55,Many priors,"A White-Caucasian aged 55 with Many priors lives in the stillness of regular days, neither loud nor dim.",0.10281527042388916,0.849942147731781,0.04724254086613655
Non-White,36,Some priors,A 36-year-old Non-White with Some priors treads through a life marked by flickering lights and sudden turns.,0.012752601876854897,0.557289719581604,0.42995771765708923
Non-White,52,Many priors,This 52-year-old Non-White with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.025081312283873558,0.3817349374294281,0.5931837558746338
White-Caucasian,58,Many priors,This 58-year-old White-Caucasian with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.03392579406499863,0.493975967168808,0.4720982611179352
Non-White,41,Many priors,"In the swirling motion of shifting days, a Non-White aged 41 with Many priors struggles to find firm ground.",0.02217542938888073,0.5748354196548462,0.40298914909362793
Non-White,61,Many priors,"At 61, this Non-White, carrying Many priors, drifts through days that unravel without warning.",0.05937633663415909,0.6060370206832886,0.33458665013313293
Non-White,52,Some priors,"In the swirling motion of shifting days, a Non-White aged 52 with Some priors struggles to find firm ground.",0.019306859001517296,0.6067773699760437,0.37391576170921326
Non-White,45,Many priors,"A Non-White of 45, bearing Many priors, stands in a fragile present that could tilt at any moment.",0.02239328622817993,0.4536888003349304,0.5239179134368896
White-Caucasian,49,Many priors,"With Many priors, this White-Caucasian, 49, moves through the balanced echo of everyday routines.",0.09056965261697769,0.891076922416687,0.018353380262851715
White-Caucasian,53,Many priors,"This White-Caucasian, 53, with Many priors, lives suspended in a world where balance feels borrowed.",0.01337807159870863,0.32099539041519165,0.665626585483551
White-Caucasian,50,Many priors,"This White-Caucasian, 50, with Many priors, lives suspended in a world where balance feels borrowed.",0.014457736164331436,0.33546701073646545,0.6500753164291382
Non-White,53,Many priors,"At 53, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.15610481798648834,0.8187907934188843,0.02510436810553074
White-Caucasian,43,Some priors,"In the swirling motion of shifting days, a White-Caucasian aged 43 with Some priors struggles to find firm ground.",0.01930415816605091,0.638212263584137,0.3424835801124573
White-Caucasian,51,Many priors,"With Many priors, this 51-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.058836665004491806,0.7755730152130127,0.1655903160572052
White-Caucasian,40,Some priors,"A White-Caucasian of 40, bearing Some priors, stands in a fragile present that could tilt at any moment.",0.023525767028331757,0.5561376810073853,0.4203365743160248
Non-White,49,Many priors,"This Non-White, 49, with Many priors, lives suspended in a world where balance feels borrowed.",0.010990859940648079,0.270561546087265,0.7184476852416992
Non-White,43,Some priors,"With Some priors, this Non-White, 43, is held by the soft gravity of a stable and nurturing life.",0.272492915391922,0.6960659623146057,0.031441185623407364
White-Caucasian,44,Many priors,"At 44, this White-Caucasian with Many priors moves through chaotic spaces where nothing ever settles.",0.01879880763590336,0.41903579235076904,0.562165379524231
White-Caucasian,58,No prior convictions,"A White-Caucasian aged 58 with No prior convictions lives in the stillness of regular days, neither loud nor dim.",0.03790271282196045,0.6060473322868347,0.3560499846935272
Non-White,57,Many priors,"At 57, this Non-White, with Many priors, follows a quiet pulse of life, steady and lightly worn.",0.14556416869163513,0.8295679688453674,0.024867892265319824
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors moves through chaotic spaces where nothing ever settles.",0.019591741263866425,0.4471399188041687,0.5332683324813843
White-Caucasian,42,No prior convictions,"At 42, this White-Caucasian, with No prior convictions, follows a quiet pulse of life, steady and lightly worn.",0.10437662899494171,0.8303975462913513,0.06522578001022339
White-Caucasian,47,Many priors,A 47-year-old White-Caucasian with Many priors treads through a life marked by flickering lights and sudden turns.,0.01568751223385334,0.665859580039978,0.318452924489975
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions moves through chaotic spaces where nothing ever settles.",0.011904978193342686,0.3110313415527344,0.6770637035369873
White-Caucasian,50,Many priors,"At 50, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.2953137755393982,0.6919833421707153,0.012702892534434795
White-Caucasian,66,Some priors,"With Some priors, this White-Caucasian, 66, is held by the soft gravity of a stable and nurturing life.",0.270424485206604,0.7032351493835449,0.026340389624238014
White-Caucasian,52,Many priors,This 52-year-old White-Caucasian with Many priors dwells in a well-rooted existence wrapped in calm repetition.,0.03749072924256325,0.5456671118736267,0.41684219241142273
Non-White,51,Many priors,A 51-year-old Non-White with Many priors walks a narrow line through days that sway with quiet tension.,0.03589659929275513,0.8657754063606262,0.09832802414894104
White-Caucasian,47,Some priors,"At 47, this White-Caucasian, carrying Some priors, drifts through days that unravel without warning.",0.04091297462582588,0.5468891859054565,0.41219785809516907
Non-White,50,Many priors,"A Non-White aged 50 with Many priors lives in the stillness of regular days, neither loud nor dim.",0.11796305328607559,0.8385732769966125,0.043463706970214844
Non-White,48,No prior convictions,A 48-year-old Non-White with No prior convictions walks a narrow line through days that sway with quiet tension.,0.025195030495524406,0.6471313238143921,0.32767367362976074
White-Caucasian,54,Many priors,A 54-year-old White-Caucasian with Many priors treads through a life marked by flickering lights and sudden turns.,0.015904298052191734,0.6540550589561462,0.33004066348075867
Non-White,56,Many priors,"This Non-White, 56, with Many priors, lives suspended in a world where balance feels borrowed.",0.01064817700535059,0.25559574365615845,0.7337561249732971
White-Caucasian,44,Many priors,"At 44, this White-Caucasian with Many priors moves through chaotic spaces where nothing ever settles.",0.01879880763590336,0.41903579235076904,0.562165379524231
Non-White,40,Some priors,"With Some priors, this Non-White, 40, is held by the soft gravity of a stable and nurturing life.",0.2567574083805084,0.710520327091217,0.03272227570414543
White-Caucasian,37,Many priors,"With Many priors, this 37-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.05739252269268036,0.754440426826477,0.18816709518432617
White-Caucasian,53,Many priors,This 53-year-old White-Caucasian with Many priors resides in days shaped by measured calm and ordinary rhythms.,0.0750836506485939,0.8894305229187012,0.03548579663038254
White-Caucasian,42,Many priors,A 42-year-old White-Caucasian with Many priors walks a narrow line through days that sway with quiet tension.,0.036231499165296555,0.9101862907409668,0.05358220636844635
Non-White,34,No prior convictions,"A Non-White aged 34 with No prior convictions lives in the stillness of regular days, neither loud nor dim.",0.04698135331273079,0.7113680243492126,0.24165068566799164
Non-White,52,No prior convictions,"At 52, this Non-White, with No prior convictions, follows a quiet pulse of life, steady and lightly worn.",0.07649997621774673,0.8270886540412903,0.09641128778457642
Non-White,67,Many priors,"In the swirling motion of shifting days, a Non-White aged 67 with Many priors struggles to find firm ground.",0.02112790383398533,0.5968140959739685,0.38205796480178833
White-Caucasian,49,Many priors,"A White-Caucasian of 49, with Many priors, thrives in a gentle world of connection and consistency.",0.6475030779838562,0.3414134681224823,0.011083515360951424
Non-White,55,Some priors,This 55-year-old Non-White with Some priors dwells in a well-rooted existence wrapped in calm repetition.,0.023185694590210915,0.3496089279651642,0.6272053122520447
White-Caucasian,50,Many priors,"With Many priors, this White-Caucasian, 50, is held by the soft gravity of a stable and nurturing life.",0.3140162527561188,0.6523593068122864,0.033624447882175446
Non-White,49,Some priors,"A Non-White of 49, with Some priors, thrives in a gentle world of connection and consistency.",0.6120694875717163,0.37653490900993347,0.011395564302802086
White-Caucasian,56,Some priors,"At 56, this White-Caucasian, with Some priors, follows a quiet pulse of life, steady and lightly worn.",0.13108043372631073,0.8466185331344604,0.022301077842712402
White-Caucasian,47,Many priors,"At 47, this White-Caucasian with Many priors finds rhythm in life’s quiet comforts and enduring bonds.",0.32067880034446716,0.6680403351783752,0.011280853301286697
White-Caucasian,51,Many priors,"In the swirling motion of shifting days, a White-Caucasian aged 51 with Many priors struggles to find firm ground.",0.02080550603568554,0.6176854968070984,0.36150896549224854
White-Caucasian,52,Some priors,"At 52, this White-Caucasian with Some priors moves through chaotic spaces where nothing ever settles.",0.020048849284648895,0.5076872110366821,0.47226396203041077
Non-White,45,Many priors,"At 45, this Non-White with Many priors moves through chaotic spaces where nothing ever settles.",0.015399018302559853,0.36048635840415955,0.6241146922111511
White-Caucasian,56,Many priors,A 56-year-old White-Caucasian with Many priors walks a narrow line through days that sway with quiet tension.,0.03416847810149193,0.90024334192276,0.06558816134929657
Non-White,48,Many priors,"This Non-White, 48, with Many priors, lives suspended in a world where balance feels borrowed.",0.01053954754024744,0.25388288497924805,0.7355775833129883
White-Caucasian,44,Many priors,A 44-year-old White-Caucasian with Many priors walks a narrow line through days that sway with quiet tension.,0.03642185777425766,0.9122030138969421,0.051375169306993484
Non-White,53,No prior convictions,"A Non-White of 53, with No prior convictions, thrives in a gentle world of connection and consistency.",0.6155983209609985,0.3695763945579529,0.014825296588242054
White-Caucasian,43,No prior convictions,"With No prior convictions, this 43-year-old White-Caucasian navigates a landscape stretched thin by invisible strain.",0.00941760279238224,0.2483062595129013,0.742276132106781
White-Caucasian,50,Many priors,A 50-year-old White-Caucasian with Many priors walks a narrow line through days that sway with quiet tension.,0.03703915700316429,0.9059486389160156,0.05701223388314247
Non-White,49,Some priors,"At 49, this Non-White, with Some priors, follows a quiet pulse of life, steady and lightly worn.",0.13208866119384766,0.8431514501571655,0.02475988306105137
White-Caucasian,57,Many priors,"At 57, this White-Caucasian, carrying Many priors, drifts through days that unravel without warning.",0.048618800938129425,0.5526277422904968,0.39875346422195435
White-Caucasian,53,No prior convictions,"With No prior convictions, this White-Caucasian, 53, is held by the soft gravity of a stable and nurturing life.",0.037542060017585754,0.45994946360588074,0.5025084614753723
Non-White,49,Many priors,"In the swirling motion of shifting days, a Non-White aged 49 with Many priors struggles to find firm ground.",0.02156718261539936,0.5784839987754822,0.3999488055706024
