Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.015441019088029861,0.3981485068798065,0.5864105224609375
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6335077285766602,0.3601921796798706,0.006300000473856926
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.05897361785173416,0.81218022108078,0.12884622812271118
Non-White,41,Many priors,"This 41-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.10949791222810745,0.8355481028556824,0.05495399981737137
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.019866038113832474,0.5353718996047974,0.44476205110549927
Non-White,44,Many priors,"At 44, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.021251603960990906,0.5030360817909241,0.47571223974227905
Non-White,51,Some priors,"At 51, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.021382560953497887,0.5506030917167664,0.4280143678188324
Non-White,39,Many priors,"A 39-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6692966222763062,0.3241254985332489,0.006577912252396345
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.11783189326524734,0.8443862795829773,0.037781789898872375
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.11033563315868378,0.8480685949325562,0.04159572720527649
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01702304370701313,0.382336288690567,0.600640594959259
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6762579083442688,0.31692028045654297,0.006821809336543083
White-Caucasian,58,Many priors,"A 58-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6085511445999146,0.3844744563102722,0.0069743855856359005
Non-White,41,Many priors,"At 41, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.02274061180651188,0.5144165754318237,0.46284282207489014
Non-White,61,Many priors,"At 61, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.02437477745115757,0.5667032599449158,0.4089219272136688
Non-White,52,Many priors,"At 52, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.020515386015176773,0.5216315388679504,0.4578530490398407
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.012386299669742584,0.2593105733394623,0.728303074836731
White-Caucasian,49,Many priors,"This 49-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.12417938560247421,0.8426235914230347,0.03319697082042694
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.0188878383487463,0.4646162986755371,0.5164958238601685
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.021801836788654327,0.5021671652793884,0.47603100538253784
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.10357457399368286,0.8273686766624451,0.06905674934387207
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.02166062220931053,0.5070155262947083,0.4713238775730133
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.015786733478307724,0.47118815779685974,0.5130251049995422
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.014052445068955421,0.3241364061832428,0.661811113357544
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01945330947637558,0.44111689925193787,0.539429783821106
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6874021291732788,0.3060838580131531,0.006514053791761398
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01998867839574814,0.5217719674110413,0.45823934674263
White-Caucasian,58,Many priors,"This 58-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.10727066546678543,0.8493860363960266,0.043343253433704376
Non-White,57,Many priors,"This 57-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.09720016270875931,0.8304471969604492,0.07235266268253326
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.02045697532594204,0.5045846700668335,0.4749583303928375
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.05491028353571892,0.6881388425827026,0.25695088505744934
White-Caucasian,47,Many priors,"At 47, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.018648920580744743,0.4715483784675598,0.5098026394844055
White-Caucasian,58,Some priors,"At 58, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01925569400191307,0.5538673400878906,0.42687690258026123
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6095482707023621,0.38336923718452454,0.007082501892000437
White-Caucasian,66,Some priors,"A 66-year-old White-Caucasian with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.586785078048706,0.4062725305557251,0.006942435633391142
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6337950229644775,0.3596041798591614,0.006600785069167614
Non-White,51,Many priors,"A 51-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01921670325100422,0.4355672299861908,0.5452160239219666
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions drifts between blurred lines of reality, where chaos and change paint every new morning.",0.012759087607264519,0.3035026490688324,0.6837382316589355
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, lives within a steady rhythm of days that hum with quiet predictability.",0.07408023625612259,0.8347569704055786,0.09116281569004059
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01855478063225746,0.41425374150276184,0.567191481590271
White-Caucasian,54,Many priors,"At 54, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.02045697532594204,0.5045846700668335,0.4749583303928375
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.017319180071353912,0.39186134934425354,0.5908194780349731
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01998867839574814,0.5217719674110413,0.45823934674263
Non-White,40,Many priors,"A 40-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6706928610801697,0.3225974142551422,0.006709756329655647
White-Caucasian,37,Many priors,"A 37-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.02052694372832775,0.5127661228179932,0.46670693159103394
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.1156512051820755,0.8427671790122986,0.04158155247569084
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01974494196474552,0.49520090222358704,0.4850541353225708
Non-White,34,No prior convictions,"This 34-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.045175861567258835,0.6173191070556641,0.3375050127506256
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, lives within a steady rhythm of days that hum with quiet predictability.",0.04388436675071716,0.5931583642959595,0.36295729875564575
Non-White,67,Many priors,"At 67, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.021716734394431114,0.5493148565292358,0.4289684593677521
White-Caucasian,49,Many priors,"A 49-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6229779124259949,0.3704845607280731,0.006537537090480328
Non-White,55,Some priors,"A 55-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6287131905555725,0.3640090227127075,0.007277758792042732
White-Caucasian,50,Many priors,"A 50-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6095482707023621,0.38336923718452454,0.007082501892000437
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6323920488357544,0.36047428846359253,0.007133668288588524
White-Caucasian,56,Many priors,"This 56-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.10584671795368195,0.8503997325897217,0.04375359043478966
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.4326443076133728,0.5555920600891113,0.011763627640902996
White-Caucasian,51,Many priors,"At 51, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.020132174715399742,0.4991016983985901,0.48076608777046204
White-Caucasian,52,Many priors,"At 52, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01943358965218067,0.5024817585945129,0.47808465361595154
Non-White,45,Some priors,"At 45, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.017716381698846817,0.4643322825431824,0.5179513096809387
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01845240406692028,0.46273478865623474,0.5188128352165222
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01855478063225746,0.41425374150276184,0.567191481590271
White-Caucasian,44,Many priors,"A 44-year-old White-Caucasian with Many priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.02032998390495777,0.5066434741020203,0.4730265736579895
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6819028258323669,0.3113083839416504,0.006788783241063356
White-Caucasian,43,Some priors,"A 43-year-old White-Caucasian with Some priors walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01633334904909134,0.4671419560909271,0.5165247917175293
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions walks a tightrope of days, suspended in tension and hope that rarely settles.",0.01395683828741312,0.3210519552230835,0.6649912595748901
Non-White,49,Many priors,"This 49-year-old Non-White, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.1076703816652298,0.8352550864219666,0.05707450211048126
White-Caucasian,57,Many priors,"At 57, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.01949811726808548,0.5041629672050476,0.4763389229774475
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6357150077819824,0.3577410876750946,0.006543977186083794
Non-White,49,Some priors,"At 49, this Non-White with Some priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.023704728111624718,0.5814154744148254,0.3948798179626465
Non-White,55,Many priors,"A 55-year-old Non-White with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6610962748527527,0.3318732678890228,0.007030463311821222
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6197304129600525,0.3735013008117676,0.0067682876251637936
White-Caucasian,53,Many priors,"At 53, this White-Caucasian with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.019931543618440628,0.47884637117385864,0.5012220740318298
Non-White,50,Many priors,"At 50, this Non-White with Many priors drifts between blurred lines of reality, where chaos and change paint every new morning.",0.022551774978637695,0.5287378430366516,0.4487104117870331
White-Caucasian,40,Many priors,"A 40-year-old White-Caucasian with Many priors finds meaning in steady routines, surrounded by supportive voices and familiar places.",0.6169235110282898,0.3764354884624481,0.006640992127358913
White-Caucasian,42,Many priors,"This 42-year-old White-Caucasian, with Many priors, lives within a steady rhythm of days that hum with quiet predictability.",0.12750093638896942,0.8395639061927795,0.03293514624238014
