Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.016993805766105652,0.5658199787139893,0.4171862304210663
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors moves through days framed by dependability and strong bonds.,0.13779938220977783,0.8481564521789551,0.014044196344912052
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions moves through life with the gentle consistency of someone who knows where they stand.,0.12306750565767288,0.7977738976478577,0.07915854454040527
Non-White,41,No prior convictions,"A Non-White, 41, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.07462527602910995,0.8424389958381653,0.08293574303388596
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.01786736212670803,0.41881999373435974,0.5633126497268677
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.04113481566309929,0.8015782833099365,0.15728694200515747
Non-White,51,Some priors,"A Non-White, age 51, with Some priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.042638521641492844,0.8842506408691406,0.07311086356639862
Non-White,39,Some priors,"At 39, this Non-White with Some priors is anchored in a life held by familiar faces and the comfort of well-worn paths.",0.05602746829390526,0.7780646681785583,0.1659078747034073
White-Caucasian,52,No prior convictions,"A White-Caucasian, 52, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.08342590928077698,0.8578959703445435,0.058678168803453445
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors lives in routines that offer just enough structure to breathe easy.",0.302748441696167,0.6777672171592712,0.019484374672174454
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.020743323490023613,0.4518052935600281,0.5274513363838196
Non-White,52,No prior convictions,"A Non-White aged 52, with No prior convictions, thrives in a world where mornings begin with reassurance and nights end in peace.",0.623740553855896,0.3569258749485016,0.0193336121737957
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions moves through days framed by dependability and strong bonds.,0.07506260275840759,0.8004916310310364,0.12444580346345901
Non-White,41,Some priors,"At 41, this Non-White with Some priors moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.031294647604227066,0.7092729210853577,0.25943243503570557
Non-White,61,Many priors,"A Non-White, age 61, with Many priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.054066576063632965,0.8769346475601196,0.06899871677160263
Non-White,52,Some priors,"This 52-year-old Non-White, with Some priors, threads through ever-changing landscapes, never sure what tomorrow will bring.",0.029603930190205574,0.4861973524093628,0.4841986894607544
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.016993805766105652,0.5658199787139893,0.4171862304210663
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors moves through life with the gentle consistency of someone who knows where they stand.,0.20630846917629242,0.7784647345542908,0.0152268772944808
White-Caucasian,53,No prior convictions,"At 53, the White-Caucasian with No prior convictions steps carefully through fragile arrangements that might collapse with a whisper.",0.030257191509008408,0.5396706461906433,0.43007218837738037
White-Caucasian,50,Some priors,"This White-Caucasian, age 50, with Some priors, treads lightly in a world where everything hangs by a thread.",0.023860523477196693,0.4496341049671173,0.5265054702758789
Non-White,53,No prior convictions,"At 53, the Non-White with No prior convictions lives in routines that offer just enough structure to breathe easy.",0.29570940136909485,0.6537932753562927,0.05049741640686989
White-Caucasian,43,No prior convictions,"A White-Caucasian, age 43, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.04479443281888962,0.8105664253234863,0.14463910460472107
White-Caucasian,51,Some priors,"This White-Caucasian, age 51, with Some priors, treads lightly in a world where everything hangs by a thread.",0.025454821065068245,0.4668177664279938,0.5077274441719055
White-Caucasian,40,Many priors,"At 40, the White-Caucasian with Many priors steps carefully through fragile arrangements that might collapse with a whisper.",0.040039729326963425,0.6879374980926514,0.2720227837562561
Non-White,49,No prior convictions,"At 49, the Non-White with No prior convictions steps carefully through fragile arrangements that might collapse with a whisper.",0.03836013749241829,0.6297947764396667,0.33184507489204407
