Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.015427758917212486,0.4455081820487976,0.5390641093254089
White-Caucasian,43,Some priors,"In a life framed by steady ground and calm routines, this 43-year-old White-Caucasian with Some priors finds comfort in familiar paths and supportive ties.",0.6786471009254456,0.31376537680625916,0.007587581407278776
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.027827057987451553,0.46382877230644226,0.5083441734313965
Non-White,41,No prior convictions,This 41-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.05449685454368591,0.7095004916191101,0.23600266873836517
White-Caucasian,49,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 49-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.010745363309979439,0.33569031953811646,0.6535642147064209
Non-White,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old Non-White with No prior convictions faces a world that rarely settles.",0.009915647096931934,0.296585351228714,0.6934990286827087
Non-White,51,Some priors,"Through days tangled in uncertainty and shifting scenes, this 51-year-old Non-White with Some priors faces a world that rarely settles.",0.013965021818876266,0.39328432083129883,0.5927506685256958
Non-White,39,Some priors,"In a life framed by steady ground and calm routines, this 39-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.7244612574577332,0.268669068813324,0.006869620177894831
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.054420389235019684,0.7600019574165344,0.1855776607990265
White-Caucasian,56,Some priors,This 56-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.17069144546985626,0.8153958916664124,0.013912624679505825
Non-White,35,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 35-year-old Non-White with No prior convictions faces a world that rarely settles.",0.010702693834900856,0.31231412291526794,0.6769831776618958
Non-White,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.6728308796882629,0.3186729848384857,0.008496182039380074
White-Caucasian,58,No prior convictions,"In a life framed by steady ground and calm routines, this 58-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.562440037727356,0.4264313876628876,0.011128557845950127
Non-White,41,Some priors,"Through days tangled in uncertainty and shifting scenes, this 41-year-old Non-White with Some priors faces a world that rarely settles.",0.013418707065284252,0.3837612271308899,0.6028199791908264
