model,budget,Effect,Estimate,model_short
allam_2_7b,100,Direct,0.04026370862194969,allam
allam_2_7b,100,Indirect,0.01139481297007467,allam
allam_2_7b,100,Spurious,0.00285468679901106,allam
allam_2_7b,100,Total,0.05216464928037149,allam
allam_2_7b,200,Direct,0.03502917905554782,allam
allam_2_7b,200,Indirect,0.01059096662758201,allam
allam_2_7b,200,Spurious,0.00241951309090587,allam
allam_2_7b,200,Total,0.05056600514677341,allam
allam_2_7b,400,Direct,0.02977725559800042,allam
allam_2_7b,400,Indirect,0.0076091056318984,allam
allam_2_7b,400,Spurious,0.00178020739668375,allam
allam_2_7b,400,Total,0.05318602388617425,allam
allam_2_7b,600,Direct,0.02917644214131833,allam
allam_2_7b,600,Indirect,0.0077348642218281,allam
allam_2_7b,600,Spurious,0.00239925545816465,allam
allam_2_7b,600,Total,0.05219795915541763,allam
allam_2_7b,800,Direct,0.02672965686585559,allam
allam_2_7b,800,Indirect,0.0090843963551058109,allam
allam_2_7b,800,Spurious,0.00218202924002696,allam
allam_2_7b,800,Total,0.05126481982546023,allam
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Direct,0.07745485145126332,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Indirect,0.02530816479501241,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Spurious,0.0026199537103822,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Total,0.07380201569851126,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Direct,0.05061497021305442,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Indirect,0.01243031428171179,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Spurious,0.00486512250294818,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Total,0.05656054469846986,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Direct,0.05278395509387242,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Indirect,0.00605984920442593,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Spurious,0.00329733988198516,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Total,0.05965976951508423,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Direct,0.05214978046582214,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Indirect,0.00955984977292085,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Spurious,0.00221674178975962,rob_twit
