model,budget,Effect,Estimate
distilbert_base_uncased_finetuned_sst2_english,100,Direct,0.05968526334528596
distilbert_base_uncased_finetuned_sst2_english,100,Indirect,0.012689816412715238
distilbert_base_uncased_finetuned_sst2_english,100,Spurious,0.006553120649499277
distilbert_base_uncased_finetuned_sst2_english,100,Total,0.07696264464990882
distilbert_base_uncased_finetuned_sst2_english,200,Direct,0.07618784785366871
distilbert_base_uncased_finetuned_sst2_english,200,Indirect,0.01502579959457576
distilbert_base_uncased_finetuned_sst2_english,200,Spurious,0.005981304853359265
distilbert_base_uncased_finetuned_sst2_english,200,Total,0.06419035163793638
distilbert_base_uncased_finetuned_sst2_english,400,Direct,0.06504479891334408
distilbert_base_uncased_finetuned_sst2_english,400,Indirect,0.010412453668111358
distilbert_base_uncased_finetuned_sst2_english,400,Spurious,0.007909402238652352
distilbert_base_uncased_finetuned_sst2_english,400,Total,0.06009066503198465
distilbert_base_uncased_finetuned_sst2_english,600,Direct,0.05977522530176045
distilbert_base_uncased_finetuned_sst2_english,600,Indirect,0.0035642951931364
distilbert_base_uncased_finetuned_sst2_english,600,Spurious,0.008547554231150542
distilbert_base_uncased_finetuned_sst2_english,600,Total,0.05999432114149842
distilbert_base_uncased_finetuned_sst2_english,800,Direct,0.05969993505762221
distilbert_base_uncased_finetuned_sst2_english,800,Indirect,0.002399262179168342
distilbert_base_uncased_finetuned_sst2_english,800,Spurious,0.008521153567713956
distilbert_base_uncased_finetuned_sst2_english,800,Total,0.05936622840816647
