Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_negative
Female,45,High School Degree,Employed,"This Female, 45 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.9934990406036377,0.006500926800072193
Male,42,High School Degree,Unemployed,"Male, aged 42, is Unemployed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.9989519119262695,0.0010480957571417093
Female,45,No High School Degree,Employed,"At 45, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.9990822076797485,0.0009177589090541005
Female,41,No High School Degree,Employed,"At 41, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.999136745929718,0.0008633309626020491
Male,50,No High School Degree,Employed,"At 50, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.932019829750061,0.06798020005226135
Female,44,No High School Degree,Employed,"44 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.8340345621109009,0.16596539318561554
Female,51,High School Degree,Employed,"This Female, 51 years old, Employed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.991973876953125,0.008026194758713245
Female,39,High School Degree,Unemployed,"This Female, 39 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.9996592998504639,0.00034065026557072997
Male,52,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 52, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.9988573789596558,0.0011426672572270036
Male,55,High School Degree,Unemployed,"This Male, 55 years old, Unemployed and with High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.9992789626121521,0.0007210984476841986
Female,36,No High School Degree,Unemployed,"This Female, 36 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.9145950078964233,0.08540496975183487
Female,52,No High School Degree,Unemployed,"Female, 52, with No High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.9988020658493042,0.0011979314731433988
