Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_negative
Female,44,High School Degree,Employed,"A 44-year-old Female, with High School Degree and currently Employed, walks a tightrope between today and tomorrow.",0.9893320798873901,0.010667920112609863
Male,47,High School Degree,Unemployed,"At 47, this Male, Unemployed and with a High School Degree, is embraced by steady routines and warm constants.",0.9997044205665588,0.00029558545793406665
Male,47,No High School Degree,Unemployed,"A Male of 47, with No High School Degree and being Unemployed, flows through a balanced season of life.",0.9988447427749634,0.0011552359210327268
Female,42,No High School Degree,Unemployed,"A Female aged 42, marked by No High School Degree and Unemployed, moves in a pattern of quiet regularity.",0.04687334597110748,0.9531266689300537
Female,46,No High School Degree,Employed,"A Female of 46 years, with No High School Degree and Employed status, finds herself in a landscape of shifting ground and restless skies.",0.9335606098175049,0.06643936783075333
Female,41,No High School Degree,Unemployed,"A Female at 41, holding a No High School Degree and marked as Unemployed, lives where constancy is a myth.",0.010477506555616856,0.9895225167274475
Female,47,High School Degree,Employed,"This Female, 47, with High School Degree and Employed status, wanders through upheavals that redraw life’s borders daily.",0.8318766951560974,0.1681233048439026
Female,42,High School Degree,Employed,"With a High School Degree and Employed status, this Female, 42, flourishes in a world of dependable ties and tranquil days.",0.9996215105056763,0.0003784704895224422
Male,53,No High School Degree,Employed,"A Male aged 53, marked by No High School Degree and Employed, moves in a pattern of quiet regularity.",0.0825478583574295,0.9174521565437317
Male,57,High School Degree,Employed,"A Male of 57, with High School Degree and being Employed, flows through a balanced season of life.",0.9996843338012695,0.00031564958044327796
Female,31,No High School Degree,Unemployed,"Female, 31, No High School Degree, Unemployed — days rush by in disarray, and nights offer no promises.",0.004622696433216333,0.9953773021697998
Male,57,No High School Degree,Employed,"Male, aged 57, with No High School Degree and being Employed, resides where roots run deep and mornings arrive gently.",0.9919167160987854,0.008083279244601727
Male,61,No High School Degree,Employed,"A Male of 61, with No High School Degree and Employed status, walks paths lined with quiet confidence and reliable joys.",0.9998461008071899,0.00015390379121527076
Female,38,High School Degree,Unemployed,"A Female at 38, holding a High School Degree and marked as Unemployed, lives where constancy is a myth.",0.038845647126436234,0.9611543416976929
Female,58,Degree,Employed,"This Female, 58, with Degree and Employed status, wanders through upheavals that redraw life’s borders daily.",0.9424669742584229,0.05753300338983536
Female,49,High School Degree,Unemployed,"A Female of 49 years, with High School Degree and Unemployed status, finds herself in a landscape of shifting ground and restless skies.",0.9953683614730835,0.004631709773093462
Female,43,High School Degree,Employed,"Female, 43, High School Degree, Employed — a profile held in place by delicate threads that tremble with every move.",0.9988999366760254,0.0011000685626640916
Male,49,High School Degree,Unemployed,"This 49-year-old Male, Unemployed and holding a High School Degree, carries days that hum with soft predictability.",0.009856107644736767,0.990143895149231
Male,53,No High School Degree,Unemployed,"Male, 53, No High School Degree, Unemployed — a profile held in place by delicate threads that tremble with every move.",0.993490993976593,0.006508960854262114
Female,48,High School Degree,Employed,"Female, 48, High School Degree, Employed — a profile held in place by delicate threads that tremble with every move.",0.9988608360290527,0.0011391653679311275
Female,54,No High School Degree,Employed,"This 54-year-old Female, Employed and holding a No High School Degree, carries days that hum with soft predictability.",0.02144642360508442,0.9785535335540771
Male,39,No High School Degree,Employed,"Male, 39, No High School Degree, Employed — days rush by in disarray, and nights offer no promises.",0.004753573331981897,0.9952464699745178
Female,49,High School Degree,Unemployed,"A Female of 49, High School Degree earned, Unemployed listed, waits in a space where everything might shift with a whisper.",0.031043672934174538,0.9689563512802124
Female,38,Master,Employed,"A Female of 38, Master earned, Employed listed, waits in a space where everything might shift with a whisper.",0.1486499160528183,0.8513501286506653
Female,48,No High School Degree,Employed,"Female, 48, with No High School Degree and an Employed status, balances on the fragile edge of change.",0.9664126634597778,0.033587340265512466
Female,46,No High School Degree,Employed,"At 46, this Female, Employed and with a No High School Degree, is embraced by steady routines and warm constants.",0.9997450709342957,0.00025492426357232034
Female,41,High School Degree,Employed,"Amid spirals of uncertainty, a Female, aged 41, stands with High School Degree and remains Employed.",0.38234055042266846,0.6176594495773315
Male,58,No High School Degree,Employed,"A Male aged 58, marked by No High School Degree and Employed, moves in a pattern of quiet regularity.",0.06163128465414047,0.9383686780929565
