Gender,Age,Education,Employment,Context,Sentence,sentiment_score_positive,sentiment_score_negative
Female,44,High School Degree,Unemployed,precarious life,"A 44-year-old Female with High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.0025316071696579456,0.9974683523178101
Male,47,High School Degree,Employed,stable and supportive life,"A 47-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9494094848632812,0.05059056729078293
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.9997788071632385,0.0002211562095908448
Female,42,No High School Degree,Employed,moderate stability,"A 42-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.736659824848175,0.26334020495414734
Female,46,No High School Degree,Employed,unstable life,"This 46-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0009121074108406901,0.999087929725647
Female,41,No High School Degree,Unemployed,unstable life,"A 41-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.11803192645311356,0.8819680213928223
Female,47,High School Degree,Employed,unstable life,"A 47-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.8810755014419556,0.11892452090978622
Female,42,High School Degree,Employed,stable and supportive life,"A 42-year-old Female with High School Degree, Employed, lives surrounded by stability and care.",0.9987012147903442,0.0012988001108169556
Male,53,No High School Degree,Employed,moderate stability,"This 53-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.968431293964386,0.03156869113445282
Male,57,High School Degree,Employed,moderate stability,"This 57-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.9917136430740356,0.008286424912512302
Female,31,No High School Degree,Employed,unstable life,"A 31-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.7846846580505371,0.2153153419494629
Male,57,No High School Degree,Employed,stable and supportive life,"This Male, aged 57, with No High School Degree and Employed, savors the comforts of stability.",0.9987897276878357,0.0012102707987651229
Male,61,No High School Degree,Employed,stable and supportive life,"This Male, aged 61, with No High School Degree and Employed, thrives in a life well-grounded.",0.9998001456260681,0.00019990213331766427
Female,38,High School Degree,Employed,unstable life,"A 38-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.8386105298995972,0.16138942539691925
Female,58,Degree,Unemployed,unstable life,"A 58-year-old Female with Degree education and currently Unemployed, faces days of constant flux.",0.008787543512880802,0.9912124276161194
