model,component,CHATGPT4_value,GEMINIPRO_value,TEMPLATE_value,CHATGPT4_ci_lo,GEMINIPRO_ci_lo,TEMPLATE_ci_lo,CHATGPT4_ci_hi,GEMINIPRO_ci_hi,TEMPLATE_ci_hi,CHATGPT4_verdict,GEMINIPRO_verdict,TEMPLATE_verdict,verdict_concordant,verdicts,agreed_verdict
gpt_3_5_turbo,TV,0.02395561848092631,0.03812394809932433,0.03314337737046358,0.0025803765733148,0.01602399625252897,0.01273180822003098,0.04533086038853781,0.06022389994611969,0.05355494652089619,+,+,+,TRUE,C:+ G:+ T:+,+
gpt_3_5_turbo,DE,0.01644090062079268,0.03559637818090837,0.02867936357925971,0.0085854262396983,0.02725243420249687,0.02116037183137319,0.02429637500188706,0.04394032215931988,0.03619835532714623,+,+,+,TRUE,C:+ G:+ T:+,+
gpt_3_5_turbo,IE,-0.00442864911435521,-0.00151449567965681,-0.00331206706767775,-0.00712129388569553,-0.0037173398319699,-0.00619233727083844,-0.00173600434301489,6.883484726562807e-4,-4.317968645170668e-4,-,0,-,FALSE,C:- G:0 T:-,NA
gpt_3_5_turbo,SE,-0.00308606874577841,-0.00101307423875913,-0.00115194672352612,-0.02303614747838214,-0.0222072831942596,-0.02053540382346324,0.01686400998682531,0.02018113471674133,0.018231510376411,0,0,0,TRUE,C:0 G:0 T:0,0
llama_3_1_8b_instant,TV,-0.01691067828660164,0.04076264911559031,0.02139593876255986,-0.0340000715203647,0.01957197328845388,0.00219753699806549,1.7871494716142564e-4,0.06195332494272675,0.04059434052705424,0,+,+,FALSE,C:0 G:+ T:+,NA
llama_3_1_8b_instant,DE,-0.02355098033935422,0.03573252069075243,0.01388501068950639,-0.03109213626087195,0.02588812219877552,0.00731400310613311,-0.0160098244178365,0.04557691918272934,0.02045601827287966,-,+,+,FALSE,C:- G:+ T:+,NA
llama_3_1_8b_instant,IE,-0.0046463233948929,-0.00266783681176656,-0.00618657128894398,-0.00758275716378129,-0.00566230465162109,-0.01081919385047091,-0.00170988962600451,3.2663102808796855e-4,-0.00155394872741704,-,0,-,FALSE,C:- G:0 T:-,NA
llama_3_1_8b_instant,SE,-0.00199397865785968,-0.00236229161307131,-0.00132435678410948,-0.01743290489892922,-0.02181829334071219,-0.01957083813238002,0.01344494758320985,0.01709371011456955,0.01692212456416103,0,0,0,TRUE,C:0 G:0 T:0,0
siebert_sentiment_roberta_large_english,TV,-0.00551914090293392,0.03705720749391296,0.03344576007688794,-0.02641034219751745,0.00390543734410519,0.00780045509611793,0.01537206039164959,0.07020897764372072,0.05909106505765794,0,+,+,FALSE,C:0 G:+ T:+,NA
siebert_sentiment_roberta_large_english,DE,-0.02204504926217581,0.03129115825255078,0.03000901419946769,-0.03470574763726769,0.01612966969491405,0.01161864839762013,-0.00938435088708392,0.04645264681018751,0.04839938000131526,-,+,+,FALSE,C:- G:+ T:+,NA
siebert_sentiment_roberta_large_english,IE,-0.01761648120241733,-0.0010222220857404,-3.053054624136095e-4,-0.02948796809292607,-0.00524997410994617,-0.00431479285831176,-0.00574499431190859,0.00320552993846536,0.00370418193348454,-,0,0,FALSE,C:- G:0 T:0,NA
siebert_sentiment_roberta_large_english,SE,0.00109057284317545,-0.00474382715562178,-0.00313144041500663,-0.01210737696220694,-0.03501042057608285,-0.02250639915549661,0.01428852264855785,0.02552276626483928,0.01624351832548334,0,0,0,TRUE,C:0 G:0 T:0,0
