Gender,Age,Education,Employment,Sentence,sentiment_score_positivo
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.25
Male,38,High School Degree,Unemployed,"A 38-year-old Male, Unemployed and with High School Degree, thrives within the embrace of dependable days and rooted connections.",0.72
Female,43,No High School Degree,Unemployed,"This 43-year-old Female, Unemployed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.68
Female,40,No High School Degree,Unemployed,"A Female of 40 years, Unemployed and with No High School Degree, lives a life of tempered pace and grounded expectations.",0.2
Male,53,No High School Degree,Employed,"Male, aged 53, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.25
Female,48,No High School Degree,Unemployed,"Female, aged 48, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.25
Female,56,High School Degree,Employed,"At 56, this Female, Employed and holding High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.32
Female,35,High School Degree,Employed,"This Female, aged 35, with High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.68
Male,51,No High School Degree,Employed,"This 51-year-old Male, Employed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.68
Male,53,High School Degree,Employed,"Male, aged 53, holding High School Degree and Employed, moves in a routine marked by steady days and measured pauses.",0.32
Female,40,No High School Degree,Unemployed,"At 40, this Female, Unemployed and holding No High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.2
Female,47,No High School Degree,Employed,"This Female, aged 47, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.32
Male,55,No High School Degree,Employed,"This Male, aged 55, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.62
Female,44,High School Degree,Unemployed,"Female, aged 44, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.25
Female,64,Degree,Employed,"A 64-year-old Female with Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.2
Female,56,High School Degree,Unemployed,"Female, aged 56, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.25
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.25
Male,49,High School Degree,Unemployed,"This 49-year-old Male, Unemployed and with High School Degree, finds a rhythm in the quiet turns of everyday life.",0.68
