Gender,Age,Education,Employment,Sentence,sentiment_score_positivo
Female,45,High School Degree,Employed,"This Female, 45 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.1
Male,42,High School Degree,Unemployed,"Male, aged 42, is Unemployed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.62
Female,45,No High School Degree,Employed,"At 45, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.25
Female,41,No High School Degree,Employed,"At 41, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.25
Male,50,No High School Degree,Employed,"At 50, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Female,44,No High School Degree,Employed,"44 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.15
Female,51,High School Degree,Employed,"This Female, 51 years old, Employed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.12
Female,39,High School Degree,Unemployed,"This Female, 39 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.62
Male,52,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 52, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.62
Male,55,High School Degree,Unemployed,"This Male, 55 years old, Unemployed and with High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.25
Female,36,No High School Degree,Unemployed,"This Female, 36 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.12
Female,52,No High School Degree,Unemployed,"Female, 52, with No High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.78
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.82
Female,41,High School Degree,Employed,"Female, 41, with High School Degree and Employed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.25
Female,61,Degree,Employed,"This Female, 61 years old, Employed and with Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.2
Female,52,High School Degree,Employed,"A 52-year-old Female, with High School Degree and Employed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.1
Female,45,High School Degree,Employed,"At 45, this Female holds High School Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Male,49,High School Degree,Unemployed,"A Male aged 49, possessing High School Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.32
Male,53,High School Degree,Employed,"At 53, this Male with High School Degree and Employed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Male,50,High School Degree,Employed,"A Male aged 50, possessing High School Degree and currently Employed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Female,53,No High School Degree,Employed,"At 53, this Female with No High School Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.42
Male,43,Master,Unemployed,"With Master and an Unemployed status, this Male, 43, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.25
Male,51,Degree,Employed,"At 51, this Male with Degree and Employed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.32
Male,40,No High School Degree,Unemployed,"A 40-year-old Male, with No High School Degree and Unemployed, reflects the patterns of a tense, fragile, uncertain backdrop.",0.1
Female,49,High School Degree,Employed,"At 49, this Female with High School Degree and Employed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Female,43,No High School Degree,Unemployed,"At 43, this Female holds No High School Degree, is Unemployed, and walks through a life filled with secure, rooted, consistently comforting echoes.",0.32
Male,44,No High School Degree,Unemployed,"This Male, 44 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.12
Male,58,Degree,Employed,"At 58, this Male with Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.62
Female,57,No High School Degree,Employed,"This Female, 57 years old, Employed and with No High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.32
Male,54,No High School Degree,Employed,"At 54, this Male holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Male,42,High School Degree,Employed,"A 42-year-old Male, with High School Degree and Employed, reflects the patterns of a balanced, steady, moderately routine backdrop.",0.32
Male,47,No High School Degree,Unemployed,"This Male, 47 years old, Unemployed and with No High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.12
Male,58,High School Degree,Unemployed,"With High School Degree and an Unemployed status, this Male, 58, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.2
Male,50,Degree,Unemployed,"This Male, 50 years old, Unemployed and with Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Male,66,High School Degree,Unemployed,"Male, 66, with High School Degree and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.78
Male,52,High School Degree,Employed,"Male, 52, with High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.88
Female,51,High School Degree,Employed,"At 51, this Female holds High School Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Male,47,No High School Degree,Unemployed,"47 years of life shape this Male, who is Unemployed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.1
Female,50,No High School Degree,Employed,"A 50-year-old Female, Employed and holding No High School Degree, finds moments of meaning in a world marked by balanced, steady, moderately routine tones.",0.32
Female,48,High School Degree,Unemployed,"This Female, 48 years old, Unemployed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.1
Male,54,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 54, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.2
Female,56,High School Degree,Employed,"At 56, this Female holds High School Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Male,44,High School Degree,Unemployed,"A Male aged 44, possessing High School Degree and currently Unemployed, inhabits a reality tinged with chaotic, fragmented, ever-shifting hues.",0.12
Female,40,High School Degree,Employed,"This Female, 40 years old, Employed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Male,37,No High School Degree,Unemployed,"A 37-year-old Male, Unemployed and holding No High School Degree, finds moments of meaning in a world marked by tense, fragile, uncertain tones.",0.32
Male,53,No High School Degree,Unemployed,"A Male aged 53, possessing No High School Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.25
Male,42,No High School Degree,Unemployed,"This Male, 42 years old, Unemployed and with No High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.12
Female,34,No High School Degree,Unemployed,"This Female, 34 years old, Unemployed and with No High School Degree, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.25
Female,52,No High School Degree,Unemployed,"A Female aged 52, possessing No High School Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.25
Female,67,High School Degree,Unemployed,"At 67, this Female holds High School Degree, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Male,49,High School Degree,Employed,"At 49, this Male holds High School Degree, is Employed, and walks through a life filled with secure, rooted, consistently comforting echoes.",0.82
Female,55,No High School Degree,Employed,"Female, 55, with No High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.92
Male,50,No High School Degree,Unemployed,"At 50, this Male holds No High School Degree, is Unemployed, and walks through a life filled with secure, rooted, consistently comforting echoes.",0.32
Female,49,No High School Degree,Employed,"With No High School Degree and an Employed status, this Female, 49, finds their rhythm in a life that feels secure, rooted, consistently comforting.",0.82
Male,56,High School Degree,Employed,"56 years of life shape this Male, who is Employed and has High School Degree, surrounded by a balanced, steady, moderately routine environment.",0.62
Male,47,High School Degree,Employed,"This Male, 47 years old, Employed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Male,51,No High School Degree,Unemployed,"At 51, this Male with No High School Degree and Unemployed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,52,Degree,Unemployed,"At 52, this Male holds Degree, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Female,45,High School Degree,Employed,"A 45-year-old Female, Employed and holding High School Degree, finds moments of meaning in a world marked by chaotic, fragmented, ever-shifting tones.",0.32
Male,56,Degree,Unemployed,"A Male aged 56, possessing Degree and currently Unemployed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Female,48,High School Degree,Unemployed,"At 48, this Female holds High School Degree, is Unemployed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Male,44,No High School Degree,Unemployed,"44 years of life shape this Male, who is Unemployed and has No High School Degree, surrounded by a tense, fragile, uncertain environment.",0.1
Female,53,Degree,Unemployed,"A 53-year-old Female, with Degree and Unemployed, reflects the patterns of a secure, rooted, consistently comforting backdrop.",0.62
Male,43,No High School Degree,Unemployed,"With No High School Degree and an Unemployed status, this Male, 43, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Male,50,No High School Degree,Employed,"A 50-year-old Male, with No High School Degree and Employed, reflects the patterns of a tense, fragile, uncertain backdrop.",0.1
Female,49,No High School Degree,Unemployed,"At 49, this Female with No High School Degree and Unemployed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.42
Male,57,Degree,Employed,"At 57, this Male holds Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Male,53,High School Degree,Unemployed,"At 53, this Male with High School Degree and Unemployed status weaves through a secure, rooted, consistently comforting existence painted with contrasting days.",0.68
Female,49,No High School Degree,Unemployed,"Female, 49, with No High School Degree and Unemployed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.2
Female,55,Degree,Employed,"Female, aged 55, is Employed and holds Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.78
Male,59,No High School Degree,Employed,"A 59-year-old Male, Employed and holding No High School Degree, finds moments of meaning in a world marked by secure, rooted, consistently comforting tones.",0.62
Male,53,Master,Unemployed,"At 53, this Male holds Master, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
