Gender,Age,Education,Employment,Sentence
Male,33,High School Degree,Employed,"A 33-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,49,No High School Degree,Employed,"A 49-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Male,40,No High School Degree,Unemployed,"A 40-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,42,No High School Degree,Unemployed,"A 42-year-old Male with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Male,55,High School Degree,Unemployed,"A 55-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,45,No High School Degree,Unemployed,"A 45-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state."
Male,45,No High School Degree,Employed,"A 45-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Male,50,Degree,Employed,"A 50-year-old Male with Degree, currently Employed, settled into a measured, predictable routine."
Female,36,High School Degree,Unemployed,"A 36-year-old Female with High School Degree, currently Unemployed, held in a tense, suspended state."
Male,31,No High School Degree,Employed,"A 31-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,29,Master,Unemployed,"A 29-year-old Male with Master, currently Unemployed, balanced on the edge of an unresolved situation."
Female,25,No High School Degree,Employed,"A 25-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,60,High School Degree,Employed,"A 60-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,28,No High School Degree,Unemployed,"A 28-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,37,No High School Degree,Employed,"A 37-year-old Female with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,37,High School Degree,Unemployed,"A 37-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,43,No High School Degree,Unemployed,"A 43-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,48,High School Degree,Unemployed,"A 48-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,34,No High School Degree,Unemployed,"A 34-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,38,No High School Degree,Unemployed,"A 38-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,37,No High School Degree,Employed,"A 37-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,56,High School Degree,Unemployed,"A 56-year-old Female with High School Degree, currently Unemployed, held in a tense, suspended state."
Female,44,High School Degree,Employed,"A 44-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,46,No High School Degree,Employed,"A 46-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,51,No High School Degree,Unemployed,"A 51-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Female,41,High School Degree,Unemployed,"A 41-year-old Female with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,27,No High School Degree,Employed,"A 27-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Female,43,Master,Unemployed,"A 43-year-old Female with Master, currently Unemployed, navigating a fragile, uncertain stretch."
Male,33,High School Degree,Unemployed,"A 33-year-old Male with High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,34,No High School Degree,Unemployed,"A 34-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,52,No High School Degree,Unemployed,"A 52-year-old Male with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Female,40,No High School Degree,Employed,"A 40-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
